"文件编号","路径","所属模块","文件类型","基线 blob SHA","物理行数","审阅范围","审阅者","审阅日期","审计单元","检查点","风险等级","是否二次复核","详细记录","覆盖清单同步","1 存在理由","2 创建或加载者","3 加载条件","4 导出内容","5 导出消费者","6 输入","7 输出","8 状态读写","9 数据库读写","10 网络调用","11 事件","12 环境变量","13 用户权限依赖","14 运行环境依赖","15 初始化副作用","16 模块加载副作用","17 注册职责","18 测试生产差异","19 资源释放","20 失败恢复","21 对应测试","22 测试可信度","23 对应文档","24 文档准确性","25 兼容职责","26 等价重复实现","27 可否独立删除","28 删除首个失败点","29 最终结论与置信度"
"FILE-AU-003-001","01_core_hexin/services/commerce/src/bootstrap/ApiBootstrap.ts","Commerce/bootstrap","TypeScript源码","29e581723a32d88e46f688090e3de83054215ebc","100","全文件逐逻辑块","Codex 主审","2026-09-13","AU-003","CP-03","P2","否（P2 及以下）","summary/functions/exports/process-map/evidence","已同步至 CP-03","Canonical 进程共享启动/接口基础设施","见 process-map.csv 的入口/调用者","由所有相应 Main 静态导入","见 exports.csv；无导出者为顶层进程入口","见 process-map.csv 与 exports.csv","环境变量、配置或调用参数","进程、注册表、回执或数据库状态","进程生命周期及依赖资源","无直接或由 runtime/runner 间接访问","无直接或由 runtime/探针发起","无直接或见 events-and-jobs.csv","见 configuration.csv","权限在 runtime/operation/DB role；本 AU 不深审业务授权","Node 22 与对应数据库/缓存/对象存储/secret/KMS","SERVER registry 顶层物化是 ApiBootstrap 唯一模块级 await；其余函数调用时生效","库文件无；entry 文件有顶层启动副作用","见 process-map.csv","测试 factory/fake 不等于 systemd 与真实依赖","资源由返回 handle或调用方 runtime 管理","抛错交给 systemd/release；见 fmea.csv","见 tests.csv","入口集合可信；业务与真实依赖分支未覆盖","历史/运维文档只作线索","最终以代码、systemd 和 release 注册为准","无 target 的入口保留本地/staging/兼容可能","未证明存在可删除的等价重复","否；未满足 G3 且未二审","多个 API/Jobs 启动或请求边界同时失效","[FACT] API 统一注册/冻结内核；本 AU 未发现独立缺陷"
"FILE-AU-003-002","01_core_hexin/services/commerce/src/bootstrap/JobsBootstrap.ts","Commerce/bootstrap","TypeScript源码","2e4a28faaf154bb33f0041a4e9ae6429e72f178b","37","全文件逐逻辑块","Codex 主审","2026-09-13","AU-003","CP-03","P2","否（P2 及以下）","summary/functions/exports/process-map/evidence","已同步至 CP-03","Canonical 进程共享启动/接口基础设施","见 process-map.csv 的入口/调用者","由所有相应 Main 静态导入","见 exports.csv；无导出者为顶层进程入口","见 process-map.csv 与 exports.csv","环境变量、配置或调用参数","进程、注册表、回执或数据库状态","进程生命周期及依赖资源","无直接或由 runtime/runner 间接访问","无直接或由 runtime/探针发起","无直接或见 events-and-jobs.csv","见 configuration.csv","权限在 runtime/operation/DB role；本 AU 不深审业务授权","Node 22 与对应数据库/缓存/对象存储/secret/KMS","SERVER registry 顶层物化是 ApiBootstrap 唯一模块级 await；其余函数调用时生效","库文件无；entry 文件有顶层启动副作用","见 process-map.csv","测试 factory/fake 不等于 systemd 与真实依赖","资源由返回 handle或调用方 runtime 管理","抛错交给 systemd/release；见 fmea.csv","见 tests.csv","入口集合可信；业务与真实依赖分支未覆盖","历史/运维文档只作线索","最终以代码、systemd 和 release 注册为准","无 target 的入口保留本地/staging/兼容可能","未证明存在可删除的等价重复","否；未满足 G3 且未二审","多个 API/Jobs 启动或请求边界同时失效","[FACT] Full Jobs 统一注册/冻结内核"
"FILE-AU-003-003","01_core_hexin/services/commerce/src/bootstrap/RuntimeCompatibility.ts","Commerce/bootstrap","TypeScript源码","b47331570f4ca313bf02583d60d8d69fea95b602","80","全文件逐逻辑块","Codex 主审","2026-09-13","AU-003","CP-03","P2","否（P2 及以下）","summary/functions/exports/process-map/evidence","已同步至 CP-03","Canonical 进程共享启动/接口基础设施","见 process-map.csv 的入口/调用者","由所有相应 Main 静态导入","见 exports.csv；无导出者为顶层进程入口","见 process-map.csv 与 exports.csv","环境变量、配置或调用参数","进程、注册表、回执或数据库状态","进程生命周期及依赖资源","无直接或由 runtime/runner 间接访问","无直接或由 runtime/探针发起","无直接或见 events-and-jobs.csv","见 configuration.csv","权限在 runtime/operation/DB role；本 AU 不深审业务授权","Node 22 与对应数据库/缓存/对象存储/secret/KMS","SERVER registry 顶层物化是 ApiBootstrap 唯一模块级 await；其余函数调用时生效","库文件无；entry 文件有顶层启动副作用","见 process-map.csv","测试 factory/fake 不等于 systemd 与真实依赖","资源由返回 handle或调用方 runtime 管理","抛错交给 systemd/release；见 fmea.csv","见 tests.csv","入口集合可信；业务与真实依赖分支未覆盖","历史/运维文档只作线索","最终以代码、systemd 和 release 注册为准","无 target 的入口保留本地/staging/兼容可能","未证明存在可删除的等价重复","否；未满足 G3 且未二审","多个 API/Jobs 启动或请求边界同时失效","[FACT] 聚合 runtime 兼容性事实源；contract 字段刻意不参与 healthy"
"FILE-AU-003-004","01_core_hexin/services/commerce/src/foundation/interface/NodeServer.ts","Commerce/foundation","TypeScript源码","52e141c8f7e0b5d5b077961275c09eb1763fdb81","108","全文件逐逻辑块","Codex 主审","2026-09-13","AU-003","CP-03","P2","否（P2 及以下）","summary/functions/exports/process-map/evidence","已同步至 CP-03","Canonical 进程共享启动/接口基础设施","见 process-map.csv 的入口/调用者","由所有相应 Main 静态导入","见 exports.csv；无导出者为顶层进程入口","见 process-map.csv 与 exports.csv","环境变量、配置或调用参数","进程、注册表、回执或数据库状态","进程生命周期及依赖资源","无直接或由 runtime/runner 间接访问","无直接或由 runtime/探针发起","无直接或见 events-and-jobs.csv","见 configuration.csv","权限在 runtime/operation/DB role；本 AU 不深审业务授权","Node 22 与对应数据库/缓存/对象存储/secret/KMS","SERVER registry 顶层物化是 ApiBootstrap 唯一模块级 await；其余函数调用时生效","库文件无；entry 文件有顶层启动副作用","见 process-map.csv","测试 factory/fake 不等于 systemd 与真实依赖","资源由返回 handle或调用方 runtime 管理","抛错交给 systemd/release；见 fmea.csv","见 tests.csv","入口集合可信；业务与真实依赖分支未覆盖","历史/运维文档只作线索","最终以代码、systemd 和 release 注册为准","无 target 的入口保留本地/staging/兼容可能","未证明存在可删除的等价重复","否；未满足 G3 且未二审","多个 API/Jobs 启动或请求边界同时失效","[FACT] Canonical Node HTTP 入口；Catalog 探针未覆盖它"
"FILE-AU-003-005","01_core_hexin/services/commerce/src/foundation/application/JobRunner.ts","Commerce/foundation","TypeScript源码","9e3b0aa75b5d4d3f2c374202195d4f79182531aa","149","全文件逐逻辑块","Codex 主审","2026-09-13","AU-003","CP-03","P2/F-0012","否（P2 及以下）","summary/functions/exports/process-map/evidence","已同步至 CP-03","PostgreSQL 异步任务执行基础设施","见 process-map.csv 的入口/调用者","环境、发布 target 或显式 import","见 exports.csv；无导出者为顶层进程入口","见 process-map.csv 与 exports.csv","pool、配置、processor、shared AbortSignal","任务状态、deadletter、事件发布或周期 job","进程生命周期及依赖资源","直接 runtime.job/outbox/deadletter/lease","无直接或由 runtime/探针发起","队列/事件/定时","见 configuration.csv","权限在 runtime/operation/DB role；本 AU 不深审业务授权","Node 22 与对应数据库/缓存/对象存储/secret/KMS","无未登记初始化副作用","库文件无；entry 文件有顶层启动副作用","见 process-map.csv","测试 factory/fake 不等于 systemd 与真实依赖","deadline/heartbeat/lease；最终由 runtime close","retry/deadletter/lease recovery；F-0012 例外","见 tests.csv","入口集合可信；业务与真实依赖分支未覆盖","历史/运维文档只作线索","最终以代码、systemd 和 release 注册为准","无 target 的入口保留本地/staging/兼容可能","未证明存在可删除的等价重复","否；未满足 G3 且未二审","一个或多个 worker 消费/调度链断开","[FACT] 租约/重试内核；空轮询 listener 清理不完整"
"FILE-AU-003-006","01_core_hexin/services/commerce/src/foundation/infrastructure/QueueJob.ts","Commerce/foundation","TypeScript源码","1086e1d2dc70dfe9fa70414a641c1ed0dbe8c773","19","全文件逐逻辑块","Codex 主审","2026-09-13","AU-003","CP-03","P2","否（P2 及以下）","summary/functions/exports/process-map/evidence","已同步至 CP-03","PostgreSQL 异步任务执行基础设施","见 process-map.csv 的入口/调用者","环境、发布 target 或显式 import","见 exports.csv；无导出者为顶层进程入口","见 process-map.csv 与 exports.csv","pool、配置、processor、shared AbortSignal","任务状态、deadletter、事件发布或周期 job","进程生命周期及依赖资源","直接 runtime.job/outbox/deadletter/lease","无直接或由 runtime/探针发起","队列/事件/定时","见 configuration.csv","权限在 runtime/operation/DB role；本 AU 不深审业务授权","Node 22 与对应数据库/缓存/对象存储/secret/KMS","无未登记初始化副作用","库文件无；entry 文件有顶层启动副作用","见 process-map.csv","测试 factory/fake 不等于 systemd 与真实依赖","deadline/heartbeat/lease；最终由 runtime close","retry/deadletter/lease recovery；F-0012 例外","见 tests.csv","入口集合可信；业务与真实依赖分支未覆盖","历史/运维文档只作线索","最终以代码、systemd 和 release 注册为准","无 target 的入口保留本地/staging/兼容可能","未证明存在可删除的等价重复","否；未满足 G3 且未二审","一个或多个 worker 消费/调度链断开","[FACT] Job 到 JobRunner 的薄适配器"
"FILE-AU-003-007","01_core_hexin/services/commerce/src/foundation/infrastructure/OutboxRelay.ts","Commerce/foundation","TypeScript源码","4d5782e0866cf0b16cafc00528759a7a7ed2d846","46","全文件逐逻辑块","Codex 主审","2026-09-13","AU-003","CP-03","P2/F-0012","否（P2 及以下）","summary/functions/exports/process-map/evidence","已同步至 CP-03","PostgreSQL 异步任务执行基础设施","见 process-map.csv 的入口/调用者","环境、发布 target 或显式 import","见 exports.csv；无导出者为顶层进程入口","见 process-map.csv 与 exports.csv","pool、配置、processor、shared AbortSignal","任务状态、deadletter、事件发布或周期 job","进程生命周期及依赖资源","直接 runtime.job/outbox/deadletter/lease","无直接或由 runtime/探针发起","队列/事件/定时","见 configuration.csv","权限在 runtime/operation/DB role；本 AU 不深审业务授权","Node 22 与对应数据库/缓存/对象存储/secret/KMS","无未登记初始化副作用","库文件无；entry 文件有顶层启动副作用","见 process-map.csv","测试 factory/fake 不等于 systemd 与真实依赖","deadline/heartbeat/lease；最终由 runtime close","retry/deadletter/lease recovery；F-0012 例外","见 tests.csv","入口集合可信；业务与真实依赖分支未覆盖","历史/运维文档只作线索","最终以代码、systemd 和 release 注册为准","无 target 的入口保留本地/staging/兼容可能","未证明存在可删除的等价重复","否；未满足 G3 且未二审","一个或多个 worker 消费/调度链断开","[FACT] Full Jobs outbox relay；wait 同类 listener 累积"
"FILE-AU-003-008","01_core_hexin/services/commerce/src/foundation/infrastructure/RuntimeScheduler.ts","Commerce/foundation","TypeScript源码","8a9136d51ac276eb5803cc33048d440e80355192","51","全文件逐逻辑块","Codex 主审","2026-09-13","AU-003","CP-03","P2/F-0012","否（P2 及以下）","summary/functions/exports/process-map/evidence","已同步至 CP-03","PostgreSQL 异步任务执行基础设施","见 process-map.csv 的入口/调用者","环境、发布 target 或显式 import","见 exports.csv；无导出者为顶层进程入口","见 process-map.csv 与 exports.csv","pool、配置、processor、shared AbortSignal","任务状态、deadletter、事件发布或周期 job","进程生命周期及依赖资源","直接 runtime.job/outbox/deadletter/lease","无直接或由 runtime/探针发起","队列/事件/定时","见 configuration.csv","权限在 runtime/operation/DB role；本 AU 不深审业务授权","Node 22 与对应数据库/缓存/对象存储/secret/KMS","无未登记初始化副作用","库文件无；entry 文件有顶层启动副作用","见 process-map.csv","测试 factory/fake 不等于 systemd 与真实依赖","deadline/heartbeat/lease；最终由 runtime close","retry/deadletter/lease recovery；F-0012 例外","见 tests.csv","入口集合可信；业务与真实依赖分支未覆盖","历史/运维文档只作线索","最终以代码、systemd 和 release 注册为准","无 target 的入口保留本地/staging/兼容可能","未证明存在可删除的等价重复","否；未满足 G3 且未二审","一个或多个 worker 消费/调度链断开","[FACT] 四类周期 job 生产者；wait 同类 listener 累积"
"FILE-AU-003-009","01_core_hexin/services/commerce/src/foundation/infrastructure/MigrationRunner.ts","Commerce/foundation","TypeScript源码","d847c5223c15e5e1731f8513dfffcf0156d42768","167","全文件逐逻辑块","Codex 主审","2026-09-13","AU-003","CP-03","P2/F-0013","否（P2 及以下）","summary/functions/exports/process-map/evidence","已同步至 CP-03","执行或承载数据库迁移生命周期","见 process-map.csv 的入口/调用者","环境、发布 target 或显式 import","见 exports.csv；无导出者为顶层进程入口","见 process-map.csv 与 exports.csv","migration env、目录、role、KMS/secret refs","schema/ledger 变化或结构化回执","进程生命周期及依赖资源","直接 DDL/DML/ledger","PostgreSQL、KMS/secret store","无直接或见 events-and-jobs.csv","见 configuration.csv","数据库迁移角色/owner role","Node 22 与对应数据库/缓存/对象存储/secret/KMS","runner 无顶层副作用；Main/executor 顶层执行","库文件无；entry 文件有顶层启动副作用","见 process-map.csv","测试 factory/fake 不等于 systemd 与真实依赖","finally unlock/client release/pool.end","forward-only 失败回执；无自动 DB rollback","见 tests.csv","入口集合可信；业务与真实依赖分支未覆盖","历史/运维文档只作线索","最终以代码、systemd 和 release 注册为准","通用、registration 与 release executor 各有历史职责","未证明存在可删除的等价重复","否；未满足 G3 且未二审","迁移/恢复路径失效或历史数据不可演进","[FACT] 正式 migration 内核；SQL 与 ledger 非同一事务"
"FILE-AU-003-010","04_tools/release-engine/adapters/zdt-next/database-migration-executor.mjs","release-engine/migration","JavaScript源码","f625aaf2ff0df9884cfa144822ff53c2afd41d60","124","全文件逐逻辑块","Codex 主审","2026-09-13","AU-003","CP-03","P2/F-0013","否（P2 及以下）","summary/functions/exports/process-map/evidence","已同步至 CP-03","执行或承载数据库迁移生命周期","见 process-map.csv 的入口/调用者","环境、发布 target 或显式 import","见 exports.csv；无导出者为顶层进程入口","见 process-map.csv 与 exports.csv","migration env、目录、role、KMS/secret refs","schema/ledger 变化或结构化回执","进程生命周期及依赖资源","直接 DDL/DML/ledger","PostgreSQL、KMS/secret store","无直接或见 events-and-jobs.csv","见 configuration.csv","数据库迁移角色/owner role","Node 22 与对应数据库/缓存/对象存储/secret/KMS","runner 无顶层副作用；Main/executor 顶层执行","库文件无；entry 文件有顶层启动副作用","见 process-map.csv","测试 factory/fake 不等于 systemd 与真实依赖","finally unlock/client release/pool.end","forward-only 失败回执；无自动 DB rollback","见 tests.csv","入口集合可信；业务与真实依赖分支未覆盖","历史/运维文档只作线索","最终以代码、systemd 和 release 注册为准","通用、registration 与 release executor 各有历史职责","未证明存在可删除的等价重复","否；未满足 G3 且未二审","迁移/恢复路径失效或历史数据不可演进","[FACT] 当前 release migration 入口与结构化回执"
