"配置编号","配置面","来源/位置","键/默认","消费者","校验","运行环境","证据","未知/冲突"
"CFG-AU-004-001","release manifest","zdt-next.release.json","15 targets；2 nodes；rules；acceptance","adapter/planner/engine/agent","loadAdapter invariant + tests","GitHub runner/ECS","E-AU-004-002","active主机配置可漂移"
"CFG-AU-004-002","remote policy","zdt-next.remote-policy.json","allowed roots、commands、Caddy、deployments","remote agent","policy/source/path校验","ECS","E-AU-004-002; E-AU-004-006","Direct跳过部分已声明检查"
"CFG-AU-004-003","Direct workflow","deploy.yml","ref/node/target；base=HEAD^；direct=true","release CLI","Git ref/target/node","GitHub Actions","E-AU-004-004","target deployed SHA不参与base"
"CFG-AU-004-004","Quality workflow","quality.yml","手工；可选candidate；continue-on-error","release build/package","部分步骤非阻断；随后清空动作","GitHub Actions","E-AU-004-004","不是正式Direct前置"
"CFG-AU-004-005","OSS Console workflow","deploy-oss.yml","bucket/endpoint/signed URL/source","OSS helper + activation script","tar/manifest/hash/version","GitHub + OSS + ECS","E-AU-004-008","账户侧bucket policy未审"
"CFG-AU-004-006","L0 edge","zhudatuan/aliyun/Caddyfile","fufu host与file roots/proxies","Caddy","固定文件validate通过","ECS Caddy","E-AU-004-009; E-AU-004-010","active文件不匹配仓库历史"
"CFG-AU-004-007","L1 gateway edge","hbbtzn-l1/api-gateway.Caddyfile","4430；host→static/4322/4323/4331/4326/4324/4433/4410","sfl-api-gateway","validate + unknown host 421设计","ECS loopback","E-AU-004-009","active版本含基线后h6变化"
"CFG-AU-004-008","Cloudflared ingress","hbbtzn-l1/cloudflared.yml.example","HBBTZN hosts→https://127.0.0.1:4430","sfl-cloudflared","示例本身无账户验证","Cloudflare tunnel/ECS","E-AU-004-009","tunnel ID、DNS、凭据未审"
"CFG-AU-004-009","node manifests","zhudatuan-l0.json / hbbtzn-l1.json","node/realm/ports/依赖","runtime factories/systemd/AutoNode","生成器与runtime校验分散","各节点","E-AU-004-002","生成源与active版本留AU-005"
"CFG-AU-004-010","systemd runtime env","/opt/sfl/nodes/%i/runtime/*.env + shared runtime.env","端口、manifest、secret/object/DB refs","18 units","Ready/进程启动时验证","ECS","E-AU-004-011","未读取任何secret值；逐键待专项"
"CFG-AU-004-011","release retention","release-retention.conf.example","allowed roots/grace/recent/pins","release-policy.sh","路径白名单","ECS root oneshot","E-AU-004-017","生产实际conf内容未纳入固定基线"
"CFG-AU-004-012","SSH host identity","三个workflow known_hosts","运行时ssh-keyscan，无预置fingerprint","ssh/scp","只有本次握手所得key","GitHub runner→ECS","E-AU-004-015","F-0019；组织secret侧未知"
