"evidence_id","kind","location","fact","supports"
"E-AU-029-001","覆盖","directcharge目录","9文件79行全部逐文件阅读","覆盖"
"E-AU-029-002","运行入口","ProviderFactories/DirectchargeProvider","required factory编入Commerce并发布六业务ports和Webhook","架构"
"E-AU-029-003","履约caller","FulfillmentJobs.ts:37-67","提交固定请求Order/order，查询固定请求Logistics/tracking","F-0119"
"E-AU-029-004","Directcharge契约","manifest.ts:12; Provider.ts:6","manifest无Order/Logistics；factory有order/tracking","F-0119"
"E-AU-029-005","Registry","ExtensionRegistry.ts:76-82","capability和port分别检查，不做语义配对","F-0119/F-0120"
"E-AU-029-006","能力矩阵","manifest.ts:12; Provider.ts:6; PortFactory.ts:20-33","Issue/DirectCharge/Query/Verify等与现有ports无唯一映射","F-0120"
"E-AU-029-007","测试","tests/Provider.test.ts","只核required ID、definition ID和manifest签名","F-0121"
"E-AU-029-008","死码检索","全仓rg","ErrorMap零caller；Webhook为既有公共别名","DC-0037/DC-0026"
"E-AU-029-009","共享风险","AU-021/AU-022","Webhook event ID、任意HTTPS origin和响应预算风险继承，不重复计数","继承"
"E-AU-029-010","验证","package scripts","test/typecheck均127，工具缺失","验证限制"
