"不变量编号","不变量","业务依据","代码执行点","数据库执行点","API校验点","测试","并发成立性","恢复成立性","证据状态","破坏检测/恢复"
"INV-AU002-001","Console 必须先接受 node/runtime config，才开始 API prefetch 和 providers import","host-bound API/identity 不能由页面猜测","main.tsx:18-24；RuntimeConfig.ts","不适用","客户端 runtime schema","main.test.ts 源顺序断言；未执行","顶层只启动一次；StrictMode 在配置后","启动失败页或 dynamic import 一次 reload","FACT E-AU-002-003","runtime 文件/动态 chunk 反事实；恢复原制品"
"INV-AU002-002","Console 每个 scope 路由上下文必须来自当前 session 且 scope 属于该 session","作用域深链不能绕过会话成员关系","SessionLoader.ts:94-108,254-428","待身份数据 AU","session/profile/layers parse","SessionLoader.test.ts 有 invalid/prefetch/forbidden；未执行","同一路由 request AbortSignal；后端并发未知","401 转登录；错误由 Router boundary","FACT E-AU-002-005","不同 scope/session/accessVersion 组合反事实"
"INV-AU002-003","Console module route ID/path 唯一且每模块正好一个 entry","导航、默认跳转和 owner 必须一一对应","ConsoleModuleRegistry + 15 manifests","不适用","不适用","registry/routes tests；AU-001 深审","启动期冻结图","校验失败阻断模块加载","FACT E-AU-002-004","新增 route 后重跑 registry/materializer"
"INV-AU002-004","Auth 页面必须绑定当前 accounts host 对应节点，consumer application/target 必须精确匹配","防止跨节点入口被 query 重写","identityNodeEnvironment.ts:31-76；consumerIdentityEntry.ts:27-69","待身份 AU","Identity API target 另审","consumerIdentityEntry/identityNodeRuntime tests；未执行","纯函数/单 runtime registry；运行期替换竞态待审","不匹配返回 invalid 或抛 entry invalid","FACT E-AU-002-008/009","host/query 矩阵反事实"
"INV-AU002-005","Owner-approved UI 机器清单应能同时证明锁文件未漂移和批准组件进入正式入口","owner approval 需约束用户真正看到的界面","owner-approved-ui.json + checker + App import graph","不适用","不适用","check:approved-ui 当前失败","不适用","恢复须由 Owner 确认权威 UI 后在独立批次校准","CONFLICT E-AU-002-010","门禁 SHA + bundle/import graph +视觉验收三联"
"INV-AU002-006","Auth 成功 2xx 响应必须在字段消费前通过对应 Schema，并使用解析后的 data","前后端契约漂移应 fail closed 而非进入半完成 UI","canonicalIdentity/Registration 九处","后端事务待审","客户端响应 Schema","现有 mock 成功/HTTP 错误；无 malformed 2xx","每个请求独立；注册重试幂等待审","当前不成立；safeParse 结果被丢弃","CONFLICT E-AU-002-011/012","畸形成功响应反事实；恢复原 parse 语义仅为建议非本审计动作"
"INV-AU002-007","Storefront public API 必须先由同一 fetch 入口尝试，再回落 App Router","同源 public catalog 与页面共享部署单元","worker/index.ts:52-57","Compatibility DB 待审","routePublicRequest","worker/public catalog tests 待执行","await 串行分流","API Response 直接返回；null 才回落","FACT E-AU-002-014/015","API 命中/null/reject 三分支"
"INV-AU002-008","Storefront 生产 host 只接受 production+membership，showcase 只在 labs 或非生产本地 host","生产商城不能暴露展示入口/错误运行配置","showcaseAccess.ts:5-35；worker:22-50","不适用","Worker host policy","showcaseAccess tests 待执行","纯函数","404/503 no-store","FACT E-AU-002-014","host×APP_ENV×AUTH_MODE 穷举"
"INV-AU002-009","Storefront 认证写调用必须拥有 session、CSRF 和 idempotency key","客户端写入上下文必须完整","canonicalApiClient.ts:70-84","服务端约束待审","SDK RequestContext","canonicalApiClient/productionApi tests待执行","activeSession 为进程内浏览器状态；多标签页未知","401 清 session；其它错误映射","FACT（仅客户端）E-AU-002-015","缺 session/csrf/key 三个反事实"
"INV-AU002-010","Miniapp 若作为 required/current client，最小拓扑必须包含 manifest、页面、API compatibility edge 和 action dispatcher","candidate/quality/delivery 声明要求可构建、可导航、可调用","navigation/runtimegraph/candidate/tests/delivery matrix","后端待审","缺 api/client","navigation 当前失败；tests 反而通过","不适用","当前多套规则互相冲突，无统一恢复路径","CONFLICT E-AU-002-018/019/020","先确定产品/外部工程事实，再统一最小清单；不得猜测补文件"
"INV-AU002-011","全局 CSS 根失败时必须有可见加载/失败状态且不误收集图外样式","页面可见性和视觉契约","Console/Auth static import；Storefront first-paint guard + globals","不适用","不适用","build/视觉未执行","浏览器加载顺序由 bundler","Storefront CSS 不到达时 guard 保持可见；其它应用由 HTML/错误页","PARTIAL E-AU-002-007/017","真实 build metafile + 页面网络失败视觉对照"
"INV-AU002-012","前端机器证据和 debt allowlist 必须与同一固定源码树一致","质量门禁不能在基线自身失败或接受陈旧证据","frontend.mjs/frontendmanifest.mjs/owner-approved checker","不适用","不适用","T-AU-002-001/006/007 当前失败","不适用","只能在独立治理批次基于 owner 决定重建","CONFLICT E-AU-002-010/021/022","每次变更后 check；加入反事实避免只刷新快照"
