"evidence_id","kind","location","fact","supports"
"E-AU-028-001","覆盖","book目录","9文件79行全部逐文件阅读","覆盖"
"E-AU-028-002","运行入口","ProviderFactories.ts:14-26; BookProvider","required factory编入Commerce并发布九个ports","架构"
"E-AU-028-003","订单链","FulfillmentJobs.ts:37-67","Order成功后写accepted并固定enqueue tracking；tracking请求Logistics/tracking","F-0116"
"E-AU-028-004","Book契约","manifest.ts:12; Provider.ts:6","manifest声明Shipment，factory提供tracking；没有Logistics capability","F-0116"
"E-AU-028-005","Registry","ExtensionRegistry.ts:76-82","capability字符串和port分别检查，不做语义映射","F-0116/F-0117"
"E-AU-028-006","退货契约","manifest.ts:12; Provider.ts:6","Return与Refund同时声明，只有refund port指向book.return.submit","F-0117"
"E-AU-028-007","测试","tests/Provider.test.ts","只核required ID、definition ID和manifest签名","F-0118"
"E-AU-028-008","死码检索","全仓rg","ErrorMap零caller；Webhook为既有公共别名","DC-0036/DC-0026"
"E-AU-028-009","共享风险","AU-022/AU-021","任意HTTPS origin/无响应预算及Webhook event ID风险继承，不重复计数","继承"
"E-AU-028-010","验证","package scripts","test/typecheck均127，工具缺失","验证限制"
