"函数编号","文件编号","位置","1 唯一职责","2 参数来源","3 运行时校验","4 类型真实性","5 默认值","6 特殊输入","7 参数变异","8 外部可变状态","9 调用顺序依赖","10 隐藏前置条件","11 不变量","12 返回路径","13 抛错路径","14 提前返回","15 外部调用","16 数据库写入","17 日志","18 权限判断","19 重试","20 超时","21 资源清理","22 Promise","23 并发安全","24 重复调用","25 半完成状态","26 已测分支","27 未测分支","28 复杂度","29 拆分判断","30 相邻重复"
"FN-00416-001","FILE-00416","main.tsx:15-34 顶层 bootstrap","在已接纳 runtime 后启动预取并挂载 Providers","DOM 与导入模块","检查 root；错误 cause 类型守卫","runtime/provider 类型由 TS；网络数据由下游 schema","无 root 默认；未知 cause 映射固定错误码","root null 同步抛；非 Error cause 使用默认文案","不适用","DOM root、window timer/location、prefetch globals/recovery marker","runtime→prefetch→dynamic import→clear marker→render","index.html 必须有 #root；runtime loader必须先完成","INV-AU002-001","顶层 void Promise；成功 render，失败 reload或错误页","APP_ROOT_MISSING；runtime/import reject","recoverFromDynamicImportFailure true 时不渲染错误页","loadConsoleRuntimeConfig/startDocumentPrefetch/import/providers/render/reload","无","无","无直接权限","dynamic import recovery 至多一次窗口逻辑在下游","无 bootstrap deadline；render 延后一 tick","无 timer handle；一次性任务","显式 void 后用 then 双分支消费","单页面模块一般求值一次；重复加载由 ESM 缓存","重复执行会重复 createRoot/prefetch，不属正常路径","prefetch 已启动而 providers 后失败，恢复靠 reload/错误页","main.test 源顺序/失败标记","真实 DOM/fetch/chunk/CSP 失败","中：顶层异步双分支","后续可测试性专项考虑封装；本审计不建议改","无第二 root bootstrap"
"FN-00422-001","FILE-00422","ConsoleRouter.tsx:16-43 模块级路由构造","将固定 module registry 与 loader/shell 组成 Browser Router","静态 imports 与 basename env","registry/materializer 已在下游校验；本文件无额外 schema","RouteObject satisfies 仅编译期；实际对象来自受控构造器","basename 空白→undefined","无默认 module 时 index 由 materializer生成 NotFound","不修改输入","browser history/env；router内部状态","consoleModules 初始化必须先成功","服务端必须把深链回退到 index.html，代码内未表达","INV-AU002-003","导出 route child 数组和 router","createBrowserRouter/materializer/import 失败传播","无","createBrowserRouter、lazy imports","无","无","operations 仅随 handle 传递；不授权","无","无","Router/lazy管理","模块求值同步；lazy 函数以后返回 Promise","单例 router","ESM 下单次；测试可能重复 isolate","构造中异常不会导出部分 router","route/registry tests","basename与服务器 deep-link fallback","中：声明式装配","保持共址便于总图","ConsoleModuleRoutes 是物化器非替代 router"
"FN-00433-001","FILE-00433","SessionLoader.ts:69-77 scopeShouldRevalidate","只在 scope kind/id 改变时重跑父 loader","React Router current/next URL","scopeRouteKey 提取路径；无 URL schema异常分支","URL 为框架真实对象","无","非 scope URL 返回 undefined；undefined→undefined 表示不重载","否","无","Router 在 navigation 前调用","query/hash 变化不应重建 scope context","INV-AU002-002","boolean","无预期 throw","同 key 返回 false","scopeRouteKey","无","无","无","无","无","无","同步纯函数","纯函数并发安全","确定性","无","SessionLoader.test 同 scope/跨 scope","编码差异、basename、trailing slash","低","不拆","无"
"FN-00433-002","FILE-00433","SessionLoader.ts:83-92 landingLoader","读取 session并选择第一个可进入 scope/module URL","Router Request/AbortSignal","readSession parser；目标选择函数受 registry/capabilities","session 是运行时解析后的结构","无","无 scope/operation 时选择 profile 或由下游规则处理","否","landingSession handoff 缓存","必须先有 valid session，再构造 URL/写 handoff","目标必须来自当前 session scope","INV-AU002-002/003","redirect Response","readSession/URL helper错误传播；401路径由读取层映射","无","readSession、target selector、redirect","无","无","按 capabilities 选择可见入口，不替代 API授权","无","继承 request signal","5 秒 handoff 上界由后续读取控制","Promise 全程 await","模块级 handoff 同 tab；并行 landing请求可能后写覆盖，正常 Router 串行假设","重复 landing 再读 session并更新 handoff","redirect前只有内存 handoff，无持久半状态","tests 覆盖 handoff/无 operation profile","并行 navigation/多 tab","中","职责集中","无第二 landing loader"
"FN-00433-003","FILE-00433","SessionLoader.ts:94-108 scopeLoader","为精确 scope 深链构建 ConsoleContext","params、Request、session/prefetch/SDK","parseScopeParameters/session/profile/layers；确认 scope membership","所有外部 JSON 经手工 parser；类型断言集中在 guard内部","profile可回退 session；prefetch可缺失","非法参数/session/scope导致错误或跳转，不返回部分 context","否","消费 landing/prefetch slots；读取 SDK","必须在 roots/scope校验后渲染 Shell","scope 必须属于当前 session；accessVersion进入 context","INV-AU002-002","冻结 ConsoleContext","参数/网络/401/schema/scope mismatch传播","可用 landing handoff 时跳过 session网络；profile 403 fallback","readSession/readLayers/readProfile/Promise.all","无","无","前端 membership 检查；后端仍需授权","无自有重试；prefetch fallback可能再次 SDK请求","request AbortSignal；prefetch 1.5秒handoff","下游 consume finally cleanup","async Promise；layers/profile并行","同一 request局部；共享 prefetch slot一次消费","重复调用重新读或消费不到 slot","profile失败被允许时 context仍完整；网络无写","tests 覆盖 invalid prefetch/profile 403/401","真实 API延迟、scope撤权竞态","高：关键组合但边界明确","保持 parser/helper 分离","DocumentPrefetch 只优化第一跳"
"FN-00433-004","FILE-00433","SessionLoader.ts:206-241 consumeDocumentPrefetch","在 abort 与 1.5秒窗口内接管 document-level Promise，否则放弃并取消","可选 tracked slot、Router AbortSignal","slot存在性、signal.aborted；结果值由调用方parser","泛型只是编译期；Promise payload运行时未知","slot undefined→undefined","预先 aborted抛；pending超时返回undefined","不修改参数；调用全局 abort回调","window.__consoleAbortDocumentPrefetch、timer/listener","必须删除全局 slot后调用避免重复消费","超时/导航必须停止 document prefetch且不遮蔽 SDK fallback","INV-AU002-002","payload、undefined 或抛 AbortError","signal abort reason；slot reject（由race传播）","slot缺失直接undefined；timeout后undefined","Promise.race/window timer/abort callback","无","无","无","无","1.5秒固定handoff","finally removeEventListener/clearTimeout；timeout/abort 调全局 abort","await tracked promise、abort promise、timeout promise race","单次slot消费；共享 abort会取消同文档所有预取","再次调用通常slot已删除","无持久状态；只可能让预取结果被放弃","tests 声明覆盖 settled/pending/abort/invalid","simultaneous consumers、AbortSignal.reason兼容","高分支但职责单一","保持独立便于反事实测试","SDK fallback是上游恢复"
"FN-00433-005","FILE-00433","SessionLoader.ts:265-365 parseSession/parseScope/parseProfile/page","把 unknown API JSON 收窄为 Console 入口模型","prefetch/SDK JSON","isRecord、非空、整数、数组、枚举/可选字段逐层检查","返回新对象/数组；不信任 TS transport type","可选字段保留 undefined；空 capability/scopes可合法但上游处理","null/array/畸形字段返回undefined","否","无","必须在任何 session字段消费前调用","session/scope/profile/accessVersion字段满足前端模型","INV-AU002-002","解析对象或 undefined","纯 guard一般不抛；getter/极端对象未考虑","任一必填字段失败即 undefined","本地 parse helpers","无","无","不做授权决策，仅解析能力集合","无","无","无","同步纯函数组","局部数组；并发安全","确定性","无","SessionLoader.test invalid schema","超大数组、重复能力、Unicode/极端对象","中高：多 schema 手写","后续契约专项比较 SDK Schema；本审计不改","可能与 SDK/contract schema重复，语义差异待审"
"FN-00467-001","FILE-00467","ScopeShell.tsx:30-265 ScopeShell","渲染作用域 shell、能力可见导航、logout、预载入和焦点管理","useLoaderData/useMatches/navigation/queryClient/用户事件","route handle guard、module/capability filters；下游 API runtime校验","ConsoleContext来自 loader；DOM/query状态真实","未知 module→通用 loading；可选 label/route handle fallback","无可见 module仍保留 shell；logout错误显示状态","不变异 context；写 React/query/window状态","QueryClient cache、DOM focus、window location/idle、MutationObserver","loader必须先成功；logout先读live session再delete；导航前cancel queries","当前 route owner必须来自最深合法 handle","INV-AU002-002/003","React tree；event handlers/effect cleanup","dynamic import/API/logout errors映射UI或上层","无能力的 module从导航排除；未知 match不冒充owner","Client/AppConfig dynamic import、identitySessionRead/Delete、module prefetch","无","无敏感值日志","按 capabilities控制可见性；不是安全边界","无通用重试","idle timeout 1秒/200ms；API下游","cleanup idle/timer/MutationObserver；React Query cancel","多处 void import/prefetch显式放弃；logout await","hooks按固定顺序；快速 scope切换依赖 cleanup/query key","重复 hover/idle利用模块缓存；logout防重复状态待测","logout已delete但redirect/import config失败的可见状态待审","ScopeShell.test route owner/capability","真实 DOM focus、logout失败、chunk reject","高：组合壳职责多","后续 shell专项可评拆分；本审计不改","Header/Sidebar/Preload helpers分担子职责"
"FN-00035-001","FILE-00035","auth-web/main.tsx:7-33 bootstrap/renderApp","尽快渲染 build-known节点并异步接纳 runtime节点","DOM、configured node、runtime Promise","renderedFromBuild防重复；错误 cause类型守卫","configured/runtime真实性由下游 parser","无","build node解析抛被catch；runtime 404 false仍调用renderApp","无参数","React root、rendered flag、runtimeRegistry下游","先尝试build node，再无条件启动runtime；renderApp最多一次（错误页可覆盖）","#root非空使用非空断言；HTML必须保证","INV-AU002-004","void Promise；渲染 App或错误页","createRoot root缺失可能抛；runtime reject进入catch","已渲染时 renderApp直接返回","configuredIdentityNode/loadIdentityNodeRuntime/root.render","无","无","无","无","无 timeout/retry","无资源","Promise then/catch完整消费","顶层一次；runtime与首次render存在有意竞态","重复模块执行会createRoot冲突，非正常路径","App已显示后runtime host mismatch会被错误页覆盖；无持久写","main.test 源顺序；runtime tests","React调度、runtime慢/永不settle、root缺失","中","可测试性可改善但不在审计分支","无第二 bootstrap"
"FN-00028-001","FILE-00028","App.tsx:12-51 App","根据 host/query维持当前 identity audience并挂载对应页面","window location、resolveIdentityEntry、用户切换","resolver返回联合/null；本函数无额外 schema","entry由受控 resolver；React state不随popstate自动更新","SSR search/host为空","entry null显示invalid；node品牌二选一","不变异 resolver值；写 history/state/title","window history/document、React state","初始只解析一次；switch先构造query再重解析再replace/setState","浏览器外部 URL变化不会自动触发重算，除非组件重建/内部切换","INV-AU002-004/005","React tree","子组件/render错误向 boundary；本函数无catch","entry null或nextEntry null停止","resolveIdentityEntry/history.replaceState/MallProvider/pages","无","无","只选择受众，不证明身份/授权","无","无","effect无cleanup（只写title）","同步render；事件handler同步","React state更新串行；多窗口各自独立","重复 audience switch可在两态切换","replaceState后setState若render异常，URL已改变","resolver tests；无App direct test定位","back/forward/popstate、无JS、子页面失败","中","页面分流清晰；owner冲突是治理问题","LoginPage未挂载且非已证等价"
