编号,定义位置,code,kind,owner,permission,audience,Operation匹配,owner一致,permission一致,audience一致,审阅结论
CAP-AU-007-001,01_core_hexin/packages/contract/definitions/capabilities.yml:3,runtime.health.read,operation,runtime,,public,false,false,false,false,[FACT] 孤儿记录；关联F-0041
CAP-AU-007-002,01_core_hexin/packages/contract/definitions/capabilities.yml:8,identity.sessions.create,operation,identity,,public,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-003,01_core_hexin/packages/contract/definitions/capabilities.yml:13,identity.loginintents.create,operation,identity,identity.session.read,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-004,01_core_hexin/packages/contract/definitions/capabilities.yml:18,identity.tickets.exchange,operation,identity,,public,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-005,01_core_hexin/packages/contract/definitions/capabilities.yml:23,identity.session.read,operation,identity,,member,true,true,false,true,[FACT] 漂移:permission；关联F-0041
CAP-AU-007-006,01_core_hexin/packages/contract/definitions/capabilities.yml:28,identity.session.delete,operation,identity,,member,true,true,false,true,[FACT] 漂移:permission；关联F-0041
CAP-AU-007-007,01_core_hexin/packages/contract/definitions/capabilities.yml:33,identity.sessions.read,operation,identity,identity.session.read,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-008,01_core_hexin/packages/contract/definitions/capabilities.yml:38,identity.sessions.revoke,operation,identity,identity.session.manage,member,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-009,01_core_hexin/packages/contract/definitions/capabilities.yml:43,identity.challenges.create,operation,identity,,public,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-010,01_core_hexin/packages/contract/definitions/capabilities.yml:48,identity.invitations.read,operation,identity,,public,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-011,01_core_hexin/packages/contract/definitions/capabilities.yml:53,identity.invitations.create,operation,identity,identity.invitation.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-012,01_core_hexin/packages/contract/definitions/capabilities.yml:58,identity.invitations.revoke,operation,identity,identity.invitation.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-013,01_core_hexin/packages/contract/definitions/capabilities.yml:63,identity.members.create,operation,identity,,public,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
CAP-AU-007-014,01_core_hexin/packages/contract/definitions/capabilities.yml:68,identity.members.manage,operation,identity,member.manage,operator,true,true,true,true,[FACT] 字段与Operation一致；关联F-0041
