"通信编号","上游","下游","方式","契约/载荷","同步/异步","超时","重试/幂等","失败传播","证据","状态"
"COM-AU-007-001","四份definitions YAML + PermissionCatalog","ContractGenerator","构建时文件读取","Operation/Event/Capability/Error记录","同步CLI","无内部deadline","无重试","解析/validate/emit失败使命令退出；写模式可能已写前序目标","E-AU-007-002/010","[FACT]"
"COM-AU-007-002","operations.yml","OpenAPI + contract TS + SDK","静态生成","345 Operation及normalized metadata/schema allowlist","构建时","Operation timeout= timeout只是输出metadata","--check逐字比对","漂移使check失败；正式check本环境未加载","E-AU-007-003/005","[FACT/CONFLICT] 生成值一致但schema语义不一致"
"COM-AU-007-003","operations.yml","Commerce OperationController","静态生成后模块注册","271 runtime route、permission、audience、idempotency/version policy","同步HTTP","request.deadline由HTTP层提供","写请求要求idempotency；handler执行语义另审","授权或handler失败经ErrorMapper","E-AU-007-004/005","[FACT]"
"COM-AU-007-004","OperationController","AccessPipeline→DB capability/permission resolver","同步函数/SQL","operation id、permission、resource、session context","同步","由HTTP deadline/DB客户端","无授权重试","拒绝为PERMISSION/CAPABILITY/SCOPE等错误","E-AU-007-004","[CONFLICT] 两manage使用member.read"
"COM-AU-007-005","OperationController","OperationHandler→ModuleOperations→业务action","同步调用","OperationInput/AccessContext/OperationResult","同步或目录声明async","ExecutionKernel/请求deadline","generic与critical写路径不同","异常映射HTTP；事务回滚由runner","E-AU-007-005/008","[FACT/UNKNOWN] writePath完整性未定稿"
"COM-AU-007-006","events.yml","COMMERCE_EVENTS + app/events.ts→RuntimeEventPublisher","生成静态Map+数据库消息","type/version/owner/schema/handlers","异步事件消费","job/claim专项","inbox去重、job重试留AU-005/异步专项","未知version拒绝；handler job失败进入队列恢复","E-AU-007-003/007","[CONFLICT] checksum不覆盖schema/handlers"
"COM-AU-007-007","errors.yml","ErrorContract.generated→ErrorMapper","静态Map+同步HTTP映射","code→HTTP status","同步","不适用","不重试","未声明或500均变INTERNAL_ERROR 500","E-AU-007-006","[CONFLICT] 正式门禁扫描空旧roots"
"COM-AU-007-008","operations/events/permissions","database/contracts/current.sql","构建时SQL模板投影","runtime operation/event/capability/permission/checksum行","离线生成；应用者UNKNOWN","不适用","SQL本身事务语义留数据专项","生成失败或应用失败；无正式部署调用已确认","E-AU-007-003/007/016","[FACT/UNKNOWN]"
"COM-AU-007-009","Console Storefront member UI","SDK member factories→manage HTTP","同步浏览器请求","ProfileConfig/CustomProfile body + member.read session/capability","同步mutation","SDK deadline/retry","idempotency key由consoleCommand","服务拒绝则保留UI draft；允许则写数据库","E-AU-007-004","[FACT] 真实调用存在"
"COM-AU-007-010","capabilities.yml","ContractGenerator validator","构建期局部比较","仅匹配Operation的audience","同步","不适用","无","孤儿/缺项/permission漂移不触发失败","E-AU-007-009","[CONFLICT]"
