"探针编号","输入差异","预期","实际","证据结论","线上结论","关联"
"PROBE-AU-011-001","status invited/suspended/offboarded/expired","拒绝","均false","Membership状态fail closed","未查线上","INV-001"
"PROBE-AU-011-002","expiry等于now/晚1ms/非法","拒绝/允许/拒绝","一致","严格到期边界","未查时钟","INV-001"
"PROBE-AU-011-003","allow和explicit deny同permission","deny","PERMISSION_DENIED","deny优先","未查角色数据","INV-002"
"PROBE-AU-011-004","permission缺失","deny","PERMISSION_MISSING","默认拒绝","未查调用频率","INV-002"
"PROBE-AU-011-005","critical step-up恰好900秒/更旧1ms/未来1ms","允许/拒绝/拒绝","一致","默认时间窗正确","未查时钟同步","INV-004"
"PROBE-AU-011-006","从公开Set删除order.refund","仍应critical","无step-up变为ALLOWED","安全事实可改写","无生产mutation caller","F-0032"
"PROBE-AU-011-007","旧26年step-up+Infinity max age","拒绝","ALLOWED","无界option绕过fresh语义","当前caller不传","F-0061"
"PROBE-AU-011-008","critical+wrong mall+无step-up","scope拒绝","STEP_UP_REQUIRED","失败顺序误导","兼容路由无正式入口","F-0062"
"PROBE-AU-011-009","同上+fresh step-up","scope拒绝","SCOPE_MISMATCH","第二次才暴露真实失败","兼容路由无正式入口","F-0062"
"PROBE-AU-011-010","global和低层grant并存且跨tenant","选择global","platform evidence","find过滤正确继续后续grant","未查DB实例","INV-003"
