"编号","路径","行数","类型","入口","状态/结论"
"FILE-AU-019-001","01_core_hexin/apps/auth-web/.env.example","6","项目配置","Auth构建/开发","已深入审阅；运行/构建关系核对"
"FILE-AU-019-002","01_core_hexin/apps/auth-web/.gitignore","8","项目配置","Auth工作区","已深入审阅；忽略范围核对"
"FILE-AU-019-003","01_core_hexin/apps/auth-web/README.md","22","文档","人工入口","已深入审阅；与运行代码漂移核对"
"FILE-AU-019-004","01_core_hexin/apps/auth-web/index.html","27","HTML","浏览器入口","已深入审阅；入口/metadata/资源核对；F-0089"
"FILE-AU-019-005","01_core_hexin/apps/auth-web/package.json","40","配置","npm workspace","已深入审阅；脚本/依赖/入口核对"
"FILE-AU-019-006","01_core_hexin/apps/auth-web/public/brand/apple-touch-icon.png","15","静态品牌资产","index.html","已结构性审阅；180x180"
"FILE-AU-019-007","01_core_hexin/apps/auth-web/public/brand/brand-lockup-horizontal.svg","18","静态品牌资产","零现行caller","已结构性审阅；DC-0025"
"FILE-AU-019-008","01_core_hexin/apps/auth-web/public/brand/brand-mark.svg","19","静态品牌资产","legacy LoginPage","已结构性审阅；DC-0025/GX-0002"
"FILE-AU-019-009","01_core_hexin/apps/auth-web/public/brand/favicon.svg","12","静态品牌资产","index.html","已结构性审阅；XML/入口核对"
"FILE-AU-019-010","01_core_hexin/apps/auth-web/public/brand/icon-192.png","36","静态品牌资产","webmanifest","已结构性审阅；192x192"
"FILE-AU-019-011","01_core_hexin/apps/auth-web/public/brand/icon-512.png","28","静态品牌资产","webmanifest","已结构性审阅；512x512"
"FILE-AU-019-012","01_core_hexin/apps/auth-web/public/brand/share-wechat.png","64","静态品牌资产","index.html OG","已结构性审阅；1200x630；F-0089"
"FILE-AU-019-013","01_core_hexin/apps/auth-web/public/brand/site.webmanifest","23","Web manifest","index.html/PWA","已深入审阅；资源/相对scope核对"
"FILE-AU-019-014","01_core_hexin/apps/auth-web/public/brand/wing-code-symbol.svg","20","静态品牌资产","零现行caller","已结构性审阅；DC-0025"
"FILE-AU-019-015","01_core_hexin/apps/auth-web/public/brand/wing-pattern.svg","12","静态品牌资产","零现行caller","已结构性审阅；DC-0025"
"FILE-AU-019-016","01_core_hexin/apps/auth-web/src/App.tsx","63","TypeScript源码","main.tsx","已深入审阅；页面分流；F-0005/F-0084/F-0086"
"FILE-AU-019-017","01_core_hexin/apps/auth-web/src/buildEnvironment.test.ts","42","测试源码","vitest","已深入审阅；build registry oracle"
"FILE-AU-019-018","01_core_hexin/apps/auth-web/src/buildEnvironment.ts","36","TypeScript源码","vite.config","已深入审阅；production registry/version约束"
"FILE-AU-019-019","01_core_hexin/apps/auth-web/src/context/MallContext.tsx","39","TypeScript源码","App/legacy LoginPage","已深入审阅；当前Provider无页面consumer"
"FILE-AU-019-020","01_core_hexin/apps/auth-web/src/hooks/useSmsResendCountdown.ts","46","TypeScript源码","零现行caller","已深入审阅；DC-0024"
"FILE-AU-019-021","01_core_hexin/apps/auth-web/src/index.css","294","样式","main.tsx","已深入审阅；当前shell选择器/响应式/焦点"
"FILE-AU-019-022","01_core_hexin/apps/auth-web/src/main.test.ts","12","测试源码","vitest","已深入审阅；源码字符串oracle；F-0090"
"FILE-AU-019-023","01_core_hexin/apps/auth-web/src/main.tsx","33","TypeScript源码","index.html","已深入审阅；bootstrap；F-0084/F-0085"
"FILE-AU-019-024","01_core_hexin/apps/auth-web/src/screens/ConsumerIdentityPage.tsx","378","TypeScript源码","App consumer分支","已深入审阅；登录/注册/找回链；F-0090"
"FILE-AU-019-025","01_core_hexin/apps/auth-web/src/screens/IdentityAudienceSwitch.tsx","42","TypeScript源码","MorviaIdentityShell","已深入审阅；渠道切换UI"
"FILE-AU-019-026","01_core_hexin/apps/auth-web/src/screens/LoginPage.tsx","1327","TypeScript源码","当前App零import","已深入审阅；GX-0002/F-0005"
"FILE-AU-019-027","01_core_hexin/apps/auth-web/src/screens/MorviaIdentityShell.tsx","57","TypeScript源码","Consumer/Operator","已深入审阅；品牌shell/布局"
"FILE-AU-019-028","01_core_hexin/apps/auth-web/src/screens/OperatorIdentityPage.test.ts","74","测试源码","vitest/jsdom","已深入审阅；仅2个现行页面行为"
"FILE-AU-019-029","01_core_hexin/apps/auth-web/src/screens/OperatorIdentityPage.tsx","378","TypeScript源码","App operator分支","已深入审阅；登录/邀请/重置；F-0087"
"FILE-AU-019-030","01_core_hexin/apps/auth-web/src/screens/registrationPresentation.test.ts","33","测试源码","vitest","已深入审阅；孤儿presentation oracle"
"FILE-AU-019-031","01_core_hexin/apps/auth-web/src/screens/registrationPresentation.ts","56","TypeScript源码","零现行caller","已深入审阅；DC-0024"
"FILE-AU-019-032","01_core_hexin/apps/auth-web/src/screens/useIdentityActions.test.ts","135","测试源码","vitest/jsdom","已深入审阅；去重/取消/卸载/并行"
"FILE-AU-019-033","01_core_hexin/apps/auth-web/src/screens/useIdentityActions.ts","108","TypeScript源码","Consumer/Operator","已深入审阅；action协调与telemetry"
"FILE-AU-019-034","01_core_hexin/apps/auth-web/src/services/auth.test.ts","117","测试源码","vitest","已深入审阅；大部覆盖legacy链；F-0090"
"FILE-AU-019-035","01_core_hexin/apps/auth-web/src/services/auth.ts","492","TypeScript源码","legacy LoginPage","已深入审阅；compat/客户端锁定；GX-0002"
"FILE-AU-019-036","01_core_hexin/apps/auth-web/src/services/authInteractionTelemetry.ts","42","TypeScript源码","useIdentityActions","已深入审阅；浏览器CustomEvent"
"FILE-AU-019-037","01_core_hexin/apps/auth-web/src/services/canonicalIdentity.test.ts","502","测试源码","vitest/fetch mock","已深入审阅；正常/错误/回跳；F-0090"
"FILE-AU-019-038","01_core_hexin/apps/auth-web/src/services/canonicalIdentity.ts","541","TypeScript源码","Consumer/Operator/LoginPage","已深入审阅；session/ticket/reset；F-0007/F-0083/F-0088"
"FILE-AU-019-039","01_core_hexin/apps/auth-web/src/services/canonicalRegistration.test.ts","475","测试源码","vitest/fetch mock","已深入审阅；邀请/注册/重试；F-0090"
"FILE-AU-019-040","01_core_hexin/apps/auth-web/src/services/canonicalRegistration.ts","386","TypeScript源码","Consumer/Operator","已深入审阅；invite/challenge/member；F-0007/F-0083/F-0088"
"FILE-AU-019-041","01_core_hexin/apps/auth-web/src/services/consumerFacade.test.ts","13","测试源码","vitest","已深入审阅；孤儿helper测试"
"FILE-AU-019-042","01_core_hexin/apps/auth-web/src/services/consumerFacade.ts","16","TypeScript源码","零现行caller","已深入审阅；DC-0024"
"FILE-AU-019-043","01_core_hexin/apps/auth-web/src/services/consumerIdentityEntry.test.ts","111","测试源码","vitest","已深入审阅；节点/参数/intent矩阵"
