"路由编号","应用","外部路径/条件","注册位置","模块/页面","加载方式","第一跳","失败/回退","证据"
"R-AU002-001","Console","/","ConsoleRouter.tsx:25-31","landingLoader","静态 loader","identity session；随后选择首个可见 module entry","错误进入 RouteError；成功 redirect","E-AU-002-004;E-AU-002-005"
"R-AU002-002","Console","/scopes/:scopeKind/:scopeId","ConsoleRouter.tsx:32-41","ScopeShell + scopeLoader","静态 shell，children lazy","session/profile/organization layers","非法 scope/session 进入 redirect 或 RouteError","E-AU-002-004;E-AU-002-005"
"R-AU002-003","Console",".../cockpit","feature/cockpit/manifest.ts","cockpit / entry","lazy CockpitRoute","reports dashboard（document prefetch）","route error boundary","E-AU-002-004;E-AU-002-006"
"R-AU002-004","Console",".../control","feature/control/manifest.ts","control / entry","lazy ControlRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-005","Console",".../applications","feature/application/manifest.ts","applications / entry","lazy ApplicationRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-006","Console",".../products","feature/product/manifest.ts","products / entry","lazy ProductRoute","catalog listings（document prefetch）","route error boundary","E-AU-002-004;E-AU-002-006"
"R-AU002-007","Console",".../products/:productId","feature/product/manifest.ts","products / detail","lazy ProductDetailRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-008","Console",".../imports/catalog/:jobId","feature/product/manifest.ts","products / technical","lazy ProductImportRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-009","Console",".../supply-chain","feature/supply-chain/manifest.ts","supply-chain / entry","lazy SupplyChainRoute","catalog listings view=supply-chain（document prefetch）","route error boundary","E-AU-002-004;E-AU-002-006"
"R-AU002-010","Console",".../orders","feature/order/manifest.ts","orders / entry","lazy OrderRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-011","Console",".../orders/:orderId","feature/order/manifest.ts","orders / detail","lazy OrderDetailRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-012","Console",".../referral","feature/referral/manifest.ts","referral / child","lazy ReferralRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-013","Console",".../referral/settings","feature/referral/manifest.ts","referral / entry","lazy ReferralRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-014","Console",".../referral/products","feature/referral/manifest.ts","referral / child","lazy ReferralRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-015","Console",".../referral/review","feature/referral/manifest.ts","referral / child","lazy ReferralRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-016","Console",".../referral/bindings","feature/referral/manifest.ts","referral / child","lazy ReferralRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-017","Console",".../referral/withdrawals","feature/referral/manifest.ts","referral / child","lazy ReferralRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-018","Console",".../referral/promotion","feature/referral/manifest.ts","referral / child","lazy ReferralRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-019","Console",".../channels","feature/channel/manifest.ts","channels / entry","lazy ChannelRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-020","Console",".../vouchers","feature/voucher/manifest.ts","vouchers / entry","lazy VoucherRoute","页面专项待审","route error boundary","E-AU-002-004"
"R-AU002-021","Console",".../imports/voucher/:jobId","feature/voucher/manifest.ts","vouchers / technical","lazy ImportRoute","页面专项待审","route error boundary","E-AU-002-004"
