"状态编号","对象","当前状态","允许操作/条件","下一状态","拒绝条件","数据写入","事件","失败结果","重试结果","并发冲突结果","回滚/恢复","证据"
"STATE-AU-009-001","CircuitBreaker","closed","成功operation","closed；failures=0","无","仅内存","无","operation error上抛","由外层决定","旧成功可错误覆盖并发open","无显式回滚","E-AU-009-004"
"STATE-AU-009-002","CircuitBreaker","closed","计数失败且达到threshold","open；openedAt=now","无","仅内存","无","原error上抛","未到恢复期拒绝","同批其它in-flight仍可succeed并关闭","后续失败或重建实例","F-0047"
"STATE-AU-009-003","CircuitBreaker","open","elapsed < recovery","保持open","所有run抛CIRCUIT_OPEN","无","无","CIRCUIT_OPEN","外层可重试但仍拒绝","不适用","等待时钟","E-AU-009-004"
"STATE-AU-009-004","CircuitBreaker","open","elapsed >= recovery且首个run","halfopen；probing=true","后续并行probe拒绝","仅内存","无","由probe结果决定","外层retry嵌套于单run","单probe正确串行","probe完成应转态","E-AU-009-004"
"STATE-AU-009-005","CircuitBreaker","halfopen","probe成功","closed","无","仅内存","无","无","恢复调用","无","自动恢复","E-AU-009-004"
"STATE-AU-009-006","CircuitBreaker","halfopen","probe失败且classifier=true","open","无","仅内存","无","原error上抛","等待恢复期","无","自动重开","E-AU-009-004"
"STATE-AU-009-007","CircuitBreaker","halfopen","classifier抛错","halfopen；probing仍true","后续全部CIRCUIT_OPEN","仅内存","无","classifier error上抛","后续重试无法成为probe","实例永久占用","重建实例/进程","F-0047"
"STATE-AU-009-008","Retry","attempt中","operation成功","完成","deadline已过先拒绝","无自有持久写","无","返回result","停止","调用方副作用由mode约束","不适用","E-AU-009-005"
"STATE-AU-009-009","Retry","attempt失败","还有次数且retryable且delay<remaining","等待后下一attempt","不可重试/末次直接抛；delay超界抛DEADLINE_EXCEEDED","可能已发生外部副作用，Kernel不知情","无","规范化error或deadline error","最多policy.attempts","businesskeywrite无key也可重复","外部补偿不在Kernel","F-0048"
"STATE-AU-009-010","Deadline","active","timer到期或parent abort","aborted","无","AbortController状态","abort signal","DEADLINE_EXCEEDED/REQUEST_ABORTED","调用方决定","signal广播","dispose只清资源不反转abort","E-AU-009-009"
"STATE-AU-009-011","Deadline","active","expiresAt-now > MAX_TIMER","timer在MAX触发","无","AbortController状态","abort signal","早于expiresAt中止","不适用","所有共享signal任务同时中止","当前无二段timer恢复","F-0051"
"STATE-AU-009-012","ModuleCatalog resolve","unvisited","visit required capability","visiting→visited并拓扑入队","missing/ambiguous/cycle抛Error","局部Map/Set","无","同步抛错；无部分外部状态","无","输入对象mutation可改变后续解析视图","重建catalog","F-0049"
