"evidence_id","kind","location","fact","supports","limit"
"E-AU-024-001","覆盖","foodvoucher目录","9文件79行全部逐文件阅读","AU-024覆盖","consumer按入口定向追踪"
"E-AU-024-002","生产注册","services/commerce/src/bootstrap/ProviderFactories.ts:6,23","FoodvoucherProvider固定进入Commerce factory registry","运行入口","线上enabled installation未知"
"E-AU-024-003","能力表面","Provider.ts:6-16; manifest.ts:4-19","Provider构造6业务ports加Webhook；manifest声明Catalog/Issue/Bind/Verify/Void/Extend/Refund/Statement/Webhook","F-0100","port实际调用仍受Registry capability参数约束"
"E-AU-024-004","真实caller","FulfillmentJobs.ts:47; ChannelSyncJob.ts:56,140; ExtensionWebhookResolver.ts:7","静态caller分别请求Order/order、Catalog/catalog、Statement/statement和Webhook/webhook","F-0100/F-0103","没有发现refund/cancel/verification静态caller"
"E-AU-024-005","词汇冲突","ExtensionRegistry.ts:75-83","Registry只检查所传capability存在，再独立require所传port；没有capability-port固定映射","F-0100","调用者可自行选择组合"
"E-AU-024-006","响应映射","PortFactory.ts:56-65; core/Mapper.ts:11-17,31-34","Catalog通用port读取value.records并要求externalId/version/payload；Price operation不存在","F-0103","真实供应商最新响应待外部确认"
"E-AU-024-007","当前声明","vendors/cakeuncle/README.md:14-27","Foodvoucher应为Catalog/Price，只读；Card/Webhook禁用","F-0100/F-0103","文档作为与代码冲突证据，不单独决定运行事实"
"E-AU-024-008","历史实现","git show 582f37fe foodvoucher Provider/Mapper/manifest","祖先实现按code/msg/data映射且只发布Catalog/Price，含固定endpoint和反事实测试","F-0103","历史代码不是当前生产事实"
"E-AU-024-009","测试门禁","Provider.test.ts:6-12; quality ProviderContract.ts:12-32,42-50","包测只断言ID/签名；contract fallback仅has检查且不执行操作/拒绝额外ports","F-0104","正式测试工具缺失"
"E-AU-024-010","死码检索","ErrorMap.ts/index.ts全仓rg","mapFoodvoucherError除定义/导出外零caller","DC-0030","仓外consumer未知"
"E-AU-024-011","验证阻塞","package.json:6","test/typecheck各一次exit127，缺vitest/tsc","验证状态","未得到实现通过/失败结论"
