"设施编号","设施","创建/注册入口","运行进程","连接者","数据或密钥所有者","共享边界","持久性","恢复责任","证据状态"
"DI-001","Production registration PostgreSQL","registration-compose.yml + zhudatuan-registration-database.service；首次空卷执行 postgres-init-registration.sh","postgres:17-alpine 容器，loopback 55432","正式 API/Jobs/Migration 通过 Secret Store connection ref","业务 schema 由各模块拥有；cluster/runtime schema 为平台共享","同一 PostgreSQL 内按角色、schema、RLS/函数边界共享","host bind /var/lib/zhudatuan/postgres","容器可用性由 systemd/Docker；备份/新卷恢复 owner UNKNOWN；首次初始化存在 F-0023","[CONFLICT][E-AU-005-002][E-AU-005-010]"
"DI-002","Full-staging PostgreSQL","外部 Aliyun RDS + PostgresTlsProxyMain","独立 DynamicUser TLS proxy，loopback 55442","full staging migration/API/jobs","staging database owner/roles；业务数据所有权未在本 AU 深审","与 production endpoint/namespace 明确隔离","RDS 持久性在云侧","云快照/恢复 owner UNKNOWN；proxy 只负责连接边界","[FACT][E-AU-005-011]"
"DI-003","runtime control tables","20260821012000_create_runtime_control.sql；后续 index/FK/identity claim migrations","PostgreSQL 内部，无独立 broker","命令写 outbox/job；relay、scheduler、dedicated Jobs claim","runtime 平台拥有表；事件事实由业务 aggregate 产生","所有模块共享同一 DB queue；scope_id/owner/kind 是逻辑边界","随 PostgreSQL 持久","lease/retry/deadletter 由消费者；通用 relay/cleanup 无production进程，staging unit保持inactive，见 F-0022/F-0024","[CONFLICT][E-AU-005-003][E-AU-005-004][E-AU-005-005]"
"DI-004","Redis cache","CommerceRuntime 通过 REDIS_CONNECTION_REF 从 Secret Store 创建 RedisCache","外部 Redis；仓库无当前 production daemon/unit","聚合 API/Full Jobs；当前 dedicated targets 不创建该 cache","外部服务 owner UNKNOWN；应用只拥有 namespaced cache keys","非权威、fail-open cache；跨进程共享","外部持久性不作为正确性依据","可丢弃重建；瞬时失败后客户端不重连，见 F-0028","[FACT][E-AU-005-009]"
"DI-005","L0 Local Objects","sfl-catalog-object-store@zhudatuan-l0.service → LocalObjectsMain","zhudatuan 用户，loopback TLS 8555","L0 Catalog/API/Jobs 与其他持有 object token 的 workload","zhudatuan-l0 node","同节点 bearer 边界；public signed path 仍只绑定 loopback","StateDirectory sfl-zhudatuan-l0-objects","systemd 可重启进程；对象备份/restore owner UNKNOWN","[FACT][E-AU-005-007][E-AU-005-012]"
"DI-006","L1 Local Objects","sfl-catalog-object-store@hbbtzn-l1.service → LocalObjectsMain","zhudatuan 用户，loopback TLS 8655","L1 node workload","hbbtzn-l1 node","独立 token、目录、manifest 与端口；物理主机仍共享","StateDirectory sfl-hbbtzn-l1-objects","systemd 可重启；对象备份/restore owner UNKNOWN","[FACT][E-AU-005-007][E-AU-005-012]"
"DI-007","Global Local Secret Store","zhudatuan-internal-runtime.service → InternalRuntimeMain → LocalSecretsMain","zhudatuan 用户，loopback TLS 8543","正式 workloads 经 SecretStore client","/opt/zhudatuan/shared/secrets.json 的外部维护者 UNKNOWN","客户端声明 Bearer/ref；服务端当前未执行该边界，F-0021","文件持久；进程内只读 Map","文件备份、更新原子性和 owner UNKNOWN","[CONFLICT][E-AU-005-006]"
"DI-008","Node-bound L0 Secret Store","sfl-secret-store@zhudatuan-l0.service → LocalSecretsMain","zhudatuan 用户，loopback TLS 8553","L0 node-scoped workloads","/opt/sfl/nodes/zhudatuan-l0/runtime/secrets.json 的外部维护者 UNKNOWN","意图为节点隔离；同样缺服务端 Bearer/ref执行","文件持久；进程内只读 Map","文件备份/恢复 owner UNKNOWN","[CONFLICT][E-AU-005-006]"
"DI-009","Local KMS","InternalRuntimeMain → LocalKmsMain","zhudatuan 或 staging DynamicUser，loopback TLS 8544/8644","需要 envelope encrypt/decrypt 的 API/jobs/migration","单一 LOCAL_KMS_MASTER_KEY 的 owner UNKNOWN","keyRef/context 是加密域；现有 exact-resource授权未接入 Main","master key 外部持久；ciphertext在业务 DB","无多版本/轮换恢复实现；外部 master key恢复责任 UNKNOWN","[CONFLICT][E-AU-005-006][E-AU-005-012]"
"DI-010","Catalog media Aliyun OSS","CatalogMediaStorageResolver + CatalogMediaTargets","进程内 adapter，无独立 daemon","Catalog media replication job","Catalog 模块拥有逻辑 media；bucket/account owner UNKNOWN","按 target 配置直接访问 OSS，与 Local Objects 是不同对象边界","云对象持久性","多目标校验存在；bucket versioning/restore/credential owner UNKNOWN","[FACT][E-AU-005-015]"
"DI-011","进程内串行锁","PgUnitOfWork.PROCESS_LOCK_TAILS","每个 Node 进程内","command transaction","调用进程","只在单进程内；跨进程由 PostgreSQL advisory lock补足","不持久","finally释放；进程退出自然清除","[FACT][E-AU-005-002]"
"DI-012","未完成对象上传状态","LocalObjects.create/append 的 Map","LocalObjectsMain 进程内","HttpObjectStore upload session","对应 node LocalObjects进程","不跨进程、不持久；完成后才原子写对象文件","易失","重启后上传 ID 失效，调用方须重建上传；无续传协议","[FACT][E-AU-005-007]"
