"不变量编号","不变量","业务或平台依据","代码执行点","数据库执行点","API校验点","测试","并发成立性","恢复成立性","文档差异","破坏检测与恢复"
"INV-AU001-001","Console module ID、route ID、route path唯一且每模块恰一entry","Router必须有确定目录","ConsoleModuleRegistry.ts:35-82","不适用","启动期registry","ConsoleModuleRegistry.test存在；未运行","构建期单线程成立","修正manifest并重建；本次不实施","FACT E-AU-001-007","registry构造抛错；恢复原manifest"
"INV-AU001-002","scope呈现覆盖不得改变route身份","同一路由跨scope只改文案","ConsoleModuleRoutes.tsx:18-27","不适用","不适用","route/shell tests存在","纯函数成立","回退enterprise/通用值","UNKNOWN：产品文案规则待审","对比routeId与呈现快照"
"INV-AU001-003","route handle的moduleId与routeId前缀一致","Shell需识别当前模块","ConsoleModuleRoutes.tsx:29-46,91-98","不适用","不适用","route tests存在","纯函数成立","无handle时Shell走fallback待审","FACT E-AU-001-008","guard false或Shell测试"
"INV-AU001-004","hidden模块不产生可达route","hidden是运行可达性状态","ConsoleModuleRoutes.tsx:48-53","不适用","Router建图","direct tests待运行","构建期成立","改status并重建","FACT E-AU-001-008","枚举Router route IDs"
"INV-AU001-005","默认entry只来自enabled且main placement模块","scope根不能跳到禁用/辅助页","ConsoleModuleRoutes.tsx:63-85","不适用","Router index","direct tests待运行","纯函数成立；同order依赖数组顺序","无候选进入NotFound","UNKNOWN：同order是否允许","route snapshot和深链检查"
"INV-AU001-006","显式Worker env优先，Node才回落process.env","同一fetch支持两种runtime","worker/index.ts:12-20","不适用","host/env策略","待Storefront专项","每请求只读；外部env可变","缺配置返回503或下游处理","FACT E-AU-001-009","双runtime fixture"
"INV-AU001-007","Storefront前置拒绝分支不得进入API或页面handler","被阻止请求不能产生下游副作用","worker/index.ts:21-57","下游未调用","Worker入口","待Storefront专项","每请求局部状态","直接404/503","FACT E-AU-001-009","spy破坏测试确认下游未调用"
"INV-AU001-008","每个Job ID唯一且最低数值配置成立","runner需要可调度定义","JobRegistry.ts:16-20","不适用","bootstrap","无直接专测检出","启动期同步段成立","拒绝定义后重新注册有效配置","FACT E-AU-001-013","构造非法定义反事实"
"INV-AU001-009","Job catalog只在freeze后可读","runner不得观察半注册目录","JobRegistry.ts:23-30","不适用","JobsBootstrap","间接测试待审","启动期成立","完成注册后freeze","FACT E-AU-001-013","freeze前all必须抛"
"INV-AU001-010","Commerce module ID唯一","依赖图键必须稳定","ModuleRegistry.ts:27-30","不适用","bootstrap","bootstrap tests间接","同步add成立","替换重复module定义","FACT E-AU-001-011","duplicate fixture"
"INV-AU001-011","模块依赖先于消费者register且缺失/循环拒绝启动","模块注册需确定顺序","ModuleRegistry.ts:32-58","下游可能访问；待审","bootstrap","registry.spec/ApiBootstrap tests","串行await成立","中途失败补偿UNKNOWN","FACT E-AU-001-011","拓扑fixture与启动失败日志"
"INV-AU001-012","RouteRegistry allow-list决定该profile可注册/期望的operation集合","目标化API只暴露选定职责","RouteRegistry.ts:24-41","不适用","ApiBootstrap","RouteRegistry/bootstrap tests","启动期成立","补全operation后再freeze","FACT E-AU-001-012","catalog差集检查"
"INV-AU001-013","已注册HTTP method/path组合唯一","请求匹配必须确定","RouteRegistry.ts:28-35","不适用","RouteRegistry","direct tests存在","启动期同步成立","删除重复定义后重建","FACT E-AU-001-012","duplicate route抛错"
"INV-AU001-014","freeze成功时expected operation无缺失","启动后不得出现声明有契约却无handler","RouteRegistry.ts:37-44","不适用","ApiBootstrap","direct/bootstrap tests","启动期成立","保持mutable并补注册；bootstrap通常重建","FACT E-AU-001-012","expected-registered差集"
"INV-AU001-015","route命中返回同一operation/handler及正确解码参数","HTTP请求需稳定分派","RouteRegistry.ts:46-70","不适用","HttpApp","RouteRegistry/Contract tests","只读匹配成立","异常HTTP映射待审","FACT E-AU-001-012","method/path/param表驱动测试"
"INV-AU001-016","正式service target只能构建service-targets白名单entry","新增Main不得自动扩大生产制品","service-targets.mjs；build-commerce-service.mjs","不适用","release build","间接测试；未运行","CI隔离时成立","未知target在写前抛","FACT E-AU-001-015","交叉比较manifest build argv与map"
"INV-AU001-017","service源码影响无法证明最小集合时选择全部正式service targets","漏发布风险高于过宽构建","service-impact.mjs:41-58","不适用","release plan","直接fixture未检出","局部Set成立","fallback上界","FACT E-AU-001-016","未解析changed fixture"
