"file_id","path","lines","status","finding"
"FILE-AU-025-001","01_core_hexin/extensions/providers/cake/CakeuncleClient.ts","161","深入","F-0105/F-0106"
"FILE-AU-025-002","01_core_hexin/extensions/providers/cake/ErrorMap.ts","6","深入","DC-0032"
"FILE-AU-025-003","01_core_hexin/extensions/providers/cake/Mapper.ts","280","深入","严格映射；F-0105传播"
"FILE-AU-025-004","01_core_hexin/extensions/providers/cake/OrderRequest.ts","123","深入","DC-0031/GX"
"FILE-AU-025-005","01_core_hexin/extensions/providers/cake/Provider.ts","16","深入","三只读port"
"FILE-AU-025-006","01_core_hexin/extensions/providers/cake/Webhook.ts","1","深入","DC-0026既有"
"FILE-AU-025-007","01_core_hexin/extensions/providers/cake/index.ts","5","深入","不导出Order/Webhook"
"FILE-AU-025-008","01_core_hexin/extensions/providers/cake/manifest.ts","23","深入","Catalog/Price/Inventory"
"FILE-AU-025-009","01_core_hexin/extensions/providers/cake/package.json","11","深入","正式脚本"
"FILE-AU-025-010","01_core_hexin/extensions/providers/cake/tests/CakeuncleClient.test.ts","133","深入","F-0107"
"FILE-AU-025-011","01_core_hexin/extensions/providers/cake/tests/OrderRequest.test.ts","34","深入","禁用协议规格"
"FILE-AU-025-012","01_core_hexin/extensions/providers/cake/tests/Provider.test.ts","13","深入","F-0107"
"FILE-AU-025-013","01_core_hexin/extensions/providers/cake/tsconfig.json","1","深入","根配置"
