"配置编号","配置面","来源/位置","键/默认","消费者","校验","运行环境","证据","未知/冲突"
"CFG-AU-006-001","通用API","ApiEnvironment.ts","APP_ENV、API_*、DB/Secret/KMS/Redis refs；bind/port默认","ApiMain、ConsoleSupport、aggregate runtime","unknown-key、env枚举、bind、port、origin、endpoint、Bearer分离","aggregate/dev及兼容入口","E-AU-006-002/008","origin helper静默去重"
"CFG-AU-006-002","Identity Registration API","IdentityRegistrationApiEnvironment.ts","API、registration DB、node/runtime/secret refs","IdentityRegistration Api/Ready + Bootstrap","loopback bind、HTTPS、digest/ref/token/profile","L0/L1 identity target","E-AU-006-002","线上值未核对"
"CFG-AU-006-003","Catalog Operator API","CatalogOperatorApiEnvironment.ts","API、catalog DB/object、node/ref","Catalog Api/Ready + Bootstrap","loopback、严格origin、HTTPS、digest/ref","L0/L1 catalog target","E-AU-006-002","线上值未核对"
"CFG-AU-006-004","Web Business API","WebBusinessApiEnvironment.ts","API、DB、public mall、node/ref","Web Api/Ready + Bootstrap","loopback、HTTPS、Manifest/slug/ref","L0/L1 web target","E-AU-006-002/008","重复origin拒绝分支不可达，F-0034"
"CFG-AU-006-005","Purchase API","PurchaseApiEnvironment.ts","API、DB、payment/callback、node/ref","Purchase Api/Ready + Bootstrap","loopback、origin、HTTPS、digest/ref","L0/L1 purchase target","E-AU-006-002","专用测试未进入正式script"
"CFG-AU-006-006","Payment Webhook API","PaymentWebhookApiEnvironment.ts","API、DB、provider/callback、node/ref","Webhook Api/Ready + Bootstrap","loopback、HTTPS、digest/ref","L0/L1 webhook target","E-AU-006-002","专用测试未进入正式script"
"CFG-AU-006-007","Mall Provisioning API","MallProvisioningApiEnvironment.ts","API、DB、AutoNode refs/endpoint、node/ref","Mall Provisioning Api/Ready + Bootstrap","L0 profile、loopback、HTTPS、digest/ref","L0 target","E-AU-006-002","专用测试未进入正式script"
"CFG-AU-006-008","Jobs profiles","JobsEnvironment.ts","full/identity-notification-only/payment-only及DB/queue/provider refs","dedicated与aggregate Jobs Main/Ready","profile条件键、token/ref、timeout/interval","正式identity/payment；aggregate无正式target","E-AU-006-002","aggregate控制面已列GX-0001"
"CFG-AU-006-009","Catalog Jobs旁路","CatalogJobsRuntime.ts:81-115","source默认为process.env；catalog DB/object/media/node keys","CatalogJobsMain/Ready","函数内手写required/optional/URL/ref规则","正式L0/L1 catalog jobs","E-AU-006-002/003","不由config包拥有，environment gate也未识别"
"CFG-AU-006-010","Migration","MigrationEnvironment.ts；RegistrationMigrationEnvironment.ts","migration DB、ledger、node/runtime/secret refs","MigrationMain、RegistrationMigrationMain、release executor","通用parser较宽；registration限制loopback/production/exact refs","一次性迁移","E-AU-006-002","live migration env未读"
"CFG-AU-006-011","Local infrastructure","LocalEnvironment.ts","本地端口、路径、endpoint、token、TLS、profile","localinfra/localobjects/Catalog readiness","路径/端口/profile/token；endpoint仅前缀","local/staging辅助进程","E-AU-006-008","F-0035"
"CFG-AU-006-012","Client/Miniapp","ClientEnvironment.ts；MiniappEnvironment.ts；generated Environment.js","VITE API/Auth/version；ext apiBaseUrl/mallId/version","当前Client仅测试/公共export；Miniapp app.js真实加载","Client production node pair；Miniapp regex","浏览器/微信小程序","E-AU-006-007/008/009","TS/generated trim漂移，F-0033"
"CFG-AU-006-013","SFL节点注册","sfl-node-registry.declaration.json；SflNodeRegistry.ts","2 manifests、2 node bindings、domain/target/runtime file refs","Identity projection、Console declaration、生成器和检查器","schema/version/唯一Host/realm/file/domain surface/target","构建与运行共享","E-AU-006-005/006","外壳浅冻结，F-0032"
"CFG-AU-006-014","Console node runtime","console-runtime.json producer；SflNodeKernelConsole.ts","source/build/artifact、Manifest、resource ref、API URL、Identity URL、scope","Console RuntimeConfig→SDK/redirect","digest/ref/scope/HTTPS；不校验URL属于Manifest","每节点浏览器启动","E-AU-006-005","F-0029；live JSON未核对"
"CFG-AU-006-015","容量与缓存","cache.yml；capacity.yml；build-runtime-config.mjs","cache TTL/stale/revalidate；HTTP/external/pool limits","HTTP、Pool、SDK、cache、Wechat/OSS","生成前schema/range；--check逐字漂移","全运行时与Miniapp","E-AU-006-007","本次正式generated check因依赖未执行"
