"证据编号","证据类型","时间/基线","入口/位置","观察","可证明","不可证明","复现/复核","敏感性"
"E-AU-008-001","Git/范围","固定基线","branch/rev-parse/status/files.csv","开工HEAD为97d149d8；期间先后观测origin/zdt-next为fc3ceca6、8ea165fe、6648ddd1，均未并入；开工clean","固定基线与报告-only边界","线上版本","核对branch、merge-base、status和staged paths","无"
"E-AU-008-002","逐文件人工审阅","固定基线","SDK 27个人工文件/1350行","人工源码、测试、package/tsconfig全部读完并建立FILE/SYM/FN/TC记录","SDK当前控制流、导出和测试职责","仓外消费者/正式执行结果","files/exports/functions/tests","无"
"E-AU-008-003","生成一致性复算","固定基线","OpenAPI/SDK/Controller/Handler/current.sql/events registry","345 total、271 runtime、74 frozen；SDK和runtime壳缺项0；Event registry缺项0","tracked输出集合与目录一致","handler业务语义/线上输出","只读Ruby/JSON/text membership复算","无"
"E-AU-008-004","静态消费者矩阵","固定基线","apps对@shop/sdk imports","非测试源码Console 42、Storefront 13、Auth 6、Miniapp 0","仓内静态SDK消费边界","动态/仓外消费者","sdk-consumers.csv + package exports + dynamic import检索","无"
"E-AU-008-005","端到端代码链","固定基线","ApiClient:99-117；FinancePolicyCommand:224-236；OwnerTransferQuery:75-145,219-233；HttpApp:167-173","真实调用构造x-action-proof；生产preflight allowlist未包含","跨域浏览器请求的契约不兼容","线上部署版本/实际请求频率","重新从Console factory追到Fetch/HttpApp","不记录proof值"
"E-AU-008-006","测试反事实","固定基线","ApiClient.test:44-59；FinancePolicyCommand.test:120；OwnerTransferQuery.test:54-69；OperationMock:125-133；HttpApp.test:168-175","测试断言发送proof且mock允许；生产preflight测试不检查proof","测试会掩盖F-0044","真实浏览器执行","替换生产allowlist与mock对照；不得改代码","无"
"E-AU-008-007","检查器+历史","固定基线/57c1177d","runtimegraph.mjs:16-30；ApiClient/HttpApp tests；git show","checker要求旧版本头、426和缺失Miniapp client；退出旧行为提交未改checker","F-0045的事实漂移与来源","CI最近一次真实运行","逐token复算并复查历史diff","无"
"E-AU-008-008","正式定向命令","2026-09-14","validation-results.md","runtimegraph缺typescript；SDK test缺vitest；typecheck缺tsc；Miniapp check缺zod","验证未进入逻辑及其精确阻塞点","任何测试通过/业务逻辑失败","按正式package/script入口执行一次","无"
"E-AU-008-009","语言级反例+类型契约","固定基线","WechatTransport.ts:22-61；Transport.ts:9-16；ApiClient.ts:69-79,122-124","JSON.stringify(undefined)返回undefined；success先settled/detach再序列化；测试仅abort","F-0046的控制流和类型违约","微信线上是否返回这些值","string/object/undefined/BigInt/cycle矩阵；正式typecheck待依赖","无"
"E-AU-008-010","注册链复核","固定基线","OperationCatalog.ts:12-26；OperationController.ts:291-364；DefinedModule.ts；RouteRegistry.ts","服务端只注册runtime；missing/duplicate/frozen/allowlist均有拒绝点","271 runtime真实路由集合结构","每个业务handler正确性","从Catalog重新追到Route freeze/handler","权限值不展开"
"E-AU-008-011","事件运行链","固定基线","app/events.ts；app/modules.ts；RuntimeEventPublisher.ts；Event.test.ts","67事件完整；version/handler在事务前解析；事务内inbox+job；Map可变但无写调用","事件registry真实消费者和恢复边界","各handler幂等/积压/线上数据","event registry→publisher→SQL重追","payload仅结构"
"E-AU-008-012","精确路径/消费者检索","固定基线","current.sql/publish.template/ContractGenerator/Voucher test","current.sql只有生成写端和一个测试读端；未进入candidate/migration runner","当前仓内加载责任","人工/仓外数据库应用","精确路径搜索+release/migration入口对照","无"
"E-AU-008-013","release制品链","固定基线","candidate/stage/promote/validate/validatebundle","contractHash=SHA256(openapi bytes+events bytes)=9bc19d39…；client/OCI各自哈希并被stage/candidate关联","生成物在release中的实际身份边界","线上已部署制品","逐脚本全读+只读哈希复算","无"
"E-AU-008-014","Miniapp目录/生成链","固定基线","build-miniapp-contract；miniprogram 9文件；candidate；runtimegraph","两domain输出存在但运行引用0；api/client不存在；candidate复制全部9文件","仓内Miniapp边界冲突","仓外工程/微信发布状态","文件枚举+exact import/config/candidate追踪","无"
"E-AU-008-015","公共符号消费检索","固定基线","RequestContext/ApiError/OperationDescriptor/Controller/Handler/package exports","contractVersion不被ApiClient读；contractResponse、defineStructuralOperation、两个generated ID数组无仓内运行消费者","G1候选证据之一","外部/动态兼容消费者与可删除性","静态引用+package export+历史；仍不足G3","无"
"E-AU-008-016","确定性抽检","固定基线","review-sample.csv","SHA-256排序抽取5/27 SDK人工文件，从消费者重追结论一致","本单元普通遗漏抽检达到18.5%","第二位独立审阅","复算路径hash并按表重追","无"
