"不变量编号","不变量","业务依据","代码执行点","数据库执行点","API校验点","测试","并发成立性","恢复成立性","证据状态","破坏检测/恢复"
"INV-AU-005-001","业务写与其outbox事实同事务","事件不能先于或晚于业务提交","appendOutbox在UnitOfWork operation内","runtime.outbox insert随tx commit/rollback","不适用","ExecutionKernel类测试","单DB事务成立","relay缺席不破坏原子性但阻止交付","[FACT]","DB对账business/outbox；禁止直接删除"
"INV-AU-005-002","同aggregate事件按occurred_at,id顺序claim","避免后事件越过前事件","OutboxStore.claim eligible/not exists earlier","FOR UPDATE SKIP LOCKED","不适用","OutboxStore专项测试缺口","SQL约束成立","过期claim可恢复","[FACT]","按aggregate查询unpublished序列"
"INV-AU-005-003","同consumer/event最多enqueue一次","relay mark前崩溃可安全重放","RuntimeEventPublisher+InboxStore","accept_inbox与job insert同事务","不适用","RuntimeEventPublisher mock test","unique/inbox函数待迁移专项复核","依赖relay存在","[FACT]","inbox/job关联对账"
"INV-AU-005-004","job只有lease owner可heartbeat/完成/fail","避免旧worker覆盖新owner","JobRunner条件update","state+lease_owner+可选scope谓词","不适用","JobRunner mock test","DB条件成立；processor仍可并行","generic回收不成立，F-0024","[CONFLICT]","孤儿running与expired lease查询"
"INV-AU-005-005","workload只能读取授权secret ref/keyRef","凭据最小边界","授权版Handler/WorkloadAccessPolicy","无DB执行点","应在Secret/KMS HTTP preflight+require","Handler/policy tests","当前production Main不成立","无自动恢复","[CONFLICT] F-0021","独立无/错Bearer反事实"
"INV-AU-005-006","KMS ciphertext绑定keyRef和canonical context","防止跨上下文替换","LocalKms AES-GCM AAD","ciphertext由业务表持久","KmsClient结构校验","LocalKms test","无共享可变state","原master存在时可重复解密","[FACT]","篡改keyRef/context应400"
"INV-AU-005-007","StoredObject clean表示已完成真实扫描","消费者把clean当信任门禁","当前无scanner；complete直接赋值","scan_state进入业务记录","ObjectStore只接受clean","LocalObjects test未覆盖provenance","不成立","无pending/quarantine恢复态","[CONFLICT] F-0026","要求可追溯scanner receipt前不能宣称成立"
"INV-AU-005-008","object reference指向不可变bytes和metadata","引用可长期复现内容语义","bytes按sha256，metadata也按sha256但可覆盖","文件系统","client核对sha/size/contentType","无collision test","bytes成立，path/contentType不成立","后上传会改变旧metadata","[CONFLICT] F-0027","同bytes不同metadata反事实"
"INV-AU-005-009","浏览器download URL从用户网络可达","完成导出必须可下载","Main publicEndpoint=127.0.0.1","不适用","GetExport原样返回，Console原样点击","无E2E","不适用","不成立，F-0025","[CONFLICT] F-0025","浏览器host与public route核对"
"INV-AU-005-010","空卷可由声明的production配置重建","恢复不能依赖未记录旧卷状态","Compose+init hook","init事务","systemd compose --wait","仅PG16 fixture","PG版本冲突使其不成立","旧非空卷可绕过init，不等于恢复成立","[CONFLICT] F-0023","隔离PG17 fresh-volume replay"
"INV-AU-005-011","Redis不是业务事实源","cache丢失不应改变正确结果","Cache接口返回miss/false","无权威DB写","调用方应fallback","Cache/Redis tests","fail-open设计成立性需逐调用方审","进程重启可重建；不重连影响性能","[INFERENCE]","后续逐cache caller复核"
"INV-AU-005-012","所有持久资产有明确backup/restore owner","灾难恢复责任不能隐式","仓库未见current zhudatuan入口","外部未知","不适用","未发现恢复演练test","无法判断","无法判断","[UNKNOWN]","运维专项核对云账户、host timers、runbook与演练receipt"
