"文件编号","路径","所属模块","文件类型","基线 blob SHA","物理行数","审阅范围","审阅者","审阅日期","审计单元","检查点","风险等级","是否二次复核","详细记录","覆盖清单同步","1 存在理由","2 创建或加载者","3 加载条件","4 导出内容","5 导出消费者","6 输入","7 输出","8 状态读写","9 数据库读写","10 网络调用","11 事件","12 环境变量","13 用户权限依赖","14 运行环境依赖","15 初始化副作用","16 模块加载副作用","17 注册职责","18 测试生产差异","19 资源释放","20 失败恢复","21 对应测试","22 测试可信度","23 对应文档","24 文档准确性","25 兼容职责","26 等价重复实现","27 可否独立删除","28 删除首个失败点","29 最终结论与置信度"
"F-AU-005-001","01_core_hexin/services/commerce/src/bootstrap/CatalogJobsRuntime.ts","共享状态/队列","TypeScript源码","653ae5751f5a7234a8b1f073a7d31aadc3cb7c66","324","全文件逐行深入审阅","Codex主审","2026-09-13","AU-005","CP-05","P2（F-0024）","否（若后续升级则重排）","E-AU-005-003/004/005；F-0022/F-0024；queue-crash-matrix.csv","是","提供DB-backed事件、job、lease、scheduler或正式注册","由显式entry/build/test/systemd加载","仅在对应profile/target/测试条件加载","见源码导出或运行入口","业务命令、relay、dedicated/aggregate Jobs","配置、请求、DB row或文件","返回值、状态变更或进程","runtime.outbox/inbox/job/lease/deadletter","读写runtime schema","见communications.csv","DomainEvent→handler job","只记录键名，不记录值","worker DB role/scope","Node/PostgreSQL/Redis/fs/TLS按文件而定","仅入口文件可能启动连接/进程","无未声明顶层副作用或已记录","见runtime/configuration记录","mock测试不证明正式进程存在","close/finally/systemd负责","lease/backoff/deadletter；正式relay缺席","见tests.csv","按执行/未执行边界评级","AU-003/AU-004与本AU记录","文档仅作线索，代码优先","dedicated与aggregate入口并存","冲突实现已在finding说明","否；aggregate控制面为GX-0001","删除先破坏唯一relay/scheduler/cleanup契约","[CONFLICT] F-0022/F-0024；基础租约设计总体良好"
"F-AU-005-002","01_core_hexin/services/commerce/src/bootstrap/CommerceRuntime.ts","共享状态/运行时","TypeScript源码","974b4036d41eb7b73af3eead42baf59343c6c6a7","180","全文件逐行深入审阅","Codex主审","2026-09-13","AU-005","CP-05","未新增问题","否（若后续升级则重排）","E-AU-005-002；data-infrastructure-map.csv","是","实现共享状态或其运行契约","由显式entry/build/test/systemd加载","仅在对应profile/target/测试条件加载","见源码导出或运行入口","见调用链/专用矩阵","配置、请求、DB row或文件","返回值、状态变更或进程","见branches-and-states.md","见data-infrastructure-map.csv","见communications.csv","见queue-crash-matrix.csv","只记录键名，不记录值","workload/DB role/本地服务边界","Node/PostgreSQL/Redis/fs/TLS按文件而定","仅入口文件可能启动连接/进程","无未声明顶层副作用或已记录","见runtime/configuration记录","测试不能替代生产接线","close/finally/systemd负责","见fmea/recovery矩阵","见tests.csv","按执行/未执行边界评级","AU-003/AU-004与本AU记录","文档仅作线索，代码优先","保留现有兼容入口责任","冲突实现已在finding说明","否；未满足G3","删除会先破坏列明入口/契约","[FACT] 已按本AU范围复核；具体风险见编号"
"F-AU-005-003","01_core_hexin/services/commerce/src/entry/CatalogJobsMain.ts","共享状态/队列","TypeScript源码","7f0aea6bfb60c2224d76656a76819c741c8889d5","41","全文件逐行深入审阅","Codex主审","2026-09-13","AU-005","CP-05","P1候选（F-0022）","是，待独立复核","E-AU-005-003/004/005；F-0022/F-0024；queue-crash-matrix.csv","是","提供DB-backed事件、job、lease、scheduler或正式注册","由显式entry/build/test/systemd加载","仅在对应profile/target/测试条件加载","见源码导出或运行入口","业务命令、relay、dedicated/aggregate Jobs","配置、请求、DB row或文件","返回值、状态变更或进程","runtime.outbox/inbox/job/lease/deadletter","读写runtime schema","见communications.csv","DomainEvent→handler job","只记录键名，不记录值","worker DB role/scope","Node/PostgreSQL/Redis/fs/TLS按文件而定","仅入口文件可能启动连接/进程","无未声明顶层副作用或已记录","见runtime/configuration记录","mock测试不证明正式进程存在","close/finally/systemd负责","lease/backoff/deadletter；正式relay缺席","见tests.csv","按执行/未执行边界评级","AU-003/AU-004与本AU记录","文档仅作线索，代码优先","dedicated与aggregate入口并存","冲突实现已在finding说明","否；aggregate控制面为GX-0001","删除先破坏唯一relay/scheduler/cleanup契约","[CONFLICT] F-0022/F-0024；基础租约设计总体良好"
"F-AU-005-004","01_core_hexin/services/commerce/src/entry/FullJobsMain.ts","共享状态/队列","TypeScript源码","bd671770454a3e87a43bb146aa8d7c98c94274c0","37","全文件逐行深入审阅","Codex主审","2026-09-13","AU-005","CP-05","未新增问题","否（若后续升级则重排）","E-AU-005-002；data-infrastructure-map.csv","是","实现共享状态或其运行契约","由显式entry/build/test/systemd加载","仅在对应profile/target/测试条件加载","见源码导出或运行入口","见调用链/专用矩阵","配置、请求、DB row或文件","返回值、状态变更或进程","见branches-and-states.md","见data-infrastructure-map.csv","见communications.csv","见queue-crash-matrix.csv","只记录键名，不记录值","workload/DB role/本地服务边界","Node/PostgreSQL/Redis/fs/TLS按文件而定","仅入口文件可能启动连接/进程","无未声明顶层副作用或已记录","见runtime/configuration记录","测试不能替代生产接线","close/finally/systemd负责","见fmea/recovery矩阵","见tests.csv","按执行/未执行边界评级","AU-003/AU-004与本AU记录","文档仅作线索，代码优先","保留现有兼容入口责任","冲突实现已在finding说明","否；未满足G3","删除会先破坏列明入口/契约","[FACT] 已按本AU范围复核；具体风险见编号"
"F-AU-005-005","01_core_hexin/services/commerce/src/entry/JobsMain.ts","共享状态/队列","TypeScript源码","6692c00671f10385a834db024bb2f460ce54b105","26","全文件逐行深入审阅","Codex主审","2026-09-13","AU-005","CP-05","未新增问题","否（若后续升级则重排）","E-AU-005-002；data-infrastructure-map.csv","是","实现共享状态或其运行契约","由显式entry/build/test/systemd加载","仅在对应profile/target/测试条件加载","见源码导出或运行入口","见调用链/专用矩阵","配置、请求、DB row或文件","返回值、状态变更或进程","见branches-and-states.md","见data-infrastructure-map.csv","见communications.csv","见queue-crash-matrix.csv","只记录键名，不记录值","workload/DB role/本地服务边界","Node/PostgreSQL/Redis/fs/TLS按文件而定","仅入口文件可能启动连接/进程","无未声明顶层副作用或已记录","见runtime/configuration记录","测试不能替代生产接线","close/finally/systemd负责","见fmea/recovery矩阵","见tests.csv","按执行/未执行边界评级","AU-003/AU-004与本AU记录","文档仅作线索，代码优先","保留现有兼容入口责任","冲突实现已在finding说明","否；未满足G3","删除会先破坏列明入口/契约","[FACT] 已按本AU范围复核；具体风险见编号"
"F-AU-005-006","01_core_hexin/services/commerce/src/foundation/application/ImportOperations.ts","共享状态/运行时","TypeScript源码","705ccef4d2c1dcdab18100314326c94381e6317e","29","全文件逐行深入审阅","Codex主审","2026-09-13","AU-005","CP-05","未新增问题","否（若后续升级则重排）","E-AU-005-002；data-infrastructure-map.csv","是","实现共享状态或其运行契约","由显式entry/build/test/systemd加载","仅在对应profile/target/测试条件加载","见源码导出或运行入口","见调用链/专用矩阵","配置、请求、DB row或文件","返回值、状态变更或进程","见branches-and-states.md","见data-infrastructure-map.csv","见communications.csv","见queue-crash-matrix.csv","只记录键名，不记录值","workload/DB role/本地服务边界","Node/PostgreSQL/Redis/fs/TLS按文件而定","仅入口文件可能启动连接/进程","无未声明顶层副作用或已记录","见runtime/configuration记录","测试不能替代生产接线","close/finally/systemd负责","见fmea/recovery矩阵","见tests.csv","按执行/未执行边界评级","AU-003/AU-004与本AU记录","文档仅作线索，代码优先","保留现有兼容入口责任","冲突实现已在finding说明","否；未满足G3","删除会先破坏列明入口/契约","[FACT] 已按本AU范围复核；具体风险见编号"
"F-AU-005-007","01_core_hexin/services/commerce/src/foundation/application/JobRunner.ts","共享状态/队列","TypeScript源码","9e3b0aa75b5d4d3f2c374202195d4f79182531aa","149","全文件逐行深入审阅","Codex主审","2026-09-13","AU-005","CP-05","P2（F-0024）","否（若后续升级则重排）","E-AU-005-003/004/005；F-0022/F-0024；queue-crash-matrix.csv","是","提供DB-backed事件、job、lease、scheduler或正式注册","由显式entry/build/test/systemd加载","仅在对应profile/target/测试条件加载","见源码导出或运行入口","业务命令、relay、dedicated/aggregate Jobs","配置、请求、DB row或文件","返回值、状态变更或进程","runtime.outbox/inbox/job/lease/deadletter","读写runtime schema","见communications.csv","DomainEvent→handler job","只记录键名，不记录值","worker DB role/scope","Node/PostgreSQL/Redis/fs/TLS按文件而定","仅入口文件可能启动连接/进程","无未声明顶层副作用或已记录","见runtime/configuration记录","mock测试不证明正式进程存在","close/finally/systemd负责","lease/backoff/deadletter；正式relay缺席","见tests.csv","按执行/未执行边界评级","AU-003/AU-004与本AU记录","文档仅作线索，代码优先","dedicated与aggregate入口并存","冲突实现已在finding说明","否；aggregate控制面为GX-0001","删除先破坏唯一relay/scheduler/cleanup契约","[CONFLICT] F-0022/F-0024；基础租约设计总体良好"
"F-AU-005-008","01_core_hexin/services/commerce/src/foundation/cache/Cache.ts","共享状态/Redis","TypeScript源码","6f74a43e8e2a73fea671ab48434a4c724bf4e8fa","18","全文件逐行深入审阅","Codex主审","2026-09-13","AU-005","CP-05","P3（F-0028）","否（若后续升级则重排）","E-AU-005-009；F-0028","是","定义非权威Redis cache及环境契约","由显式entry/build/test/systemd加载","仅在对应profile/target/测试条件加载","见源码导出或运行入口","CommerceRuntime aggregate路径","配置、请求、DB row或文件","返回值、状态变更或进程","外部Redis key/value；本地availability状态","见data-infrastructure-map.csv","Redis protocol","见queue-crash-matrix.csv","REDIS_CONNECTION_REF","workload/DB role/本地服务边界","Node/PostgreSQL/Redis/fs/TLS按文件而定","仅入口文件可能启动连接/进程","无未声明顶层副作用或已记录","见runtime/configuration记录","测试覆盖degrade但不覆盖重连","close/finally/systemd负责","fail-open；仅进程重启可重新start","见tests.csv","按执行/未执行边界评级","AU-003/AU-004与本AU记录","文档仅作线索，代码优先","保留现有兼容入口责任","冲突实现已在finding说明","否","删除先破坏cache token/runtime构造","[FACT] 非权威cache；F-0028为P3"
"F-AU-005-009","01_core_hexin/services/commerce/src/foundation/cache/RedisCache.ts","共享状态/Redis","TypeScript源码","a722cb2d0cafb87c965b2a0f0343430480ee142e","86","全文件逐行深入审阅","Codex主审","2026-09-13","AU-005","CP-05","P3（F-0028）","否（若后续升级则重排）","E-AU-005-009；F-0028","是","定义非权威Redis cache及环境契约","由显式entry/build/test/systemd加载","仅在对应profile/target/测试条件加载","见源码导出或运行入口","CommerceRuntime aggregate路径","配置、请求、DB row或文件","返回值、状态变更或进程","外部Redis key/value；本地availability状态","见data-infrastructure-map.csv","Redis protocol","见queue-crash-matrix.csv","REDIS_CONNECTION_REF","workload/DB role/本地服务边界","Node/PostgreSQL/Redis/fs/TLS按文件而定","仅入口文件可能启动连接/进程","无未声明顶层副作用或已记录","见runtime/configuration记录","测试覆盖degrade但不覆盖重连","close/finally/systemd负责","fail-open；仅进程重启可重新start","见tests.csv","按执行/未执行边界评级","AU-003/AU-004与本AU记录","文档仅作线索，代码优先","保留现有兼容入口责任","冲突实现已在finding说明","否","删除先破坏cache token/runtime构造","[FACT] 非权威cache；F-0028为P3"
"F-AU-005-010","01_core_hexin/services/commerce/src/foundation/http/HttpClient.ts","共享状态/运行时","TypeScript源码","dbcedf6142ccd6eaa756ae5b6a7d0d9ef29888a3","56","全文件逐行深入审阅","Codex主审","2026-09-13","AU-005","CP-05","未新增问题","否（若后续升级则重排）","E-AU-005-002；data-infrastructure-map.csv","是","实现共享状态或其运行契约","由显式entry/build/test/systemd加载","仅在对应profile/target/测试条件加载","见源码导出或运行入口","见调用链/专用矩阵","配置、请求、DB row或文件","返回值、状态变更或进程","见branches-and-states.md","见data-infrastructure-map.csv","见communications.csv","见queue-crash-matrix.csv","只记录键名，不记录值","workload/DB role/本地服务边界","Node/PostgreSQL/Redis/fs/TLS按文件而定","仅入口文件可能启动连接/进程","无未声明顶层副作用或已记录","见runtime/configuration记录","测试不能替代生产接线","close/finally/systemd负责","见fmea/recovery矩阵","见tests.csv","按执行/未执行边界评级","AU-003/AU-004与本AU记录","文档仅作线索，代码优先","保留现有兼容入口责任","冲突实现已在finding说明","否；未满足G3","删除会先破坏列明入口/契约","[FACT] 已按本AU范围复核；具体风险见编号"
