"配置编号","配置项","声明位置","值或规则","消费者","校验/默认","运行环境","证据","风险或未知"
"CFG-0001","Node runtime","package.json:6-8",">=22.22.0","本地 npm 与 GitHub Actions","npm engines；Actions 固定版本","开发/CI/Node 服务","E-AU-001-002","生产 Node 精确版本留待 AU-004"
"CFG-0002","Workspace patterns","package.json:9-17","7 个单星号路径模式","npm 与 workspaceResolver","resolver 忽略 ENOENT package.json","开发/CI/release","E-AU-001-002","miniapp 不在图中"
"CFG-0003","Playwright servers","playwright.config.ts:7-15,37","5 个 workspace + 固定端口","npm run test:e2e","strictPort；120 秒 timeout；不复用","测试","E-AU-001-004","4 个 workspace 不存在；F-0002"
"CFG-0004","ESLint web source","eslint.config.mjs:8-24","auth/console/store/supplier/storefront globs","typed/hooks/a11y rule blocks","无实际目录存在校验","本地/CI 质量","E-AU-001-025","漏 auth-web/storefront-web；F-0003"
"CFG-0005","Console module catalog","ConsoleModuleRegistry.ts:84-100","15 个 manifest","ConsoleRouter/ScopeShell/navigation","重复与 entry 数校验","浏览器构建/运行","E-AU-001-007","页面契约待逐模块"
"CFG-0006","Commerce module catalog","commerce/src/app/modules.ts:36-47","30 业务 + Runtime + Observability","ApiBootstrap/JobsBootstrap","数量唯一与依赖拓扑校验","Node API/Jobs","E-AU-001-011","target 是否需要全量模块待审"
"CFG-0007","Commerce service targets","service-targets.mjs:1-14","10 target → 19 Main/Ready 名称","build-commerce-service/service-impact/release manifest","未知 target 报错","CI/release","E-AU-001-015","非白名单入口职责 UNKNOWN"
"CFG-0008","Release impact resolvers","zdt-next.release.json:23-25","commerce-services + workspace-graph","release planner","无法收窄选择上界","CI/release","E-AU-001-016","service graph 定向测试缺口待审"
"CFG-0009","Storefront worker main","storefront-web/vite.config.ts:6-8","./worker/index.ts","Cloudflare Vite plugin/vinext build","构建环境检查","Node/Worker","E-AU-001-009","双运行时差异待审"
"CFG-0010","Cloudflare h5/mini main","cloudflare/*/wrangler.jsonc","storefront dist/server/index.js","Cloudflare Wrangler UNKNOWN","wrangler schema","Cloudflare","E-AU-001-010","仓库内部署调用者 UNKNOWN"
"CFG-0011","fufu Console release pointer","zdt-next.release.json:611","/opt/zhudatuan/targets/console","release engine/remote policy","candidate index + public root 200","ECS release","E-AU-001-017","与实际 Caddy 分裂；F-0001"
"CFG-0012","fufu Console active root","线上 /etc/caddy/Caddyfile:115","/opt/sfl/nodes/zhudatuan-l0/current/.../console/dist","Caddy","try_files → index.html","生产 ECS","E-AU-001-020","目录无 index；F-0001"
"CFG-0013","GitHub triggers","三个 workflow 的 on","仅 workflow_dispatch","GitHub Actions","人工输入","CI/CD","E-AU-001-018","内部 push/PR 条件不可达；意图待发布专项"
"CFG-0014","OSS Console target","activate-console-static.sh:15","/opt/sfl/nodes/hbbtzn-l1/targets/console","deploy-oss workflow","hash、文件、原子 symlink、外部检查","武汉 OSS + ECS","E-AU-001-018","只服务 hbbtzn 通道"
