编号,定义位置,code,HTTP状态,排序有效,唯一,生成映射,当前精确字面量次数,首个精确字面量位置,审阅结论
ERR-AU-007-0001,01_core_hexin/packages/contract/definitions/errors.yml:3,ACCESS_CHANGE_REASON_REQUIRED,400,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0002,01_core_hexin/packages/contract/definitions/errors.yml:5,ACCESS_MEMBERSHIP_MISSING,400,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0003,01_core_hexin/packages/contract/definitions/errors.yml:7,ACCESS_RESOURCE_SCOPE_NOTIFICATION_FALLBACK_REWRITE_FAILED,500,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0004,01_core_hexin/packages/contract/definitions/errors.yml:9,ACCESS_RESOURCE_SCOPE_NOTIFICATION_REWRITE_FAILED,500,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0005,01_core_hexin/packages/contract/definitions/errors.yml:11,ACCESS_RESOURCE_SCOPE_REPORTING_FALLBACK_REWRITE_FAILED,500,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0006,01_core_hexin/packages/contract/definitions/errors.yml:13,ACCESS_RESOURCE_SCOPE_REPORTING_REWRITE_FAILED,500,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0007,01_core_hexin/packages/contract/definitions/errors.yml:15,ACCESS_RESOURCE_SCOPE_RISK_REWRITE_FAILED,500,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0008,01_core_hexin/packages/contract/definitions/errors.yml:17,ACCESS_RESOURCE_SCOPE_SUPPORT_REWRITE_FAILED,500,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0009,01_core_hexin/packages/contract/definitions/errors.yml:19,ACCESS_VERSION_INVALID,409,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0010,01_core_hexin/packages/contract/definitions/errors.yml:21,ACCOUNT_NOT_ACTIVE,409,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0011,01_core_hexin/packages/contract/definitions/errors.yml:23,ACTION_PROOF_REQUIRED,403,true,true,ErrorContract.generated.ts/errorStatus,9,01_core_hexin/services/commerce/src/foundation/security/AccessPipeline.ts:95,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0012,01_core_hexin/packages/contract/definitions/errors.yml:25,ACTIVE_MALL_APPLICATION_MISSING,400,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/cart/03_application_yingyong/CartOperations.ts:33,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0013,01_core_hexin/packages/contract/definitions/errors.yml:27,ACTIVE_PLATFORM_OWNER_NOT_UNIQUE,500,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0014,01_core_hexin/packages/contract/definitions/errors.yml:29,ADAPTER_TEST_ENDPOINTS_REQUIRED,400,true,true,ErrorContract.generated.ts/errorStatus,1,04_tools/scripts/check/adapters.mjs:8,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0015,01_core_hexin/packages/contract/definitions/errors.yml:31,ADDRESS_ENVELOPE_MISSING,400,true,true,ErrorContract.generated.ts/errorStatus,2,01_core_hexin/services/commerce/src/modules/member/03_application_yingyong/MemberOperations.ts:65,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0016,01_core_hexin/packages/contract/definitions/errors.yml:33,ADDRESS_NOT_FOUND,404,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/apps/storefront-web/src/context/addressDefaultState.ts:25,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0017,01_core_hexin/packages/contract/definitions/errors.yml:35,ADDRESS_REQUIRED,400,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0018,01_core_hexin/packages/contract/definitions/errors.yml:37,ADDRESS_RESPONSE_INVALID,502,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0019,01_core_hexin/packages/contract/definitions/errors.yml:39,ADMIN_CATALOG_NOT_AUTHORIZED,500,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0020,01_core_hexin/packages/contract/definitions/errors.yml:41,ADMIN_ORDER_EXPORT_NOT_AUTHORIZED,500,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0021,01_core_hexin/packages/contract/definitions/errors.yml:43,ADMIN_ORDER_EXPORT_RESULT_INVALID,400,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0022,01_core_hexin/packages/contract/definitions/errors.yml:45,ADMIN_ORDER_EXPORT_SCOPE_FORBIDDEN,403,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0023,01_core_hexin/packages/contract/definitions/errors.yml:47,ADMIN_ORDER_QUERY_NOT_AUTHORIZED,500,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0024,01_core_hexin/packages/contract/definitions/errors.yml:49,ADMIN_ORDER_QUERY_SCOPE_FORBIDDEN,403,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0025,01_core_hexin/packages/contract/definitions/errors.yml:51,AFTER_SALE_ALREADY_EXISTS,500,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0026,01_core_hexin/packages/contract/definitions/errors.yml:53,AFTER_SALE_AMOUNT_EXCEEDED,500,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0027,01_core_hexin/packages/contract/definitions/errors.yml:55,AFTER_SALE_HISTORY_REQUIRES_REVIEW,500,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0028,01_core_hexin/packages/contract/definitions/errors.yml:57,AFTER_SALE_NOT_APPROVED,500,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0029,01_core_hexin/packages/contract/definitions/errors.yml:59,AFTER_SALE_NOT_FOUND,404,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0030,01_core_hexin/packages/contract/definitions/errors.yml:61,AFTER_SALE_NOT_REFUNDABLE,500,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0031,01_core_hexin/packages/contract/definitions/errors.yml:63,AFTER_SALE_ORDER_STATE_CONFLICT,409,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0032,01_core_hexin/packages/contract/definitions/errors.yml:65,AFTER_SALE_REVIEW_TRANSITION_INVALID,409,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0033,01_core_hexin/packages/contract/definitions/errors.yml:67,AFTER_SALE_REVIEWER_NOT_AUTHORIZED,500,false,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0034,01_core_hexin/packages/contract/definitions/errors.yml:69,AFTER_SALE_SELF_APPROVAL_FORBIDDEN,403,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0035,01_core_hexin/packages/contract/definitions/errors.yml:71,AFTER_SALE_SUBMITTER_NOT_AUTHORIZED,500,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0036,01_core_hexin/packages/contract/definitions/errors.yml:73,AFTERSALE_PREVIEW_OPERATION_REQUIRED,501,false,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0037,01_core_hexin/packages/contract/definitions/errors.yml:75,AFTERSALE_REFUND_NOT_RUNNABLE,409,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/payment_zhifu/05_interface_jieru/jobs_renwu/PaymentJobs.ts:238,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0038,01_core_hexin/packages/contract/definitions/errors.yml:77,AFTERSALE_RESPONSE_INVALID,502,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0039,01_core_hexin/packages/contract/definitions/errors.yml:79,AFTERSALE_REVIEW_CONFLICT_OR_SEPARATION,409,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/order_dingdan/03_application_yingyong/services_fuwu/OrderOperations.ts:117,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0040,01_core_hexin/packages/contract/definitions/errors.yml:81,AFTERSALE_STATE_CONFLICT,409,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/order_dingdan/01_public_gongkai/ports_jiekou/OrderPort.ts:46,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0041,01_core_hexin/packages/contract/definitions/errors.yml:83,ALIYUN_SMS_CONFIGURATION_INVALID,500,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/notification/04_adapters_shixian/adapter/AliyunSmsChannel.ts:61,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0042,01_core_hexin/packages/contract/definitions/errors.yml:85,ALIYUN_SMS_REJECTED,502,true,true,ErrorContract.generated.ts/errorStatus,0,,[FACT] 定义合法；零精确字面量不是删除证据
ERR-AU-007-0043,01_core_hexin/packages/contract/definitions/errors.yml:87,ALIYUN_SMS_UNAVAILABLE,503,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/services/commerce/src/modules/notification/04_adapters_shixian/adapter/AliyunSmsChannel.ts:56,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0044,01_core_hexin/packages/contract/definitions/errors.yml:89,API_ALLOWED_ORIGINS_INVALID,500,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/packages/config/src/ApiEnvironment.ts:52,[FACT] 定义合法；当前精确字面量消费者已记录
ERR-AU-007-0045,01_core_hexin/packages/contract/definitions/errors.yml:91,APP_ROOT_MISSING,500,true,true,ErrorContract.generated.ts/errorStatus,1,01_core_hexin/apps/console/src/main.tsx:16,[FACT] 定义合法；当前精确字面量消费者已记录
