"文件编号","路径","所属模块","文件类型","基线 blob SHA","物理行数","审阅范围","审阅者","审阅日期","审计单元","检查点","风险等级","是否二次复核","详细记录","覆盖清单同步","1 存在理由","2 创建或加载者","3 加载条件","4 导出内容","5 导出消费者","6 输入","7 输出","8 状态读写","9 数据库读写","10 网络调用","11 事件","12 环境变量","13 用户权限依赖","14 运行环境依赖","15 初始化副作用","16 模块加载副作用","17 注册职责","18 测试生产差异","19 资源释放","20 失败恢复","21 对应测试","22 测试可信度","23 对应文档","24 文档准确性","25 兼容职责","26 等价重复实现","27 可否独立删除","28 删除首个失败点","29 最终结论与置信度"
"FILE-00416","01_core_hexin/apps/console/src/main.tsx","Console 启动","TypeScript/TSX","6bdcfc3db8e1c4e48ec85519703d8b47109c0d50","34","完整文件 1-34","Codex 主审","2026-09-13","AU-002","CP-02","中","否","exports.csv；functions.csv；branches-and-states.md","已同步","Console 浏览器应用唯一 Vite script 入口；在页面模块前完成 runtime 接纳与预取启动","index.html:24 的 module script；Vite bundle","浏览器加载 HTML 后立即执行","无导出；顶层 bootstrap","间接消费者为 Console HTML/发布静态制品","DOM #root、Console runtime 文件、dynamic import 结果","StrictMode Providers 或可见错误页/页面 reload","创建 React root；启动 document prefetch globals；读写 dynamic import 恢复标记","无","loadConsoleRuntimeConfig 间接 fetch；startDocumentPrefetch 发 HTTP","无自定义事件","runtime 读取 VITE build 数据；本文件无直接 env 读取","本文件不授权；权限由 loader/modules","浏览器 DOM、React 19、Vite ESM、window timer/location","模块求值时查 root、createRoot 并启动 Promise 链","静态 CSS import；runtime/prefetch/recovery 模块求值","注册整个 Console React 根","main.test.ts 主要读取源码字符串；生产实际执行 DOM、fetch、dynamic import","setTimeout 无 handle；一次性启动；prefetch 自行清理","root 缺失抛；runtime/import reject 先尝试一次 reload，否则错误页含手动重试","console/src/main.test.ts","对顺序文本反事实中等；不执行真实 bootstrap，未运行","01-architecture.md；02-runtime-map.md；AU-002 summary","[FACT][E-AU-002-003] 与当前入口一致","HTML/Vite/制品固定入口；删除会让静态页无应用","未发现第二个 Console root；providers 是下游职责","未分级（AU-002 不进行垃圾代码认定）","HTML 载入 main 后无法挂载，停留静态 loading","[FACT][E-AU-002-003] 真实启动根，置信度高；页面业务未审"
"FILE-00422","01_core_hexin/apps/console/src/route/ConsoleRouter.tsx","Console 路由","TypeScript/TSX","72565ce6452de6a452818336b5cf47c15f0881b5","43","完整文件 1-43","Codex 主审","2026-09-13","AU-002","CP-02","中","否","exports.csv；functions.csv；routes.csv；branches-and-states.md","已同步","把 landing、scope shell、34 个 manifest routes、profile 和 wildcard 组成 Browser Router","ConsoleApp/Providers 间接加载；模块自身创建 router","providers 导入应用时求值","consoleScopeChildren；consoleRouter","ConsoleApp RouterProvider；route/shell/tests","15 模块 registry、loader、basename env","BrowserRouter 实例与子 RouteObject 数组","模块级 router/route object；不写业务状态","无","loader/lazy 页面间接网络","React Router navigation/error lifecycle","VITE_ROUTER_BASENAME","loader/shell 后续依赖 session/capability；本文件只装配","浏览器 history/DOM、React Router 8、dynamic imports","模块求值时立即 materialize routes 和 createBrowserRouter","静态 import ScopeShell/registry；lazy closure 尚不执行","注册 /、scope parent、profile、2 层 wildcard 和 34 module routes","测试可直接检查数组；生产受 basename/history/HTTP deep link 影响","Router 管理 navigation；本文件无手工 listener","loader/route reject 进入 RouteError；lazy wildcard","ConsoleModuleRoutes.test.tsx；Routes.test.ts；ScopeShell.test.tsx","route 数组有直接断言但本 AU 未运行；真实服务器 fallback 未测","01-architecture.md；02-runtime-map.md；routes.csv","[FACT][E-AU-002-004] 与当前注册一致","URL 深链和 route path 是可观察兼容契约","ConsoleModuleRoutes 负责物化但不是第二 Router","未分级（AU-002 不进行垃圾代码认定）","ConsoleApp 创建 RouterProvider/导入时失败，所有页面不可达","[FACT][E-AU-002-004] 生产路由根；置信度高；页面实现后续分审"
"FILE-00433","01_core_hexin/apps/console/src/route/SessionLoader.ts","Console 会话与作用域 loader","TypeScript","dbee3a9f327de752a1de32a07ceb0ef2800ad574","430","完整文件 1-430，按 loader、prefetch handoff、parser 三段审阅","Codex 主审","2026-09-13","AU-002","CP-02","中到高","否","exports.csv；functions.csv；invariants.csv；branches-and-states.md","已同步","为 landing/scope 深链建立经运行时校验的 ConsoleContext，并控制 session 复用/重验证","ConsoleRouter 静态 import；React Router 调用 loaders","访问 / 或 /scopes/:scopeKind/:scopeId；navigation revalidation","scopeShouldRevalidate；landingLoader；scopeLoader","ConsoleRouter；ScopeShell 通过 useLoaderData；tests","Request/AbortSignal、path params、document prefetch、SDK 响应","redirect Response 或冻结 ConsoleContext","5 秒 landingSession handoff；window document-prefetch slots；无长期用户选择全局","无直接数据库；经 API","identity session、members me、organization layers（通过 SDK/prefetch）","AbortSignal 与 Router lifecycle","AppConfig dynamic import；client runtime config 间接","校验 session scope/capabilities；不是后端授权执行点","浏览器 URL/DOM window、React Router loader、SDK","模块级 handoff 变量/常量；SDK client Promise 懒缓存","dynamic import AppConfig/Client；无请求直到 loader","注册两个 Router loader 和 shouldRevalidate 规则","tests 可注入 window globals/mock client；生产有真实 navigation/Abort/timing","consumeDocumentPrefetch finally 移除 abort listener/clear timer；超时 abort document prefetch","prefetch invalid/timeout 回退 SDK；401/无 session 按 loader 规则转身份入口/错误；profile 403 可 fallback","SessionLoader.test.ts；Routes.test.ts","直接测试声明覆盖 15 个 handoff/abort/profile 分支；未执行；后端契约为 mock","02-runtime-map.md；AU-002 branches/invariants","[FACT][E-AU-002-005] 当前流程已按代码记录；线上时序 UNKNOWN","scope URL/session shape/accessVersion 是前端兼容职责","DocumentPrefetch 是提前请求层，SDK 是权威回退，不是重复业务实现","未分级（AU-002 不进行垃圾代码认定）","landing/scope loader import 或导航首先失败，所有 Console 深链无上下文","[FACT][E-AU-002-005] 关键入口逻辑，置信度高；后端身份/授权与并发待专项"
"FILE-00467","01_core_hexin/apps/console/src/shell/ScopeShell.tsx","Console 作用域壳","TypeScript/TSX","32a9087412facb09f945a03b87c1358fac349f92","280","完整文件 1-280，按 shell、preload/focus、loading 三段审阅","Codex 主审","2026-09-13","AU-002","CP-02","中","否","exports.csv；functions.csv；routes.csv；branches-and-states.md","已同步","消费 scope loader 上下文，渲染 header/sidebar/outlet，并按能力过滤导航、预载入模块和处理退出","ConsoleRouter scope Component","scope loader 成功后；每次 route match/navigation","ScopeShell；WorkspaceRouteLoading","ConsoleRouter；lazy routes；tests","ConsoleContext、route matches、navigation event、logout click","完整 Console shell 或模块 loading UI","React hooks；QueryClient cache/cancel；sidebar/navigation/focus heading；window location","无直接数据库","logout 通过动态 Client 调 session read/delete；模块 prefetch 通过下游 API","React navigation、MutationObserver、idle/timer、focus","AppConfig dynamic import；无直接 env","capability-filtered module visibility；后端授权另审","浏览器 DOM/history、React Query、React Router、Suspense","三个 React.lazy 定义；组件 mount effects","模块 load 时创建 lazy loaders；组件内按 idle/hover 动态 import/prefetch","作为 scope parent outlet 和全局 shell","tests 注入 Router matches/QueryClient；生产有 DOM focus/idle/real session","cleanup idle callback/timer/MutationObserver；query cancellation await 状态按实现","logout 失败设置 UI 状态；路由 loading 可见；dynamic module reject 由边界处理","ScopeShell.test.tsx；ConsoleModulePreload.test.ts","route ownership/capability 有直接组件测试；未执行；真实 logout/DOM focus 未验证","01-architecture.md；02-runtime-map.md","[FACT][E-AU-002-004/006] 入口职责一致","导航标签、module ownership、logout 回跳是可观察契约","Header/Sidebar 独立组件；本文件负责组合而非重复实现","未分级（AU-002 不进行垃圾代码认定）","scope route 可匹配但 shell 无法渲染 outlet/navigation","[FACT] 生产 scope 壳，置信度高；业务模块内逻辑未审"
"FILE-00035","01_core_hexin/apps/auth-web/src/main.tsx","Auth 启动","TypeScript/TSX","cd6327d7283412cecb8e5bad9e40586b4652e0d3","33","完整文件 1-33","Codex 主审","2026-09-13","AU-002","CP-02","中","否","exports.csv；functions.csv；branches-and-states.md","已同步","Auth Vite 页面唯一 React 根；协调 build registry 快速首屏与 same-origin runtime 更新","index.html module script","HTML 加载即执行","无导出；renderApp 私有闭包与顶层启动","Auth HTML/静态制品","DOM root、configured node、identity-runtime Promise","StrictMode App 或身份运行配置错误页","React root、renderedFromBuild flag；runtimeRegistry 由下游写","无","loadIdentityNodeRuntime same-origin fetch","无自定义事件","下游读 VITE_IDENTITY_NODE_REGISTRY","本文件不授权","浏览器 DOM/fetch/React/Vite","createRoot、可能同步 render、始终启动 runtime Promise","CSS/App/runtime 模块静态求值","注册 Auth React 根","main.test 只读源码顺序；生产实际 React schedule/fetch","无 timeout/listener；一次性 Promise","build node 读取异常等待 runtime；runtime reject 替换错误页；404/非 JSON 后尝试 render","auth-web/src/main.test.ts；identityNodeRuntime.test.ts","顺序测试是字符串断言且未执行；runtime 函数有直接 mock fetch tests","01-architecture.md；02-runtime-map.md","[FACT][E-AU-002-008] 与代码一致","build-known 节点快速渲染行为是首屏兼容职责","无第二 Auth root","未分级（AU-002 不进行垃圾代码认定）","Auth HTML root 保留但不渲染应用","[FACT][E-AU-002-008] 真实启动根，置信度高；runtime-only 异常渲染细节待专项"
"FILE-00028","01_core_hexin/apps/auth-web/src/App.tsx","Auth 页面分流","TypeScript/TSX","d66ac9486665842fd0d3be4d2226eedf77ef89d5","63","完整文件 1-63","Codex 主审","2026-09-13","AU-002","CP-02","高（机器契约冲突）","否","exports.csv；functions.csv；routes.csv；branches-and-states.md","已同步","根据当前 accounts host 与 query 选择 consumer、operator 或 invalid 页面，并支持受众切换","auth-web/main.tsx 静态 import","Auth root render","default App；私有 InvalidIdentityEntryPage","main.tsx；React root","window hostname/search、identity node registry、用户切换点击","MallProvider 包裹的三态页面","React entry state；document.title；history.replaceState","无","子页面后续网络；本文件无 fetch","React click/effect","无直接 env；下游 runtime registry","只做入口身份类型分流；真实认证授权在 API","浏览器 window/history/document、React","无顶层副作用","加载 ConsumerIdentityPage/OperatorIdentityPage/MallProvider；不加载 LoginPage","注册当前 Auth 可见页面根","组件测试未定位；owner-approved 门禁只哈希，不验证 import reachability","effect 无 listener；无资源","无效入口显示可见页；子页面错误另审","consumerIdentityEntry.test.ts；check:approved-ui","resolver 有直接测试但未执行；owner check 当前直接失败","owner-approved-ui.json；SOURCE-MANIFEST.md；01/02 汇总","[CONFLICT][E-AU-002-009/010] 机器清单和 SOURCE-MANIFEST 指向 LoginPage，当前代码不挂载且锁 SHA 漂移","host/query/受众切换是当前用户可观察入口；LoginPage 仍有 approval/history 责任","LoginPage 是另一完整 UI，但未证明行为等价，不能合并或删除","未分级（AU-002 不进行垃圾代码认定）","main 渲染后无法选择任何身份页面；owner gate 也受影响","[CONFLICT] 运行职责明确但批准事实源分裂；F-0005，置信度高"
"FILE-00059","01_core_hexin/apps/auth-web/src/services/identityNodeEnvironment.ts","Auth 节点运行配置","TypeScript","96425662baf11e3fc1c3a41a40497e79d05bc278","93","完整文件 1-93","Codex 主审","2026-09-13","AU-002","CP-02","中到高","否","exports.csv；functions.csv；configuration.csv；branches-and-states.md","已同步","加载/校验可随节点发布的身份 registry，并为页面/API 提供当前节点和登录 intent","main、App、canonical identity/registration、tests","Auth 启动或任一消费者读取当前节点","load/install/configured registry/node/current node/current login intent","Auth main/App/services","fetcher、hostname、unknown runtime JSON、可选 registry source、URL search","boolean、冻结 runtime、registry/node/login intent 或异常","模块级 runtimeRegistry 可替换；读取 window location","无","GET /identity-runtime.json","无","VITE_IDENTITY_NODE_REGISTRY","host/node 绑定；不执行业务权限","浏览器 fetch/window；SDK identity-node parser","runtimeRegistry 初始 null","仅类型/SDK imports；调用时 fetch/install","提供 Auth 运行节点事实源，不注册路由","tests 可注入 fetch/hostname/source；生产使用 window/fetch/env","fetch 无自有 timeout；无 listener","404/非 JSON 返回 false；非 ok/schema/host mismatch 抛；current node null fail closed","identityNodeRuntime.test.ts；consumerIdentityEntry.test.ts","有 direct mock fetch/shape/host tests；未执行；并发 runtime installs 未测","02-runtime-map.md；configuration.csv","[FACT][E-AU-002-008] 当前实现一致；线上 runtime 存在性 UNKNOWN","runtime file 和 build registry 双来源兼容","Storefront 有平行 node resolver，但运行环境/host 不同","未分级（AU-002 不进行垃圾代码认定）","Auth main/App/API origin 解析首先失败或拒绝入口","[FACT] 身份入口基础事实源，置信度高；双来源一致性待身份专项"
"FILE-00056","01_core_hexin/apps/auth-web/src/services/consumerIdentityEntry.ts","Auth 入口解析","TypeScript","70d166743cae8e962c9267689ea415519c63a7e1","69","完整文件 1-69","Codex 主审","2026-09-13","AU-002","CP-02","中到高","否","exports.csv；functions.csv；routes.csv；branches-and-states.md","已同步","把 host/query 解析为当前节点 consumer/operator 身份入口，拒绝跨节点或模糊 intent","App；direct tests","App 首次 render 或 audience switch","ConsumerIdentityEntry；IdentityEntry；resolveConsumerIdentityEntry；resolveIdentityEntry","App、tests","URL search、hostname、registry/node","冻结 consumer/operator entry 或 null","无外部写；纯函数调用 configured registry","无","无","无","间接使用 build/runtime node registry","入口边界校验，不是登录授权","浏览器 URLSearchParams 或 SSR 传参","无","类型 import；默认参数读取 configured registry","定义页面选择契约","tests 显式传 registry；生产默认读取全局环境","无资源","所有不匹配返回 null，由 App 显示 invalid；registry parser 异常传播","consumerIdentityEntry.test.ts","直接覆盖 consumer/operator/L11/cross-node 参数；未执行","02-runtime-map.md；routes.csv","[FACT][E-AU-002-009] 当前代码与运行图一致","query 名称和 operating_mall 默认 operator 是 URL 兼容职责","未见第二个当前入口 resolver；LoginPage 内部流程不是等价路由器","未分级（AU-002 不进行垃圾代码认定）","App 无法选择正确页面，所有 accounts host 显示 invalid","[FACT] 页面分流关键函数，置信度高；外部旧 URL 消费者待身份专项"
"FILE-00498","01_core_hexin/apps/storefront-web/app/layout.tsx","Storefront App Router 根布局","TypeScript/TSX","de1889cae8abee69ccc9dcf5ba160e0f617d1232","207","完整文件 1-207，按首屏、metadata、layout 三段审阅","Codex 主审","2026-09-13","AU-002","CP-02","中","否","exports.csv；functions.csv；routes.csv；styles-and-assets.csv","已同步","定义所有 Storefront App Router 页面共同 HTML、metadata、全局 CSS、首屏 guard、节点 registry 和 public catalog 预发","vinext/Next App Router 文件发现","任一页面请求；dynamic=force-dynamic","dynamic；generateMetadata；viewport；default RootLayout","框架 App Router/所有 pages","请求 Host header、children、SFL/NEXT_PUBLIC registry、浏览器 location","HTML head/body、metadata、inline runtime/bootstrap scripts","写 window identity registry 和 public catalog Promise；动态 metadata","无","inline 浏览器 fetch public products；server headers()","无自定义事件","SFL_STOREFRONT_IDENTITY_NODE_REGISTRY；NEXT_PUBLIC_IDENTITY_NODE_REGISTRY","本文件无授权；Worker 先做 host/runtime policy","vinext/Next server+browser、React、DOM、global CSS","框架请求时执行 metadata/layout；浏览器执行 inline scripts","import globals.css；常量字符串无模块外副作用","App Router 根 layout 与特殊资源元数据","测试未见真实 server render/Host/stylesheet failure；生产 force-dynamic","无 listener；fetch Promise 暴露供客户端复用；无 Abort timeout","inline fetch/catch 静默转 null；invalid registry inline 为 null；CSS 不到达时 guard 保持加载 UI","publicCatalogApi.test.ts 间接；layout 专测未定位","public response 复用有 mock test未执行；Host/首屏失败无直接测试","01-architecture.md；02-runtime-map.md","[FACT][E-AU-002-013/015/017] 入口与资源一致；品牌文案是否当前产品决定不评","App Router 特殊文件和 first-paint 行为是公开 HTML 契约","src/index.css 是图外平行根但未被本 layout 使用","未分级（AU-002 不进行垃圾代码认定）","所有 Storefront route 失去 HTML/layout/CSS；可能只剩 Worker API","[FACT] 页面总根，置信度高；Host metadata 与 CSP/安全待专项"
"FILE-00703","01_core_hexin/apps/storefront-web/src/showcase/DeviceShowcase.tsx","Storefront 多端展示路由","TypeScript/TSX","51511855df5ebba5c6bca06be73da1d92c5b84dc","60","完整文件 1-60","Codex 主审","2026-09-13","AU-002","CP-02","中","否","exports.csv；functions.csv；routes.csv；branches-and-states.md","已同步","解析五类 showcase 路径，在 hydration 后按 appMode 动态载入 desktop/mobile/tablet frame","App Router [device] 和 desktop frame page；tests","对应 page render；Worker 允许 showcase host 后","isSupportedShowcasePath；ShowcaseSurface；resolveShowcaseSurface；DeviceShowcase","App pages、MallProvider、tests","initialPath、MallContext appMode、localStorage 间接","统一 hydration shell、frame 或不存在文本","isMounted hook；MallProvider 内部 mock/showcase state","无直接数据库","showcaseService 下游可能网络/本地；本文件无 fetch","React effect/Suspense","无","展示路径不等于生产授权；Worker 先限制 host","浏览器 hydration/React lazy/localStorage；SSR 先输出 shell","三个 React.lazy closure","模块 load 不触发 chunk；mount effect 后选择","作为 dynamic device 页面组件","测试 server static markup 和 props；不启动真实 HTTP/Worker","effect 无清理需求；lazy Promise 由 React 管理","lazy fallback 可见；未知 path 显示文本；chunk reject 依赖上层 boundary","DeviceShowcase.test.ts","纯函数和 hydration shell直接；未知 path HTTP status未测；未执行","02-runtime-map.md；routes.csv","[FACT][E-AU-002-016] 组件行为一致；HTTP status UNKNOWN","五个展示前缀是开发/labs 可见兼容路径","worker/showcaseAccess 有相同前缀但职责是 host gate，不是重复页面解析","未分级（AU-002 不进行垃圾代码认定）","[device] 页面无法渲染 showcase；已知路径空白/错误","[FACT] labs/showcase 真实 route 组件，置信度高；生产用户职责受 Worker 限制"
