"evidence_id","kind","location","fact","supports","limit"
"E-AU-023-001","覆盖","cakeuncle目录","16文件662行全部逐文件阅读","AU-023覆盖","直接consumer实现另按入口抽查"
"E-AU-023-002","运行入口","providers/{cake,flower,foodvoucher,meal}/Provider.ts","四个factory构造CakeuncleClient并由Runtime loader装载","真实调用链","线上enabled installation未知"
"E-AU-023-003","资源边界","Client.ts:118-140,169-229","流式读取限制2MiB，但JSON值校验无深度/节点上限","F-0099","Node栈大小依运行时变化"
"E-AU-023-004","合成探针","Node 5k深对象","30,004字节合法JSON在同构递归校验触发RangeError","F-0099","未加载TS正式模块"
"E-AU-023-005","声明边界","README.md:14-27","Foodvoucher只启用Catalog/Price；写入、Webhook与Card issuance明确禁用","F-0100","文档不是单独事实源，与代码冲突才入账"
"E-AU-023-006","生产实现","providers/foodvoucher/{manifest.ts,Provider.ts}","manifest宣称9 capabilities；factory注册6业务ports及通用Webhook","F-0100","线上是否启用未知"
"E-AU-023-007","协议冲突","Webhook.ts:6-51; providers/core/PortFactory.ts:36-53","Cakeuncle verifier使用body内channel/timestamp/sign且明确payload未签；生产Foodvoucher改用header HMAC timestamp.body","F-0100/DC-0028","真实供应商回调版本待外部复核"
"E-AU-023-008","公共导出","index.ts:1-7","Webhook未导出；Auth/Client/Endpoints/Physical/Rate/Circuit/Signer导出","DC-0028/DC-0029","仓外消费者未知"
"E-AU-023-009","静态引用","全仓rg","Webhook仅测试引用；H5/Card签名、别名和部分endpoint常量无生产caller","DC-0028/DC-0029","公共API及历史责任仍在"
"E-AU-023-010","依赖声明","package.json:9; Client.ts:2; Webhook.ts:2","源码直接import type @shop/contract，dependencies只声明vendorcore","F-0101","当前workspace提升可掩盖"
"E-AU-023-011","测试入口","package.json:6","test/typecheck各一次均exit127，缺vitest/tsc","F-0102","未得到通过/失败实现结论"
