"证据编号","证据类型","时间/基线","入口/位置","观察","可证明","不可证明","复现/复核","敏感性"
"E-AU-002-001","Git 状态","2026-09-13；固定基线","branch/status/rev-parse/merge-base","开工分支 codex/full-codebase-audit-20260913；HEAD 1a772714；工作区干净；与固定基线 merge-base 为 5a1ce71e","AU-002 从既有固定基线检查点续接且未吸收后续 origin","阶段结束仍干净或未来 origin 内容","提交前重复 status、merge-base 和 diff scope","无"
"E-AU-002-002","文件清单与行数","固定基线","git tree + 10-coverage-manifest.csv","四应用 700 文件；643 个人工可执行源码 92,095 行；46 其它人工资源/配置；8 生成；3 构建产物","本 AU 文件级范围和排除口径","每个业务实现均已深审","按固定 SHA 重算路径、状态和 wc 物理行","无"
"E-AU-002-003","运行入口","固定基线","console/index.html:19-24；src/main.tsx:15-34","root 存在性检查后加载 runtime；启动 document prefetch；动态 import providers；稳定后 StrictMode render；失败时一次动态 chunk 恢复或错误页","Console 首层启动顺序、首屏失败分支和 CSS 根","页面业务/API 正确性或生产制品在线","从 HTML script 反向重追 main/import/provider/App","无"
"E-AU-002-004","路由注册","固定基线","ConsoleRouter.tsx:16-43；15 个 feature/manifest.ts","Browser Router 有 /、/scopes/:scopeKind/:scopeId、profile、wildcard；15 个 enabled manifest 物化 34 条 lazy route","Console 当前生产路由集合、参数、动态加载入口","各页面对 operation 的正确授权或 UI 完整性","逐 manifest 枚举 id/path/kind/lazy 并由反向测试清单复核","无"
"E-AU-002-005","loader/状态机","固定基线","SessionLoader.ts:69-241,254-430","landing 读取并短期移交 session；scope 并行读取 layers/profile；校验 scope 成员；document prefetch 1.5 秒交接并支持 Abort/cleanup","Console 深链/刷新、会话/作用域 loader 的当前顺序与恢复上界","后端返回一定正确、所有权限边界正确","从 Router loader 入口重追读取、解析、redirect、abort","无"
"E-AU-002-006","网络第一跳","固定基线","DocumentPrefetch.ts:23-166；ScopeShell.tsx:60-71","首文档请求 session/profile/layers，并按路径/能力预取 cockpit/products/supply/support；logout 读取 live session 后 DELETE 并跳身份入口","Console 页面加载前 HTTP 第一跳和取消机制","API handler、数据库或幂等语义","按 URL/header/capability/timeout 枚举；后端留 AU-003+","无"
"E-AU-002-007","样式与资源","固定基线","console main.tsx:3-7；style.css:1-6；shell.css:1-2；70 个 CSS","4 个 design CSS + style 根；style 再收集 shell/feature/responsive/legacy/VI；shell 收集 navigation/header；6 个 CSS 无文件名消费者","Console CSS 构建根、层叠顺序和疑似图外文件","图外 CSS 可删除或视觉无差异","逐 CSS 文件名、@import/import 和类消费者扫描；未做页面视觉对照","无"
"E-AU-002-008","运行入口","固定基线","auth-web/main.tsx:7-33；identityNodeEnvironment.ts:19-89","构建 registry 已知 host 时先 render；随后同源加载 identity-runtime.json；runtime 校验 schema/source/build/digest/registry/host","Auth 启动顺序、运行 registry 输入和失败页","登录/会话业务正确或 runtime 文件线上存在","HTML→main→runtime→App 反向重追","无"
"E-AU-002-009","页面分流","固定基线","auth-web/App.tsx:12-63；consumerIdentityEntry.ts:27-69","无 Browser Router；host/query 决定 consumer/operator/invalid；切换受众用 replaceState 后重算 entry","当前挂载页面和 query/host 条件","LoginPage 无任何历史/回滚/外部价值","静态 import、全仓引用、机器清单和历史交叉核对","无"
"E-AU-002-010","机器契约+反事实命令","固定基线","owner-approved-ui.json:69-99；owner-approved-ui.mjs:41-49；npm run check:approved-ui","accounts approvedComponent 为 LoginPage，但 App 实际挂载另两页；门禁首个 App HASH_MISMATCH；只读全锁核对另有 index.html、site.webmanifest 漂移","Auth owner-approved 声明、运行入口和锁定哈希冲突；正式门禁失败","哪一套界面才是 Ethan 当前产品决定","重跑命令；重算所有 accounts lockedFiles SHA；人工确认权威 UI","无"
"E-AU-002-011","实现与历史","固定基线","canonicalIdentity.ts:143,222,235,329,342；canonicalRegistration.ts:135,159,185,225；commit 7d94f2aa","9 处从 Schema.parse 改为 void Schema.safeParse(response) 后直接 as 类型消费","成功响应的 Schema 结果未参与控制流，运行数据未经该 Schema 接纳","服务器当前一定会返回畸形数据或用户必然受影响","逐调用点检查 safeParse 结果消费者；构造畸形 2xx 反事实测试留修复批次","无"
"E-AU-002-012","第三方契约","2026-09-13 检索","Zod 官方 basics；package zod 4.4.3","官方契约说明 safeParse 返回 success/data 或 success/error 且验证失败不抛；当前代码丢弃该结果","F-0007 的库级失败语义","项目期望为何从 parse 改为 safeParse","官方文档 https://zod.dev/basics；复核锁定版本 API","外部公开文档"
"E-AU-002-013","框架入口","固定基线","storefront-web/app/**；package.json:9-14；vite.config.ts:6-48","vinext dev/build/start；App Router 路由为 /、/h5、/[device]、/desktop-1920 及 frame/inspect；layout 全局 CSS 与 force-dynamic","Storefront 页面发现机制和构建/启动命令","框架内部 HTTP 状态、线上部署版本","逐 page/layout 文件及 package/vite 入口复核","无"
"E-AU-002-014","Worker 入口","固定基线","storefront-web/worker/index.ts:18-57；showcaseAccess.ts:1-37","fetch 顺序为 labs 阻止→runtime 503→showcase host 404→Compatibility publicRouter→vinext handler；Node env fallback","同一制品中的 API/页面分流和 Node/Worker 双运行时","下游 timeout/retry 或 Cloudflare 当前部署状态","从 Vite worker main 反追 default fetch；AU-001 深审记录 FILE-00712","无"
"E-AU-002-015","API 第一跳","固定基线","layout.tsx:94-126；publicCatalogApi.ts:18；productionApiLoader.ts；canonicalApiClient.ts:27-116","/ 与 /h5 在 head 预发同源 public catalog；页面复用 Response；认证调用动态载入 productionApi，并按节点/浏览器 origin 生成 SDK client/context","Storefront 到 public/Canonical API 的第一跳与 origin 选择","具体 operation、handler、数据库正确性","从 MallContext/loader 反追到 fetch/SDK 边界后停止","无"
"E-AU-002-016","动态页面","固定基线","[device]/page.tsx:13-16；DeviceShowcase.tsx:8-60","任意单段 device 进入组件；5 个前缀被支持并 lazy 三类 frame；未知路径在 hydration 后显示不存在文本","动态 route 的当前组件行为和 hydration shell","未知单段路径最终 HTTP status 是 200 还是 404","静态 server component+client component+test 反追；需真实 HTTP 才定状态","无"
"E-AU-002-017","样式与资源","固定基线","storefront layout.tsx:3；globals.css:1-37；src/index.css:1-2；auth main.tsx:5/index.css","Storefront 实际根是 app/globals.css，src/index.css 无消费者；Auth 唯一 index.css 由 main 直接导入；App Router 图标/manifest 由 app 特殊文件发现","两个应用 CSS/资源收集根","无消费者文件可删除或视觉无差异","import/@import、特殊文件、选择器和构建框架交叉核对","无"
"E-AU-002-018","文件/生成清单","固定基线","miniapp/miniprogram 9 文件；4 个 build-miniapp/runtime 脚本","唯一人工 app.js 读取生成 Environment 并调用 App；其余 8 项由 runtime/theme/contract/environment 生成器输出","当前仓库 Miniapp 文件组成、生成来源和顶层副作用","外部完整工程不存在或片段可删除","git tree、生成 target、release candidate source 交叉核对","无"
"E-AU-002-019","正式命令","2026-09-13","npm run check:navigation；navigation.mjs:13-46","命令退出 1，ENOENT miniapp/miniprogram/app.json；脚本还要求 pages 三件套和 navigation/actions.js","固定基线不能执行正式 navigation 审计入口","Miniapp 产品必须在本仓库完成或已线上失效","重跑正式命令；外部工程证据另取","无"
"E-AU-002-020","机器契约冲突","固定基线","runtimegraph.mjs:21；candidate.mjs:19-34；check/tests.mjs:39-50；api-contract delivery-matrix.json:1-65；regression.mjs:6-18","runtimegraph 要求缺失 api/client；candidate 无条件打包片段；tests 只查 app.js 且命令通过；delivery matrix 称缺失/retired wechat-miniapp 的 4 项能力 implemented","多套机器规则对 Miniapp 完整性的定义互相冲突","真实产品下线/迁移决定或外部消费者","逐规则反向复核；不得选最激进解释","无"
"E-AU-002-021","正式命令","2026-09-13","npm run check:frontend；frontend.mjs:52-94","退出 1：13 new、33 known；13 项均为 DESIGN_TOKEN_BYPASS，含 Storefront globals 和当前 Console 模块样式","固定基线无法通过 frontend boundary gate；精确未登记集合","13 项都应改样式或都应加入 debt","重跑命令；治理批次逐项决定并做视觉反事实","无"
"E-AU-002-022","正式命令+内存差分","2026-09-13","npm run check:frontendmanifest；frontendmanifest.mjs:7-50；files.json","正式命令退出 1 FRONTEND_FILE_MANIFEST_DRIFT；同算法内存复算 current 958 vs recorded 786，added 174/removed 2/changed 295","前端证据快照不代表固定基线当前文件树","每个差异的业务风险或删除结论","在不写输出的脚本中重算并按 path/hash/size/mode 比较","无"
