"不变量编号","不变量","业务依据","代码执行点","配置/数据执行点","消费端校验点","测试","并发成立性","恢复成立性","证据状态","破坏检测/恢复"
"INV-AU-010-001","未满足完整授权链时默认拒绝","Policy/AccessPipeline实际控制流","Policy.ts:20-47；AccessPipeline.ts:52-116","Membership/capability resolver空结果","OperationController不调用handler","Policy.test+32组合矩阵","纯函数成立；外部快照并发由version处理","重试下一请求重新解析","成立","负向矩阵+decision audit"
"INV-AU-010-002","显式deny覆盖同permission的allow","denies早于grant","Policy.ts:31-35","resolve membership分别投影deny/allow","完整precheck","Policy.test/security test","同一snapshot成立","版本更新使旧会话失效","部分成立","F-0054：二级permission裸checkScope绕过"
"INV-AU-010-003","permission code必须存在目录","byCode唯一Map","PermissionCatalog.ts:198-205","contractgen validatePermissions","AccessPipeline调用permissionDefinition","无unknown/duplicate反事实测试","静态目录加载时成立","生成失败/进程启动错误","成立但测试缺口","目录/Operation集合对账"
"INV-AU-010-004","grant只在effective<=now<expires时有效","isEffective","Policy.ts:54-57","DB也筛当前有效行","precheck和checkScope重复使用","仅过期样例；本AU边界探针","统一snapshot下成立","下一请求重新判定","成立","到期/未来/非法时间矩阵"
"INV-AU-010-005","非平台层级scope不得跨tenant","当前设计文档与测试期望","Policy.ts:63","scope_object/closure通常提供tenant","Pg/Web scope resolver","仅tenant均存在且不等测试","纯函数对完整输入成立","异常数据需修复后重试","破坏","F-0055：grant tenant缺失跳过比较"
"INV-AU-010-006","scope包含关系同时绑定kind与id","Scope类型与ancestor path","Policy.ts:59-65","scope_object生成kind/path","canonical resolver","无跨kind同ID测试","纯函数确定","修复输入/进程即可","破坏","F-0055：exact id分支忽略kind"
"INV-AU-010-007","platform grant必须代表canonical平台祖先","唯一平台根/边界文档","Policy.ts:60","organization root/closure","PgScopeResolver","无错误platform测试","纯函数确定","修复数据/代码后重试","破坏","F-0055：platform无条件true"
"INV-AU-010-008","critical permission必须有近期level>=3 step-up","catalog critical=>stepup；Pipeline双层","Policy.ts:46-70；StepupPolicy.ts:1-9","session assurance projection","AccessPipeline组合两个判断","Authz时间测试；Pipeline无critical用例","同一now下成立","重新step-up再请求","成立；集成测试缺口","critical全目录对账+Pipeline反事实"
"INV-AU-010-009","角色管理者不能转授超出其治理边界的permission","内建senior明确排除owner-only集合；避免自提升","AccessOperations.ts:22-64,185-305","rolepermission/membershiprole","Console RoleEditor","无actor subset负例","事务内确定但授权前置缺失","回退角色/提升access version","破坏","F-0053/RV-0009"
"INV-AU-010-010","session、membership和current accessVersion必须一致","旧session失效契约","AccessPipeline.ts:64-72","三个session-bound resolver","handler仅收AccessContext","Pipeline ID/矩阵局部；无真实pg类型","三次读取间仍有TOCTOU但第二version缩窗","下一请求重解析","逻辑成立；类型不真实","F-0057记录类型风险"
"INV-AU-010-011","权限目录在进程生命周期内不可被消费者改写","公开readonly/freeze意图","PermissionCatalog.ts:4-11；ScopeKind.ts:1","静态模块singleton","Console/contractgen/AccessPipeline共享","无mutation测试","同进程并发可观察mutation","重启恢复源码值","破坏","既有F-0032，新增Authz反事实"
"INV-AU-010-012","正式测试必须跟随session-bound resolver契约","测试应验证当前生产接口","WebBusinessScopeResolver.test.ts:50-59","PgAccessResolvers.ts:133-141","vitest.config包含src/**/*.test.ts","旧用例直接反证","不涉及并发","更新测试后恢复","破坏","F-0056"
