"符号编号","文件编号","1 符号名称","2 声明位置","3 直接消费者","4 间接消费者","5 重新导出","6 动态访问","7 仅测试使用","8 公共契约","9 运行时副作用","10 可见范围","11 兼容导出","12 删除或改名影响"
"SYM-AU-007-001","FILE-AU-007-008","ClientPage","01_core_hexin/packages/contract/src/ClientSchema.ts:3","固定仓库代码引用0","package/barrel→运行消费者，见communications.csv","无显式barrel或自身即barrel","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","仍须排除package外消费者/兼容后才可删除；零引用非G3证据"
"SYM-AU-007-002","FILE-AU-007-008","transportInteger","01_core_hexin/packages/contract/src/ClientSchema.ts:8","01_core_hexin/apps/auth-web/src/services/canonicalRegistration.ts|01_core_hexin/packages/contract/src/ClientSchema.test.ts","package/barrel→运行消费者，见communications.csv","无显式barrel或自身即barrel","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","模块加载时创建常量/Schema/目录","@shop/contract root/subpath","未发现","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-003","FILE-AU-007-008","parseClientPage","01_core_hexin/packages/contract/src/ClientSchema.ts:12","01_core_hexin/packages/contract/src/ClientSchema.test.ts","package/barrel→运行消费者，见communications.csv","无显式barrel或自身即barrel","未发现反射；外部动态包加载UNKNOWN","是","是（private workspace包内公共契约）","调用时执行","@shop/contract root/subpath","未发现","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-004","FILE-AU-007-010","Contract","01_core_hexin/packages/contract/src/Contract.ts:4","01_core_hexin/packages/contract/src/index.ts|01_core_hexin/packages/testing/src/HttpHarness.test.ts|04_tools/release-engine/test/planner.test.mjs|04_tools/tools/contractgen/src/ClientArtifacts.ts|…共5文件","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-005","FILE-AU-007-012","DEEP_LINK_ROUTES","01_core_hexin/packages/contract/src/DeepLinkContract.ts:3","04_tools/scripts/build-miniapp-contract.mjs","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","模块加载时创建常量/Schema/目录","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-006","FILE-AU-007-012","DeepLinkRoute","01_core_hexin/packages/contract/src/DeepLinkContract.ts:4","固定仓库代码引用0","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","仍须排除package外消费者/兼容后才可删除；零引用非G3证据"
"SYM-AU-007-007","FILE-AU-007-012","DeepLinkSchema","01_core_hexin/packages/contract/src/DeepLinkContract.ts:6","固定仓库代码引用0","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","模块加载时创建常量/Schema/目录","@shop/contract root/subpath","是或未排除","仍须排除package外消费者/兼容后才可删除；零引用非G3证据"
"SYM-AU-007-008","FILE-AU-007-012","DeepLink","01_core_hexin/packages/contract/src/DeepLinkContract.ts:10","固定仓库代码引用0","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","仍须排除package外消费者/兼容后才可删除；零引用非G3证据"
"SYM-AU-007-009","FILE-AU-007-012","parseDeepLink","01_core_hexin/packages/contract/src/DeepLinkContract.ts:12","01_core_hexin/packages/contract/src/DeepLinkContract.test.ts","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","是","是（private workspace包内公共契约）","调用时执行","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-010","FILE-AU-007-012","miniappDeepLink","01_core_hexin/packages/contract/src/DeepLinkContract.ts:18","01_core_hexin/packages/contract/src/DeepLinkContract.test.ts","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","是","是（private workspace包内公共契约）","调用时执行","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-011","FILE-AU-007-013","ErrorContract","01_core_hexin/packages/contract/src/ErrorSchema.ts:4","01_core_hexin/packages/contract/src/ErrorContract.generated.ts|01_core_hexin/packages/contract/src/index.ts|01_core_hexin/packages/testing/src/HttpHarness.ts|03_quality_ceshi/tests/browser/ConsolePreviewServer.test.ts|…共5文件","package/barrel→运行消费者，见communications.csv","无显式barrel或自身即barrel","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","未发现","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-012","FILE-AU-007-013","ErrorContractSchema","01_core_hexin/packages/contract/src/ErrorSchema.ts:12","01_core_hexin/packages/contract/src/ErrorContract.generated.ts|01_core_hexin/packages/sdk/src/error/index.ts|03_quality_ceshi/tests/browser/ConsolePreviewServer.test.ts|04_tools/tools/contractgen/src/ContractGenerator.ts","package/barrel→运行消费者，见communications.csv","无显式barrel或自身即barrel","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","模块加载时创建常量/Schema/目录","@shop/contract root/subpath","未发现","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-013","FILE-AU-007-014","EventContract","01_core_hexin/packages/contract/src/EventContract.ts:1","01_core_hexin/packages/contract/src/Contract.ts|01_core_hexin/packages/contract/src/EventSerializer.ts|01_core_hexin/packages/contract/src/events/CommerceEvents.ts|01_core_hexin/packages/contract/src/index.ts|…共5文件","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-014","FILE-AU-007-014","eventContract","01_core_hexin/packages/contract/src/EventContract.ts:8","01_core_hexin/packages/contract/src/events/CommerceEvents.ts|04_tools/scripts/audit/database-contracts.mjs|04_tools/tools/contractgen/src/ContractGenerator.ts","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","调用时执行","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-015","FILE-AU-007-015","EXPERIENCE_VERSION","01_core_hexin/packages/contract/src/ExperienceContract.ts:3","04_tools/scripts/build-miniapp-contract.mjs","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","模块加载时创建常量/Schema/目录","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-016","FILE-AU-007-015","EXPERIENCE_ACTIONS","01_core_hexin/packages/contract/src/ExperienceContract.ts:4","04_tools/scripts/build-miniapp-contract.mjs","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","模块加载时创建常量/Schema/目录","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-017","FILE-AU-007-015","EXPERIENCE_COMPONENTS","01_core_hexin/packages/contract/src/ExperienceContract.ts:5","01_core_hexin/packages/contract/src/Contract.test.ts|04_tools/scripts/build-miniapp-contract.mjs","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","模块加载时创建常量/Schema/目录","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-018","FILE-AU-007-015","ExperienceActionType","01_core_hexin/packages/contract/src/ExperienceContract.ts:6","固定仓库代码引用0","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","仍须排除package外消费者/兼容后才可删除；零引用非G3证据"
"SYM-AU-007-019","FILE-AU-007-015","ExperienceComponentType","01_core_hexin/packages/contract/src/ExperienceContract.ts:7","固定仓库代码引用0","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","仍须排除package外消费者/兼容后才可删除；零引用非G3证据"
"SYM-AU-007-020","FILE-AU-007-015","ExperienceAction","01_core_hexin/packages/contract/src/ExperienceContract.ts:9","固定仓库代码引用0","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","仍须排除package外消费者/兼容后才可删除；零引用非G3证据"
"SYM-AU-007-021","FILE-AU-007-015","ExperienceBlock","01_core_hexin/packages/contract/src/ExperienceContract.ts:13","固定仓库代码引用0","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","仍须排除package外消费者/兼容后才可删除；零引用非G3证据"
"SYM-AU-007-022","FILE-AU-007-015","ExperiencePage","01_core_hexin/packages/contract/src/ExperienceContract.ts:19","固定仓库代码引用0","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","仍须排除package外消费者/兼容后才可删除；零引用非G3证据"
"SYM-AU-007-023","FILE-AU-007-015","ExperienceDocument","01_core_hexin/packages/contract/src/ExperienceContract.ts:24","01_core_hexin/services/commerce/src/modules/experience/03_application_yingyong/ExperienceOperations.ts","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-024","FILE-AU-007-015","parseExperience","01_core_hexin/packages/contract/src/ExperienceContract.ts:30","01_core_hexin/packages/contract/src/Contract.test.ts|01_core_hexin/services/commerce/src/modules/experience/03_application_yingyong/ExperienceOperations.ts","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","调用时执行","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-025","FILE-AU-007-015","serializeExperience","01_core_hexin/packages/contract/src/ExperienceContract.ts:40","01_core_hexin/packages/contract/src/Contract.test.ts|01_core_hexin/services/commerce/src/modules/experience/01_public_gongkai/ExperienceProvisioningPort.ts|01_core_hexin/services/commerce/src/modules/experience/03_application_yingyong/ExperienceOperations.ts|01_core_hexin/services/commerce/src/modules/experience/04_adapters_shixian/adapter/CdnPublisher.ts|…共5文件","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","调用时执行","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
"SYM-AU-007-026","FILE-AU-007-017","FinancialActionRequest","01_core_hexin/packages/contract/src/FinancialActionPolicy.ts:3","01_core_hexin/services/commerce/src/modules/identity/05_interface_jieru/http/MobileWechatOperations.ts","package/barrel→运行消费者，见communications.csv","src/index.ts","未发现反射；外部动态包加载UNKNOWN","否","是（private workspace包内公共契约）","无；类型擦除","@shop/contract root/subpath","是或未排除","会使列明消费者编译、生成、路由或运行失败"
