"证据编号","证据类型","时间/基线","入口/位置","观察","可证明","不可证明","复现/复核","敏感性"
"E-AU-011-001","Git/范围","固定基线5a1ce71e","branch/rev-parse/status","CP-10后clean；固定基线仍为祖先；未吸收主线","分支与基线边界","线上版本","核对HEAD/status/merge-base","无"
"E-AU-011-002","逐文件人工审阅","固定基线5a1ce71e","smart-wing-authz全部4文件","4/4文件267/267行逐文件逐分支读完","包内部行为和测试规格","仓外消费者","files/functions/tests交叉","无"
"E-AU-011-003","导出/静态调用","固定基线5a1ce71e","package/index与全仓rg","5公开符号；仅decide有2个包外源码import","仓内静态公共面消费","动态/仓外调用","排除定义后重搜","无"
"E-AU-011-004","发布入口反追","固定基线5a1ce71e","Storefront worker/release/delivery/deployment checker","Storefront仅加载public router；旧admin制品forbidden；commerce-api retired","当前仓库发布关系","线上历史进程","从release target反向核对import","无"
"E-AU-011-005","会话/Membership链","固定基线5a1ce71e","router→auth→membershipContext→session RPC","每请求读取签名session并用session-bound RPC解析单一Membership和版本","请求身份前置链","线上数据内容","核对router、parser和SQL签名","不记录cookie/密钥"
"E-AU-011-006","资源Scope链","固定基线5a1ce71e","routerSupport与3个security-definer RPC","订单/售后/商品scope由服务端行投影；默认操作用membership context","Scope来源边界","所有handler业务正确性","核对caller与SQL","无"
"E-AU-011-007","角色治理对照","固定基线5a1ce71e","custom role/membership access SQL","非Owner角色内容受actor permission ceiling；Scope逐项受actor ceiling","兼容链有F-0053所缺的治理模式","线上迁移已应用","读取最新固定基线函数控制流","无"
"E-AU-011-008","目录实际复算","固定基线5a1ce71e","两套目录实际模块加载","smart86/canonical184；重合8；独有78/176；四个共享code risk不同","两套实现不等价","正式迁移计划","隔离tsx加载并集合对账","无"
"E-AU-011-009","实际源码反事实","固定基线5a1ce71e","HIGH_RISK_PERMISSIONS→decide","删除order.refund后无step-up从拒绝变允许","公开Set可改写安全事实","生产mutation caller","隔离进程delete后前后比较","无"
"E-AU-011-010","实际源码反事实","固定基线5a1ce71e","stepUpMaxAgeSeconds","Infinity使2000年step-up在2026年通过","F-0061边界成立","当前caller利用","固定now与旧timestamp","无"
"E-AU-011-011","实际源码反事实","固定基线5a1ce71e","critical错误Scope","无step-up先STEP_UP_REQUIRED；新step-up后SCOPE_MISMATCH","F-0062顺序成立","线上频率","同一Membership两次调用","无"
"E-AU-011-012","边界矩阵","固定基线5a1ce71e","status/expiry/deny/step-up","仅active有效；expiry等于now拒绝；900秒允许，更旧/未来拒绝；deny优先","纯函数主要边界","DB时钟偏差","固定now探针","无"
"E-AU-011-013","正式命令","固定基线5a1ce71e","npm workspace test/typecheck","本包两命令均Missing script；根typecheck因--if-present不执行独立tsconfig","独立质量入口与类型检查缺口","根聚合测试结果","不安装依赖各执行一次","无"
"E-AU-011-014","同一主审复核","固定基线5a1ce71e","index.ts/test从caller和失败分支重追","2/4高风险文件第二遍结论一致","同一主审50%抽检","独立审阅者结论","review-sample","无"
"E-AU-011-015","检查点独立复核","固定基线5a1ce71e","根package→Storefront package/vitest config→smart-wing-authz test","根test:unit会经Storefront vitest run显式include本包13用例；根typecheck不执行本包独立tsconfig","F-0060准确测试拓扑","依赖未安装时的实际测试结果","检查点复核后静态重追正式入口","无"
