"编号","路径","行数","类型","入口","状态/结论"
"FILE-AU-022-001","01_core_hexin/extensions/vendors/core/package.json","16","包配置","npm workspace/Provider packages","已深入审阅；私有共享传输包"
"FILE-AU-022-002","01_core_hexin/extensions/vendors/core/src/Auth.ts","21","TypeScript源码","测试/公共API","已深入审阅；HeaderAuthenticator无生产caller；DC-0027"
"FILE-AU-022-003","01_core_hexin/extensions/vendors/core/src/CircuitPolicy.ts","22","TypeScript源码","VendorClient/Cakeuncle","已深入审阅；每connection断路器包装"
"FILE-AU-022-004","01_core_hexin/extensions/vendors/core/src/Client.test.ts","53","测试源码","vitest","已深入审阅；4例；F-0098"
"FILE-AU-022-005","01_core_hexin/extensions/vendors/core/src/Client.ts","129","TypeScript源码","JD/Tmall/Wanlian/Wenxuan Provider","已深入审阅；传输/重试；F-0096/F-0097"
"FILE-AU-022-006","01_core_hexin/extensions/vendors/core/src/Connection.ts","22","TypeScript源码","VendorClient及具体vendor clients","已深入审阅；HTTPS与endpoint校验；F-0096"
"FILE-AU-022-007","01_core_hexin/extensions/vendors/core/src/RatePolicy.ts","36","TypeScript源码","VendorClient/Cakeuncle","已深入审阅；限流与并发bulkhead"
"FILE-AU-022-008","01_core_hexin/extensions/vendors/core/src/Signer.ts","42","TypeScript源码","JD/Tmall/Wanlian/Wenxuan Auth","已深入审阅；HMAC/RSA canonical signing"
"FILE-AU-022-009","01_core_hexin/extensions/vendors/core/src/VendorError.ts","12","TypeScript源码","Vendor Core/Provider Core/具体vendors","已深入审阅；错误归一化"
"FILE-AU-022-010","01_core_hexin/extensions/vendors/core/src/index.ts","7","公共入口","全部vendor/provider packages","已深入审阅；barrel导出核对"
"FILE-AU-022-011","01_core_hexin/extensions/vendors/core/tsconfig.json","5","TypeScript配置","typecheck","已深入审阅；继承根配置"
