"抽检编号","入口","首次结论","第二次重追路径","结果","独立性","后续"
"S-AU-002-001","Console route 总数","15 模块/34 lazy route","测试断言→consoleModules→15 manifest→逐 path/kind/lazy 重算","一致；测试标题数字不一致形成 F-0010","同一主审反向抽检；不是独立复核","逐 Console 模块 AU"
"S-AU-002-002","Console 深链 session","scope loader 校验 session/scope","ConsoleRouter scope loader→SessionLoader parse→session scopes→ScopeShell outlet","一致","同一主审抽检","身份/权限 AU"
"S-AU-002-003","Auth 当前页面","只挂 Consumer/Operator","HTML→main→App imports；反向从 LoginPage 全仓引用→仅机器清单/文档/自文件","一致并发现机器契约冲突","同一主审双向抽检","F-0005 治理前 Owner 人工裁定"
"S-AU-002-004","Auth runtime registry","build-known 可先渲染","main 调用顺序→configured node→runtime fetch/install→App resolver","一致","同一主审抽检","身份 runtime 专项"
"S-AU-002-005","Auth Schema 接纳","safeParse 未控制流程","9 个调用点→git blame→引入 diff 显示原 parse→官方 safeParse 契约","一致，F-0007","同一主审反事实抽检；非第二审计者","后续 P2 修复评审"
"S-AU-002-006","Storefront public API","同源请求先进入 Compatibility","layout fetch/publicCatalogApi→worker→routePublicRequest；反向从 publicRouter import→worker","一致","同一主审双向抽检","Compatibility API AU"
"S-AU-002-007","Storefront CSS 根","globals.css 生效、src/index.css 图外","layout import→globals；反向从两个文件名全仓搜消费者","一致","同一主审抽检","构建 metafile/视觉专项"
"S-AU-002-008","Miniapp 当前性","片段与机器规则冲突","candidate/tests/delivery matrix→目录；反向 app.js→Environment generator；navigation/runtimegraph→缺失文件","一致并保留外部工程 UNKNOWN","同一主审context-independent路径复核，不是独立复核","F-0006 产品事实裁定"
"S-AU-002-009","前端 manifest 漂移","正式命令失败","生成器 roots/exclusions/fields→内存重算→与 files.json path/hash/size/mode 差分","一致，规模已量化","同一主审反事实抽检","F-0009 独立治理批次"
"S-AU-002-010","无文件名 CSS","6 项不能据此删除","CSS file name→selectors→component consumers→route import→替代 CSS/测试","一致；均保留未分级","同一主审反向抽检","对应页面模块深审+视觉对照"
