"不变量编号","不变量","业务依据","代码执行点","数据库执行点","API校验点","测试","并发成立性","恢复成立性","证据状态","破坏检测/恢复"
"INV-AU-003-001","正式 service 只能构建 target 白名单 entry","发布单元必须可审计","service-targets.mjs；build-commerce-service.mjs","不适用","不适用","zdt-adapter tests","静态集合","回退 target 制品","FACT","未知 target 构建失败"
"INV-AU-003-002","target API 只能注册显式 operation allow-list","进程最小权限/职责","ApiBootstrap RouteRegistry allow-list + selected modules","handler 内待审","RouteRegistry freeze 缺项抛错","8 个 entry tests 静态确认","启动期串行","启动失败不提供半注册服务","FACT","freeze/entry tests"
"INV-AU-003-003","API 在注册表冻结后才对 loopback 监听","启动一致性","ApiBootstrap freeze 后 Main 调 listen","不适用","Ready 探针","未运行","单进程启动顺序成立","systemd restart","FACT","顶层抛错"
"INV-AU-003-004","API Ready 应测量被启动进程的可服务性","发布健康","多数 API HTTP Ready；Catalog 例外","runtime compatibility","/health/ready 或负向业务路由","Catalog 无对应反事实","Catalog 独立 runtime 与 Main 并行","release 仅 active 无补偿","BROKEN","F-0014；后续独立批次"
"INV-AU-003-005","同一 job 仅由持有 lease 的 worker 完成/失败","避免重复状态覆盖","JobRunner process/fail/heartbeat","state=running + lease_owner + scope 条件","不适用","JobRunner test 只测成功 scope","SKIP LOCKED + conditional update","lease lost 转错误","FACT（实现）","rowCount!=1"
"INV-AU-003-006","Job 失败状态与 deadletter 在同一事务","可恢复失败","JobRunner.fail","BEGIN → deadletter/update → COMMIT","不适用","未运行","单 client 事务","ROLLBACK 后抛出","FACT","processor/deadletter 专项复核"
"INV-AU-003-007","空轮询完成后不得长期保留 stop listener","常驻进程资源有界","三个 wait/delay helper","不适用","不适用","12 次反事实","同一 signal 多 runner 会叠加","只有最终 abort 才一次释放","BROKEN","F-0012；getEventListeners"
"INV-AU-003-008","迁移在同一数据库会话内全局串行","避免并行迁移","MigrationRunner advisory lock","pg_advisory_lock session lock","不适用","adapter 测试不覆盖真实 DB","跨 runner session 锁成立","finally unlock/release","FACT（代码）","DB 专项集成测试"
"INV-AU-003-009","冻结历史文件集与内容不可漂移","迁移可复现","MigrationRunner.assertHistory","不适用","不适用","check:migrations 本 AU 环境阻塞","只读哈希","失败即停止","FACT（代码）","94 文件/count/head/SHA 检查"
"INV-AU-003-010","每个已生效 migration 必须有同原子边界 ledger","重试不能重放已生效 SQL","MigrationRunner SQL query 后独立 ledger query","SQL 自 COMMIT 后 ledger INSERT","不适用","无该失败窗口测试","advisory lock 不解决进程中断","forward-only 无自动补记","BROKEN","F-0013；需故障窗口反事实"
"INV-AU-003-011","影响分析必须包含所有真实制品消费者","默认 affected 发布不能漏服务","release rules + planner","不适用","不适用","缺 CreateMall 专门测试","静态 plan","可显式 target 人工绕过","BROKEN","F-0011；classifyChanges 反事实"
"INV-AU-003-012","数据库迁移先于所选 service target","schema/代码兼容","10 target after database-migration","迁移 target","Ready 再检查 schema","planner/adapter tests","计划拓扑排序","迁移后应用失败只回指针","FACT","plan deploymentOrder/receipt"
