"函数编号","文件编号","位置","1 唯一职责","2 参数来源","3 运行时校验","4 类型真实性","5 默认值","6 特殊输入","7 参数变异","8 外部可变状态","9 调用顺序依赖","10 隐藏前置条件","11 不变量","12 返回路径","13 抛错路径","14 提前返回","15 外部调用","16 数据库写入","17 日志","18 权限判断","19 重试","20 超时","21 资源清理","22 Promise","23 并发安全","24 重复调用","25 半完成状态","26 已测分支","27 未测分支","28 复杂度","29 拆分判断","30 相邻重复"
"FN-AU-003-001","FILE-AU-003-001","ApiBootstrap.ts:60-90 bootstrapApi","组装并冻结一个 API app","Main 的 modules/extensions/configure/origins/operations","Module/Route/Container 自校验","TS 类型与运行 registry 双层","operationIds/gate/registry 可选","空 modules/无 node registry","不变异 options；冻结 registries","configure 可建连接/绑定","configure→module load→freeze→HttpApp","module dependencies 和 operation catalog 已存在","冻结对象","冻结的 app/modules/routes/node resolver","任一注册/缺 operation 抛错","无","module.register/HttpApp","间接，取决模块","无","只注入 gate","无","无外层 timeout","调用方 runtime.close","async Promise","启动阶段串行","重复调用创建独立 app","configure 后 module 失败需 runtime 调用方清理","入口 tests","configure 局部失败清理","中","保持核心编排","JobsBootstrap 同形"
"FN-AU-003-002","FILE-AU-003-002","JobsBootstrap.ts:20-36 bootstrapJobs","组装并冻结 Full Jobs registry","modules/extensions/pool/worker/configure","registry/container 校验","TS + runtime registry","无","空 catalog","冻结 registry/extensions/container","configure 可绑定资源","module load 后 registerJobs","全部 JOB_CATALOG processor 依赖已绑定","registry/extensions/container 在返回前冻结","JobRegistry","注册/绑定失败","无","registerJobs","间接","无","无","无","无","调用方 close runtime","async Promise","启动串行","重复调用创建新 registry","configure 后失败由调用方处理","静态/聚合 tests","资源失败反事实","中","保持编排","bootstrapApi 同形"
"FN-AU-003-003","FILE-AU-003-003","RuntimeCompatibility.ts:29-72 runtimeCompatibility","采集 DB/cache/extensions 兼容状态","pool/extensions/workload/cache","SQL 与 extension health","DB row 非空用非空断言","api；cache unavailable","连接/SQL失败","不变异输入","DB、cache、extensions","事务查询后 healthAll","runtime schema tables/functions 可查","冻结 state","冻结的 RuntimeCompatibilityState","连接/查询/health 抛错","无","pool.connect/query/healthAll","仅事务配置，无业务写","无","无","无","无显式 query timeout","rollback/release","async Promise","只读事务","可重复，状态时变","healthAll 失败无部分 state","health tests 部分","DB row 空、timeout","中","可保持","target-specific compatibility 重复"
"FN-AU-003-004","FILE-AU-003-004","NodeServer.ts:18-65 listen","创建 Node HTTP server 与生命周期 handle","app/port/host/nodeContexts","body、host、node boundary","host 联合类型；网络仍可失败","host loopback","bind conflict/port0","server 内部状态","socket/request","listener 注册后 ready","调用方应观察 ready 或另有 probe","ready/close/port handle 均绑定同一 server","handle","ready reject；request 转 4xx/5xx","无","node:http/app.handle","无","无","node host boundary","调用方","runtime limits","close callback","ready/close Promise","事件循环并发请求","不可重复 listen 同端口","Main 普遍不 await ready；Catalog probe不测 HTTP","NodeServer tests 未在本 AU 运行","bind race/slow close","高","核心保留","无"
"FN-AU-003-005","FILE-AU-003-005","JobRunner.ts:47-76 run","持续 claim 并并发处理一种 job","kind/processor/shared AbortSignal","scope 与 DB claim 条件","DB rows 运行时未 schema parse","claim mode 选择","空 queue/aborted","不变异 config","runtime.job/AbortSignal","claim→wait 或 process","同一 signal 长寿命","不越过 semaphore","仅 abort 后 resolve","DB/process 抛错可终止 loop","signal 已 abort","pool.query/semaphore/process","claim/update 间接","metrics in process","scope 条件","循环 poll","config.poll/deadline downstream","由 caller close","async long Promise","SKIP LOCKED+Semaphore","常驻调用","空轮询 listener 累积","scope success test","空队列/DB失败/abort","高","delay 应独立修复","Outbox/Scheduler 同形 wait"
"FN-AU-003-006","FILE-AU-003-005","JobRunner.ts:78-100 process","单 job heartbeat、processor、完成/失败","claimed row/config/signal","scope、lease rowCount","job payload unknown 交 processor","无","deadline abort/lease lost","不变异 job","runtime.job + processor side effects","processor→complete 或 fail","processor 必须尊重 signal/幂等","仅 owner/scope 完成","void；错误业务转 fail","fail 自身失败向上","scope mismatch 立即抛","processor/pool/metrics","completed 或 fail","metrics","scope 边界","fail 内","deadline","clear heartbeat/dispose deadline","async","heartbeat 与 processor 并发","重试由新 claim","processor 成功但 completion update 失败可能副作用已发生","现有 success","全部失败窗口","高","后续 processor 专项","无"
"FN-AU-003-007","FILE-AU-003-005","JobRunner.ts:109-140 fail","事务性 retry/deadletter 状态转换","job/cause/config","attempts、lease owner/scope rowCount","cause 截断字符串","terminal 由 attempts","deadletter adapter 失败","不变异 job","runtime.job/deadletter","begin→optional deadletter→update→commit","job 仍归本 worker","deadletter 与 failed 同事务","retry/deadletter","rollback 后抛","无","pool client/deadletter","是","metrics 在 caller","scope/owner","retryDelay","无额外 timeout","rollback/release","async","单 client transaction","重复调用第二次 lease lost","外部 processor 副作用不在事务","未执行","deadletter adapter failure","高","保持事务边界","无"
"FN-AU-003-008","FILE-AU-003-005","JobRunner.ts:143-148 delay","等待 poll 或 abort","milliseconds/shared signal","仅已 aborted 快返","number 未边界校验","无","0/负值","无","timer + listener","timer/listener 竞争 resolve","signal 长寿命","应一次 resolve且清理两侧","resolve","不抛","已 abort","setTimeout/addEventListener","无","无","无","无","milliseconds","仅 abort 清 timer","Promise","Promise resolve 幂等","每空轮询重复调用","正常 timeout 不移除 listener","12 次反事实","大量轮询/abort fan-out","低代码/高影响","独立小修候选","Outbox/Scheduler wait 同形"
"FN-AU-003-009","FILE-AU-003-007","OutboxRelay.ts:19-37 relay/run","claim、发布并标记 outbox；空批轮询","batch/poll/signal","store/publisher 自身","OutboxEvent 类型来自 DB adapter","100/500","publish failure","无","runtime.outbox/外部 publisher","claim→publish→published/fail","publisher 幂等待审","每 event 捕获 publish error","count 或 long Promise","claim/wait DB错误向上","signal abort loop","store/publisher/semaphore","outbox 状态","无","无","store 级重试待审","poll","无显式 store close","async","Semaphore","常驻","wait listener 累积","未执行","publisher half-complete","中","relay/run 可分","wait 与 JobRunner 重复"
"FN-AU-003-010","FILE-AU-003-008","RuntimeScheduler.ts:24-42 run/ensure","持 lease 生成四类时间桶 job","signal/now","LeaseStore + ON CONFLICT","Date/runtime SQL","30s loop","clock boundary","无","runtime lease/job","acquire→ensure→release→wait","DB clock与 JS clock 允许偏差未审","bucket ID 去重","long Promise/void","DB错误向上","signal abort loop","LeaseStore/pool","INSERT job","无","无","ON CONFLICT idempotent","30s","finally release lease","async","全局 lease","重复 ensure 同 bucket no-op","部分 schedule 插入后异常可下轮补齐","未执行","clock/DB failure","中","保持","wait 重复"
