"故障编号","链路/步骤","故障模式","直接原因","首个可观察影响","后续影响","当前检测","严重度","发生可能性","可检测性","恢复/回滚","证据状态"
"FM-AU-003-001","affected-target plan","CreateMall 变更未选择 Mall target","隔离规则 targets 空且 shared 规则排除","plan deployRequired=false/无 mall artifact","生产继续运行旧 CreateMall 实现","仅人工看 plan；无专门回归测试","P2","变更该文件时确定","高，若查看 plan","显式指定 mall target；正式修复须另分支","FACT/F-0011"
"FM-AU-003-002","API runtime 创建","manifest/secret/DB/schema 不兼容","环境或依赖错误","顶层抛错；无 listen","systemd 重启","runtime factory + Ready","P2（按单服务）","环境相关","高","恢复依赖/旧制品 pointer","FACT"
"FM-AU-003-003","API listen/route","进程存活但服务端口/route 不可用","bind、路由或 server 行为错误","HTTP 请求失败","gateway/用户请求失败","多数 API 自身 HTTP Ready","P2","低/未知","Catalog 低，其余高","systemd/release pointer 回退","FACT/INFERENCE"
"FM-AU-003-004","Catalog ExecStartPost","Ready 假通过","临时 runtime 成功但 Main HTTP 未被请求","unit 可进入 active","release health 只见 active","无进程 HTTP probe","P2","未知","低","人工 HTTP 验收或回退制品","FACT/F-0014"
"FM-AU-003-005","Jobs 依赖预检","依赖长期不可用","ReadyMain await/连接失败","ExecStartPre 非零","worker 不启动、队列积压","systemd NRestarts/journal","P2","已观察过暂态","高","依赖恢复后自动重启；积压处理待审","FACT"
"FM-AU-003-006","Jobs 空轮询","abort listeners 线性累积","正常 timer resolve 不 removeEventListener","signal listener 数增长","长期内存/stop fan-out 风险","当前无内建计数；journal 未见告警","P2","空轮询时必现","低到中","进程重启暂时释放；代码治理另批","FACT/F-0012"
"FM-AU-003-007","Job processor","处理失败或超时","下游/数据/业务错误","catch 后 retry 或 deadletter","重复尝试、延迟或失败任务","attempts/state/deadletter/metrics","P2（任务相关）","任务相关","高","重试/deadletter；processor 补偿待审","FACT/部分 UNKNOWN"
"FM-AU-003-008","Job lease","heartbeat/完成时 lease 丢失","超时、竞争或数据库延迟","JOB_LEASE_LOST","该任务由另一 worker 重取，副作用可能重复","rowCount 条件","P1/P2 取决于 processor","未知","高检测、低业务归因","依赖 processor 幂等；未审","INFERENCE/专项"
"FM-AU-003-009","Migration SQL","SQL 在 COMMIT 前失败","约束、权限、语法或数据状态","executor failed receipt/exit1","服务 pointer 不切；事务内 SQL 回滚","runner/executor/release receipt","P1/P2 取决于 migration","未知","高","修复 forward migration；不自动回滚 DB","FACT"
"FM-AU-003-010","Migration SQL→ledger","SQL 已 COMMIT、ledger INSERT 前失败","进程/连接/ledger 写失败","executor failed；ledger 缺 version","下次重跑已生效 SQL，可能再次失败或重复副作用","ledger before/after 可显示差异，但无自动修复","P2","低/未知","中","人工核对并设计受管前向恢复；禁止伪造 ledger","FACT/F-0013"
"FM-AU-003-011","Migration 后 service cutover","数据库已前进但 pointer/health 失败","新服务启动/验收失败","DATABASE_MIGRATION_POINTER_RECORD_FAILED","旧代码继续配新 schema","release receipt 明示 database applied","P1/P2 取决于兼容性","未知","高","只回 pointer；需 migration 向后兼容/前向处置","FACT"
"FM-AU-003-012","进程停止","SIGTERM 后任务/请求不在 timeout 内结束","下游 Promise 不响应 abort 或 close","systemd TimeoutStop 45s","强杀、租约后续回收","systemd","P2","未知","高","租约到期可重取；副作用幂等待审","INFERENCE"
