"文件编号","路径","所属模块","文件类型","基线 blob SHA","物理行数","审阅范围","审阅者","审阅日期","审计单元","检查点","风险等级","是否二次复核","详细记录","覆盖清单同步","1 存在理由","2 创建或加载者","3 加载条件","4 导出内容","5 导出消费者","6 输入","7 输出","8 状态读写","9 数据库读写","10 网络调用","11 事件","12 环境变量","13 用户权限依赖","14 运行环境依赖","15 初始化副作用","16 模块加载副作用","17 注册职责","18 测试生产差异","19 资源释放","20 失败恢复","21 对应测试","22 测试可信度","23 对应文档","24 文档准确性","25 兼容职责","26 等价重复实现","27 可否独立删除","28 删除首个失败点","29 最终结论与置信度"
"F-AU-006-001","01_core_hexin/packages/config/LAW.md","共享配置/包入口","文档","551b2cb04fd3f0ee83dbb01126fa54570eee0603","5","关键入口/调用/配置区间结构性审阅","Codex主审","2026-09-14","AU-006","CP-06","未发现独立问题","否（若后续升级则重排）","E-AU-006-002/010","是","提供共享配置定义/解析/导出","由显式import、entry、build、release或systemd加载","对应服务/构建/发布profile满足时","见源码导出","package subpath、服务、Console、生成器或测试","文件、环境或上游配置","冻结投影、启动参数、配置文件或调用","无持久状态或仅入口","本AU不深审业务数据写；节点/生成文件只读","见communications.csv；无网络者不适用","无业务事件；Jobs配置仅决定消费者启动","只记录键名，不记录值","配置层不替代业务授权","Node/浏览器/微信/systemd/文件按路径","无未记录初始化写","无或仅入口声明","否或由消费者注册","支持文件只追配置边界，不评价其业务实现","owner进程/浏览器页面/生成器退出时释放；纯配置不持资源","校验失败阻止启动；运行恢复由unit/release回切","见tests.csv与对应消费者测试","按已执行/环境阻塞/静态反事实分级","AU-001至AU-005架构记录与本AU summary","文档只作线索，代码/运行入口优先","专用与聚合profile差异已记录","未证明存在可安全替代","否；未满足G3十三项条件","列明消费者、启动或契约首先失败","[STRUCTURAL] 仅核对共享配置关系；人工文件；未发现独立问题"
"F-AU-006-002","01_core_hexin/packages/config/package.json","共享配置/包入口","依赖/入口清单","b93c031c1580c4db45587c67759ab33ffc7f5a68","28","关键入口/调用/配置区间结构性审阅","Codex主审","2026-09-14","AU-006","CP-06","P2/F-0031","否（若后续升级则重排）","E-AU-006-004/011；T-AU-006-001/005；F-0031","是","提供共享配置定义/解析/导出","由显式import、entry、build、release或systemd加载","对应服务/构建/发布profile满足时","见源码导出","package subpath、服务、Console、生成器或测试","文件、环境或上游配置","冻结投影、启动参数、配置文件或调用","无持久状态或仅入口","本AU不深审业务数据写；节点/生成文件只读","见communications.csv；无网络者不适用","无业务事件；Jobs配置仅决定消费者启动","只记录键名，不记录值","配置层不替代业务授权","Node/浏览器/微信/systemd/文件按路径","无未记录初始化写","无或仅入口声明","是；见runtime/configuration记录","支持文件只追配置边界，不评价其业务实现","owner进程/浏览器页面/生成器退出时释放；纯配置不持资源","校验失败阻止启动；运行恢复由unit/release回切","见tests.csv与对应消费者测试","按已执行/环境阻塞/静态反事实分级","AU-001至AU-005架构记录与本AU summary","文档只作线索，代码/运行入口优先","专用与聚合profile差异已记录","未证明存在可安全替代","否；未满足G3十三项条件","列明消费者、启动或契约首先失败","[STRUCTURAL] 仅核对共享配置关系；人工文件；P2/F-0031"
"F-AU-006-003","01_core_hexin/packages/config/src/AdminSegmentScope.test.ts","共享配置/Scope契约","TypeScript测试","9d9dacea94e2dd57adfcd6db5b911814be042b0c","32","全文件逐行深入审阅","Codex主审","2026-09-14","AU-006","CP-06","未发现独立问题","否（若后续升级则重排）","E-AU-006-002/010","是","保存配置反事实与契约","由包test脚本或显式Vitest加载","测试命令选择时","见源码导出","package subpath、服务、Console、生成器或测试","文件、环境或上游配置","断言结果","无持久状态或仅入口","本AU不深审业务数据写；节点/生成文件只读","见communications.csv；无网络者不适用","无业务事件；Jobs配置仅决定消费者启动","只记录键名，不记录值","配置层不替代业务授权","Node/浏览器/微信/systemd/文件按路径","无未记录初始化写","无或仅入口声明","否或由消费者注册","正式脚本覆盖见T-AU-006-005","owner进程/浏览器页面/生成器退出时释放；纯配置不持资源","校验失败阻止启动；运行恢复由unit/release回切","本文件本身；执行状态见tests.csv","按已执行/环境阻塞/静态反事实分级","AU-001至AU-005架构记录与本AU summary","文档只作线索，代码/运行入口优先","专用与聚合profile差异已记录","未证明存在可安全替代","否；未满足G3十三项条件","丢失唯一反事实或覆盖","[FACT] 全文件深审完成；未发现独立问题"
"F-AU-006-004","01_core_hexin/packages/config/src/AdminSegmentScope.ts","共享配置/Scope契约","TypeScript源码","d530968126ade266135fa3109f01b9e5cdde5f1d","96","全文件逐行深入审阅","Codex主审","2026-09-14","AU-006","CP-06","未发现独立问题","否（若后续升级则重排）","E-AU-006-002/010","是","提供共享配置定义/解析/导出","由显式import、entry、build、release或systemd加载","对应服务/构建/发布profile满足时","见源码导出","package subpath、服务、Console、生成器或测试","文件、环境或上游配置","冻结投影、启动参数、配置文件或调用","无持久状态或仅入口","本AU不深审业务数据写；节点/生成文件只读","见communications.csv；无网络者不适用","无业务事件；Jobs配置仅决定消费者启动","只记录键名，不记录值","配置层不替代业务授权","Node/浏览器/微信/systemd/文件按路径","无未记录初始化写","无或仅入口声明","否或由消费者注册","支持文件只追配置边界，不评价其业务实现","owner进程/浏览器页面/生成器退出时释放；纯配置不持资源","校验失败阻止启动；运行恢复由unit/release回切","见tests.csv与对应消费者测试","按已执行/环境阻塞/静态反事实分级","AU-001至AU-005架构记录与本AU summary","文档只作线索，代码/运行入口优先","专用与聚合profile差异已记录","未证明存在可安全替代","否；未满足G3十三项条件","列明消费者、启动或契约首先失败","[FACT] 全文件深审完成；未发现独立问题"
"F-AU-006-005","01_core_hexin/packages/config/src/ApiEnvironment.ts","共享配置/环境契约","TypeScript源码","57af5c8871abddfbf5ea641d1d6955880273b7c5","82","全文件逐行深入审阅","Codex主审","2026-09-14","AU-006","CP-06","P3/F-0034","否（若后续升级则重排）","E-AU-006-008；F-0034","是","提供共享配置定义/解析/导出","由显式import、entry、build、release或systemd加载","对应服务/构建/发布profile满足时","见源码导出","package subpath、服务、Console、生成器或测试","EnvironmentSource/外部JSON","冻结投影、启动参数、配置文件或调用","环境投影","本AU不深审业务数据写；节点/生成文件只读","见communications.csv；无网络者不适用","无业务事件；Jobs配置仅决定消费者启动","只记录键名，不记录值","配置层不替代业务授权","Node/浏览器/微信/systemd/文件按路径","无未记录初始化写","无或仅入口声明","否或由消费者注册","支持文件只追配置边界，不评价其业务实现","owner进程/浏览器页面/生成器退出时释放；纯配置不持资源","校验失败阻止启动；运行恢复由unit/release回切","见tests.csv与对应消费者测试","按已执行/环境阻塞/静态反事实分级","AU-001至AU-005架构记录与本AU summary","文档只作线索，代码/运行入口优先","专用与聚合profile差异已记录","未证明存在可安全替代","否；未满足G3十三项条件","列明消费者、启动或契约首先失败","[FACT] 全文件深审完成；P3/F-0034"
"F-AU-006-006","01_core_hexin/packages/config/src/CatalogOperatorApiEnvironment.ts","共享配置/环境契约","TypeScript源码","23f3fee79f74f8e95e1e663123f69b4722c84e94","92","全文件逐行深入审阅","Codex主审","2026-09-14","AU-006","CP-06","P3/F-0034","否（若后续升级则重排）","E-AU-006-008；F-0034","是","提供共享配置定义/解析/导出","由显式import、entry、build、release或systemd加载","对应服务/构建/发布profile满足时","见源码导出","package subpath、服务、Console、生成器或测试","EnvironmentSource/外部JSON","冻结投影、启动参数、配置文件或调用","环境投影","本AU不深审业务数据写；节点/生成文件只读","见communications.csv；无网络者不适用","无业务事件；Jobs配置仅决定消费者启动","只记录键名，不记录值","配置层不替代业务授权","Node/浏览器/微信/systemd/文件按路径","无未记录初始化写","无或仅入口声明","否或由消费者注册","支持文件只追配置边界，不评价其业务实现","owner进程/浏览器页面/生成器退出时释放；纯配置不持资源","校验失败阻止启动；运行恢复由unit/release回切","见tests.csv与对应消费者测试","按已执行/环境阻塞/静态反事实分级","AU-001至AU-005架构记录与本AU summary","文档只作线索，代码/运行入口优先","专用与聚合profile差异已记录","未证明存在可安全替代","否；未满足G3十三项条件","列明消费者、启动或契约首先失败","[FACT] 全文件深审完成；P3/F-0034"
"F-AU-006-007","01_core_hexin/packages/config/src/ClientEnvironment.ts","共享配置/环境契约","TypeScript源码","6a7576ddd0b64d36151a0bd2855c2b396218a712","26","全文件逐行深入审阅","Codex主审","2026-09-14","AU-006","CP-06","G1候选","否（若后续升级则重排）","E-AU-006-009；dead-code候选总账","是","提供共享配置定义/解析/导出","由显式import、entry、build、release或systemd加载","对应服务/构建/发布profile满足时","见源码导出","package subpath、服务、Console、生成器或测试","EnvironmentSource/外部JSON","冻结投影、启动参数、配置文件或调用","环境投影","本AU不深审业务数据写；节点/生成文件只读","见communications.csv；无网络者不适用","无业务事件；Jobs配置仅决定消费者启动","只记录键名，不记录值","配置层不替代业务授权","Node/浏览器/微信/systemd/文件按路径","无未记录初始化写","无或仅入口声明","否或由消费者注册","支持文件只追配置边界，不评价其业务实现","owner进程/浏览器页面/生成器退出时释放；纯配置不持资源","校验失败阻止启动；运行恢复由unit/release回切","见tests.csv与对应消费者测试","按已执行/环境阻塞/静态反事实分级","AU-001至AU-005架构记录与本AU summary","文档只作线索，代码/运行入口优先","公共export/潜在兼容责任未排除","未证明存在可安全替代","否；未满足G3十三项条件","列明消费者、启动或契约首先失败","[FACT] 全文件深审完成；G1候选"
"F-AU-006-008","01_core_hexin/packages/config/src/Environment.ts","共享配置/环境契约","TypeScript源码","c8554dc1a6b234ee10835eaf3c39ec365940504b","62","全文件逐行深入审阅","Codex主审","2026-09-14","AU-006","CP-06","未发现独立问题","否（若后续升级则重排）","E-AU-006-002/010","是","提供共享配置定义/解析/导出","由显式import、entry、build、release或systemd加载","对应服务/构建/发布profile满足时","见源码导出","package subpath、服务、Console、生成器或测试","EnvironmentSource/外部JSON","冻结投影、启动参数、配置文件或调用","环境投影","本AU不深审业务数据写；节点/生成文件只读","见communications.csv；无网络者不适用","无业务事件；Jobs配置仅决定消费者启动","只记录键名，不记录值","配置层不替代业务授权","Node/浏览器/微信/systemd/文件按路径","无未记录初始化写","无或仅入口声明","否或由消费者注册","支持文件只追配置边界，不评价其业务实现","owner进程/浏览器页面/生成器退出时释放；纯配置不持资源","校验失败阻止启动；运行恢复由unit/release回切","见tests.csv与对应消费者测试","按已执行/环境阻塞/静态反事实分级","AU-001至AU-005架构记录与本AU summary","文档只作线索，代码/运行入口优先","专用与聚合profile差异已记录","未证明存在可安全替代","否；未满足G3十三项条件","列明消费者、启动或契约首先失败","[FACT] 全文件深审完成；未发现独立问题"
"F-AU-006-009","01_core_hexin/packages/config/src/IdentityNodeManifest.ts","共享配置/Identity投影","TypeScript源码","54ff69631f70a2f477cd9fa5e681625296eac666","118","全文件逐行深入审阅","Codex主审","2026-09-14","AU-006","CP-06","未发现独立问题","否（若后续升级则重排）","E-AU-006-002/010","是","提供共享配置定义/解析/导出","由显式import、entry、build、release或systemd加载","对应服务/构建/发布profile满足时","见源码导出","package subpath、服务、Console、生成器或测试","Manifest/Registry/runtime JSON","冻结投影、启动参数、配置文件或调用","节点/注册配置","本AU不深审业务数据写；节点/生成文件只读","见communications.csv；无网络者不适用","无业务事件；Jobs配置仅决定消费者启动","只记录键名，不记录值","配置层不替代业务授权","Node/浏览器/微信/systemd/文件按路径","模块加载创建共享单例","有模块级投影/校验","否或由消费者注册","支持文件只追配置边界，不评价其业务实现","owner进程/浏览器页面/生成器退出时释放；纯配置不持资源","校验失败阻止启动；运行恢复由unit/release回切","见tests.csv与对应消费者测试","按已执行/环境阻塞/静态反事实分级","AU-001至AU-005架构记录与本AU summary","文档只作线索，代码/运行入口优先","专用与聚合profile差异已记录","未证明存在可安全替代","否；未满足G3十三项条件","列明消费者、启动或契约首先失败","[FACT] 全文件深审完成；未发现独立问题"
"F-AU-006-010","01_core_hexin/packages/config/src/IdentityRealmCatalog.ts","共享配置/Identity投影","TypeScript源码","6a9ca2edc887fdb134e4d661fc7e5ac7a035e37e","25","全文件逐行深入审阅","Codex主审","2026-09-14","AU-006","CP-06","未发现独立问题","否（若后续升级则重排）","E-AU-006-002/010","是","提供共享配置定义/解析/导出","由显式import、entry、build、release或systemd加载","对应服务/构建/发布profile满足时","见源码导出","package subpath、服务、Console、生成器或测试","文件、环境或上游配置","冻结投影、启动参数、配置文件或调用","无持久状态或仅入口","本AU不深审业务数据写；节点/生成文件只读","见communications.csv；无网络者不适用","无业务事件；Jobs配置仅决定消费者启动","只记录键名，不记录值","配置层不替代业务授权","Node/浏览器/微信/systemd/文件按路径","无未记录初始化写","无或仅入口声明","否或由消费者注册","支持文件只追配置边界，不评价其业务实现","owner进程/浏览器页面/生成器退出时释放；纯配置不持资源","校验失败阻止启动；运行恢复由unit/release回切","见tests.csv与对应消费者测试","按已执行/环境阻塞/静态反事实分级","AU-001至AU-005架构记录与本AU summary","文档只作线索，代码/运行入口优先","专用与聚合profile差异已记录","未证明存在可安全替代","否；未满足G3十三项条件","列明消费者、启动或契约首先失败","[FACT] 全文件深审完成；未发现独立问题"
