"配置编号","配置面","来源/位置","键/默认","消费者","校验","运行环境","证据","未知/冲突"
"CFG-AU-003-001","全量 Commerce 构建","04_tools/scripts/build-commerce.mjs:4-30","entry 文件名以 Main.ts 结尾；另有 9 个显式 seed/local-infra entry","开发/全量 build","目录枚举与显式追加后交给 esbuild","CI/本地","E-AU-003-003","会构建图外入口，不等于正式发布"
"CFG-AU-003-002","正式服务构建","service-targets.mjs:1-14","10 target/19 entry","build-commerce-service.mjs","拒绝未知 target/entry","release","E-AU-003-003/004","JobsEntrypoint 不在白名单"
"CFG-AU-003-003","发布顺序","zdt-next.release.json:103-345","每个 service after database-migration","release planner","target schema/依赖图校验","GitHub/remote agent","E-AU-003-004","systemd After 的 legacy migration unit 不是同一执行者"
"CFG-AU-003-004","API 地址","各 target environment helper + systemd","API_BIND_HOST=127.0.0.1；端口按 target/env","各 API Main/Ready","config parser；Main 仅接受 loopback listen 类型","生产/节点","E-AU-003-005/008","外部 Caddy/gateway 路由留 AU-004"
"CFG-AU-003-005","节点 manifest","config server environment + node manifest files","NODE_MANIFEST_PATH/ID/DIGEST/RUNTIME_INSTANCE/RESOURCE_BINDING/RELEASE_POINTER","target runtime 与 Web/Payment Ready","loadNodeManifest + runtime-specific assert","SFL L0/L1","E-AU-003-006/008","各字段生成所有者留节点专项"
"CFG-AU-003-006","Jobs profile","JobsEnvironment.ts:34,124,175","full | identity-notification-only | payment-only","JobsEntrypoint 与专用 runtime","enum + profile-required dependencies","生产/兼容","E-AU-003-009","JobsEntrypoint 没有 payment runner，当前专用 Payment Main 绕过该 dispatcher"
"CFG-AU-003-007","Jobs worker/scope","JobsEnvironment.ts + target runtime/systemd","JOB_WORKER_ID；node data_scope_ref","三个专用 runtime/JobRunner","requiredValue、manifest scope/role 检查","生产","E-AU-003-009/010","跨节点唯一性留 Jobs 专项"
"CFG-AU-003-008","Jobs 时序","app/jobs.ts 与专用 runtime","poll 1s；lease/deadline/concurrency 每任务","JobRunner","构造配置与 JobRegistry 最小值","生产/Full Jobs","E-AU-003-009/010","监听器清理不变量被 F-0012 破坏"
"CFG-AU-003-009","迁移输入","migrationEnvironment + remote policy","MIGRATION_DIRECTORY、snapshot refs、KMS/secret refs、source SHA","DatabaseMigrationExecutor/MigrationRunner","格式、source、role、路径、history hash","release","E-AU-003-012/013","凭据值未读取"
"CFG-AU-003-010","迁移远端执行","zdt-next.remote-policy.json:57","database-owner；127.0.0.1:55432；300000ms；forward-only","remote agent","allowed roots、runtime user/group、runner path","生产 ECS","E-AU-003-012/014","外部数据库备份不在本配置"
"CFG-AU-003-011","systemd 生命周期","11 个 unit 文件","Restart=on-failure；API Ready=Post；Jobs Ready=Pre；TimeoutStart 30s","systemd","ConditionPathExists/Requires/After","ECS","E-AU-003-008/015","支持 API 使用物理 unit；迁移 unit 是 legacy"
"CFG-AU-003-012","staging Full Jobs","staging artifacts/unit","JobsMain.js；ExecCondition=/usr/bin/false","staging only","硬阻断","预发布","E-AU-003-022","artifacts 对 FullJobsMain bundling 的描述与构建发现冲突"
"CFG-AU-003-013","CreateMall impact","release rules:473-477,552-557","mall-provisioning-isolation targets=[]；从 commerce-shared 排除","affected-target planner","glob 匹配","GitHub deploy 默认 affected 模式","E-AU-003-017/018","与实际 mall-provisioning runtime import 图冲突"
