"任务/循环","所有者","队列/来源","Full Jobs 注册","当前专用进程","触发/轮询","失败与幂等声明","本 AU 状态","证据"
"catalogsync","channel","channel","是","无","runtime.job；默认 1s","jobid；runtime.deadletter","仅入口/消费者登记","E-AU-003-009/010"
"pricesync","pricing","channel","是","无","runtime.job；默认 1s","jobid；runtime.deadletter","仅入口/消费者登记","E-AU-003-009/010"
"inventorysync","inventory","channel","是","无","runtime.job；默认 1s","jobid；runtime.deadletter","仅入口/消费者登记","E-AU-003-009/010"
"experiencepublish","experience","experience","是","无","runtime.job；默认 1s","jobid；runtime.deadletter","仅入口/消费者登记","E-AU-003-009/010"
"statementsync","channel","channel","是","无","runtime.job；默认 1s","jobid；runtime.deadletter","仅入口/消费者登记","E-AU-003-009/010"
"channelwebhook","channel","channel","是","无","runtime.job；默认 1s","jobid；runtime.deadletter","仅入口/消费者登记","E-AU-003-009/010"
"orderexpiry","order","transaction","是","无","runtime.job；RuntimeScheduler 每 60s bucket 生产","jobid；runtime.deadletter","消费者登记；生产 SQL 已追","E-AU-003-009/010"
"paymentquery","payment","payment","是","Payment Jobs","runtime.job；专用 1s","jobid；payment deadletter","专用生产进程已证实","E-AU-003-009/010/015"
"paymentrefund","payment","payment","是","Payment Jobs","runtime.job；专用 1s","jobid；payment deadletter","专用生产进程已证实","E-AU-003-009/010/015"
"fulfillment","fulfillment","fulfillment","是","无","runtime.job；默认 1s","jobid；runtime.deadletter","仅入口/消费者登记","E-AU-003-009/010"
"tracking","fulfillment","fulfillment","是","无","runtime.job；默认 1s","jobid；runtime.deadletter","仅入口/消费者登记","E-AU-003-009/010"
"benefitgrant","benefit","benefit","是","无","runtime.job；默认 1s","jobid；benefit deadletter","仅入口/消费者登记","E-AU-003-009/010"
"benefitexpiry","benefit","benefit","是","无","runtime.job；RuntimeScheduler 每 300s bucket 生产","jobid；benefit deadletter","消费者登记；生产 SQL 已追","E-AU-003-009/010"
"voucherissue","voucher","benefit","是","无","runtime.job；默认 1s","jobid；voucher deadletter","仅入口/消费者登记","E-AU-003-009/010"
"voucherstatus","voucher","benefit","是","无","runtime.job；默认 1s","jobid；voucher deadletter","仅入口/消费者登记","E-AU-003-009/010"
"voucherexpiry","voucher","benefit","是","无","runtime.job；RuntimeScheduler 每 300s bucket 生产","jobid；voucher deadletter","消费者登记；生产 SQL 已追","E-AU-003-009/010"
"reconciliation","finance","finance","是","无","runtime.job；默认 1s","jobid；finance deadletter","仅入口/消费者登记","E-AU-003-009/010"
"referral","referral","finance","是","无","runtime.job；默认 1s","jobid；runtime.deadletter","仅入口/消费者登记","E-AU-003-009/010"
"settlement","finance","finance","是","无","runtime.job；默认 1s","jobid；finance deadletter","仅入口/消费者登记","E-AU-003-009/010"
"invoice","finance","finance","是","无","runtime.job；默认 1s","jobid；finance deadletter","仅入口/消费者登记","E-AU-003-009/010"
"notification","notification","notification","是","无","runtime.job；默认 1s","jobid；runtime.deadletter","仅入口/消费者登记","E-AU-003-009/010"
"projection","reporting","projection","是","无","runtime.job；默认 1s","jobid；runtime.deadletter","仅入口/消费者登记","E-AU-003-009/010"
"export","reporting","export","是","Catalog Jobs","runtime.job；专用 1s","jobid；runtime.deadletter","专用生产进程已证实","E-AU-003-009/010/015"
"riskscan","risk","risk","是","无","runtime.job；默认 1s","jobid；runtime.deadletter","仅入口/消费者登记","E-AU-003-009/010"
"cleanup","runtime","maintenance","是","无","runtime.job；RuntimeScheduler 每 3600s bucket 生产","jobid；runtime.deadletter","消费者登记；生产 SQL 已追","E-AU-003-009/010"
"memberimport","member","import","是","无","runtime.job；默认 1s","jobid；runtime.deadletter","仅入口/消费者登记","E-AU-003-009/010"
"catalogimport","catalog","import","是","Catalog Jobs","runtime.job；专用 1s","jobid；runtime.deadletter","专用生产进程已证实","E-AU-003-009/010/015"
"inventoryimport","inventory","import","是","无","runtime.job；默认 1s","jobid；runtime.deadletter","仅入口/消费者登记","E-AU-003-009/010"
"voucherimport","voucher","import","是","无","runtime.job；默认 1s","jobid；runtime.deadletter","仅入口/消费者登记","E-AU-003-009/010"
"supportsla","support","support","是","无","runtime.job；默认 1s","jobid；runtime.deadletter","仅入口/消费者登记","E-AU-003-009/010"
"supportscan","support","support","是","无","runtime.job；默认 1s","jobid；runtime.deadletter","仅入口/消费者登记","E-AU-003-009/010"
"auditarchive","audit","maintenance","是","无","runtime.job；默认 1s","jobid；runtime.deadletter","仅入口/消费者登记","E-AU-003-009/010"
"extensionhealth","extension","maintenance","是","无","runtime.job；默认 1s","jobid；runtime.deadletter","仅入口/消费者登记","E-AU-003-009/010"
"identitynotification","identity","runtime.job / 专用 claim function","否","Identity Notification Jobs","1s；batch20；lease30；concurrency16；attempts8","专用 claim；runtime deadletter 路径","专用生产进程已证实","E-AU-003-009/010/015"
"catalogpublication","catalog","runtime.job","否","Catalog Jobs","1s；scope-bound；lease180；concurrency4","JobRunner retry/deadletter","专用生产进程已证实","E-AU-003-009/010/015"
"catalogmediareplication","catalog","runtime.job","否","Catalog Jobs 可选","1s；仅 mediaProcessor 存在时注册","JobRunner retry/deadletter","条件入口已确认；生产启用状态未验证","E-AU-003-009"
"OutboxRelay","runtime","runtime.outbox","Full Jobs 是","无当前专用 target","空批次 500ms","OutboxStore claim/published/fail；publisher 语义待专项","入口确认；wait listener 同类缺口","E-AU-003-009/011"
"RuntimeScheduler","runtime","advisory lease + runtime.job","Full Jobs 是","无当前专用 target","30s lease loop；四类时间 bucket","job id 按 kind+bucket；ON CONFLICT DO NOTHING","入口确认；wait listener 同类缺口","E-AU-003-009/011"
