"配置编号","配置面","来源/位置","键/默认","消费者","校验","运行环境","证据","未知/冲突"
"CFG-0015","Console 构建","console/vite.config.ts:15-45,95-120","VITE_API_BASE_URL；VITE_AUTH_BASE_URL；VITE_CLIENT_VERSION；SHOP_BUILD_*；COMMERCE_API_ORIGIN；DISABLE_HMR","Vite build/dev 与制品证据插件","build 时 URL/version；build metadata 归一化","浏览器构建/本地 dev","E-AU-002-003;E-AU-002-028","线上构建输入值 UNKNOWN"
"CFG-0016","Console 运行","RuntimeConfig.ts；/console-runtime.json；/console-build.json","node manifest、API/Auth base、client/build/digest","main、AppConfig、prefetch/client","schema/host/digest/version 多层校验","浏览器","E-AU-002-003;E-AU-002-005","线上 runtime 文件与基线匹配 UNKNOWN"
"CFG-0017","Console Router","ConsoleRouter.tsx:23,43","VITE_ROUTER_BASENAME；默认 undefined","createBrowserRouter","trim 后可选；路径语义由 Router","浏览器 preview/production","E-AU-002-004","配置错误的深链行为未运行"
"CFG-0018","Auth 构建","auth-web/buildEnvironment.ts；vite.config.ts","VITE_IDENTITY_NODE_REGISTRY；VITE_IDENTITY_NODE_REGISTRY_MODE；VITE_CLIENT_VERSION；AUTH_COMPAT_API_ORIGIN；DISABLE_HMR","Vite define/dev proxy","registry parse、origin、semver、production/staging mode","浏览器构建/本地 dev","E-AU-002-008;E-AU-002-028","owner lock 与当前 App 漂移 F-0005"
"CFG-0019","Auth 运行","/identity-runtime.json","schema_version/source_sha/build_id/build_count/digest/identity_node_registry","identityNodeEnvironment/main/App","HTTP/content-type + runtime shape + accounts host","浏览器","E-AU-002-008","404 可回退 build registry；线上存在性 UNKNOWN"
"CFG-0020","Auth 页面选择","location.hostname/search","application,target,client,admin_origin,surface,login_intent","consumerIdentityEntry/currentLoginIntent","host registry exact match；login_intent 64 字符","浏览器 URL","E-AU-002-009","URL 兼容消费者待身份 AU"
"CFG-0021","Storefront 构建/runtime","storefront vite/config/layout/canonical client","NEXT_PUBLIC_IDENTITY_NODE_REGISTRY；SFL_STOREFRONT_IDENTITY_NODE_REGISTRY；NEXT_PUBLIC_API_BASE_URL/API_ORIGIN/AUTH_ORIGIN/CLIENT_VERSION；SFL_STOREFRONT_*；APP_ENV；AUTH_MODE","vinext/Vite、Worker、layout、SDK client","build 强制 production registry；host/runtime allowlist；API origin policy","Node 或 Cloudflare Worker + 浏览器","E-AU-002-013;E-AU-002-014;E-AU-002-015;E-AU-002-028","Cloudflare 与 ECS 实际值 UNKNOWN"
"CFG-0022","Storefront 工具缓存","storefront/vite.config.ts:15-17","WRANGLER_WRITE_LOGS=false；WRANGLER_LOG_PATH=.wrangler/logs；MINIFLARE_REGISTRY_PATH=.wrangler/registry","Cloudflare Vite plugin","默认赋值，无业务 schema","本地 build/dev","E-AU-002-013","本 AU 未运行 build，未产生目录"
"CFG-0023","Miniapp 运行","app.js:1-8；generated Environment.js","wx.getExtConfigSync()","environment(extConfig) → App.globalData","生成 schema 负责；具体字段留生成源专项","微信运行时","E-AU-002-018","app.json/pages/project config 缺失；外部注入来源 UNKNOWN"
"CFG-0024","Owner-approved UI","owner-approved-ui.json:69-99","accounts entrypoint/approvedComponent/lockedFiles/acceptance","check:approved-ui、人工发布判断","文件存在和 SHA；不验证 approvedComponent 可达","质量门禁","E-AU-002-010","三文件漂移且 LoginPage 未挂载；F-0005"
