"通信编号","上游","下游","方式","契约/载荷","同步/异步","超时","重试/幂等","失败传播","证据","状态"
"COM-AU-004-001","人工操作者","GitHub workflow","workflow_dispatch","ref/node/target/stage_candidate","异步job","平台控制","rerun；source SHA标识","输入/checkout失败终止","E-AU-004-004","FACT"
"COM-AU-004-002","workflow","release planner","本地Node CLI","from/to/node/target/direct","同步","命令预算","纯规划可重放","零target或计划错误终止","E-AU-004-003","FACT"
"COM-AU-004-003","release engine","ECS agent","SSH命令","artifact path/project/node/target/approval","同步","deploy timeout","target锁；可重试","SSH/agent失败终止target","E-AU-004-006","FACT"
"COM-AU-004-004","agent","systemd","systemctl restart/is-active","unit instance","同步","命令/ready预算","Restart=on-failure","restart错误使Direct恢复pointer；业务health未测","E-AU-004-006; E-AU-004-011","FACT/CONFLICT"
"COM-AU-004-005","浏览器","fufu Caddy","HTTPS/SNI","host/path","同步","客户端侧","静态请求可重试","错误root返回404","E-AU-004-010","CONFLICT/F-0001"
"COM-AU-004-006","Cloudflare edge","cloudflared→L1 Caddy","tunnel HTTPS 4430","host/path","同步","账户/agent预算未知","cloudflared restart","tunnel/gateway任一失败","E-AU-004-009","PARTIAL"
"COM-AU-004-007","L1 Caddy","hostedBy L0 services","loopback HTTP","固定端口/HTTP契约","同步","Caddy默认/服务配置","客户端/业务重试待专项","共享物理服务失败影响多域","E-AU-004-002; E-AU-004-009","FACT"
"COM-AU-004-008","OSS workflow","OSS","HTTPS upload/sign/download","immutable tar+manifest+SHA","同步步骤","signed URL 600s","source-key可重放","下载/hash失败不切pointer","E-AU-004-008","FACT"
"COM-AU-004-009","OSS activation","Console公网","HTTPS release-version","source/release version","同步","curl max-time","失败恢复old pointer","公网不一致触发rollback","E-AU-004-008","FACT"
"COM-AU-004-010","AutoNode provider","Cloudflare API","HTTPS API","tunnel/DNS resources+receipts","同步步骤","provider budget","ledger+冲突拒绝","失败逆序compensation","E-AU-004-012","FACT；真实账户未跑"
"COM-AU-004-011","release policy timer/path","oneshot service","systemd trigger","无业务载荷","异步","systemd","Persistent timer","脚本失败保留release并记录失败","E-AU-004-017","FACT"
"COM-AU-004-012","GitHub runner","SSH主机","SSH首次信任","ssh-keyscan结果","同步","默认","每run重新获取","被替换key仍可成为本run信任锚","E-AU-004-015","CONFLICT/F-0019"
