"编号","类型","位置","观察","证明","不证明"
"E-AU-022-001","范围","01_core_hexin/extensions/vendors/core","11文件365行全部深入审阅","固定范围与覆盖","线上制品"
"E-AU-022-002","配置入口","CreateConnection.ts:14-70; InstallExtension.ts:24-70","critical operator输入baseUrl/endpoints/secretRef；服务读取secret keys并持久化installation","真实可配置来源","谁拥有权限"
"E-AU-022-003","运行入口","ProviderLoader.ts:41-51; concrete vendor Auth/Client","运行时读取secret和base URL，构造具体Authenticator+VendorClient","配置到传输的调用链","线上值"
"E-AU-022-004","可靠性","Client.ts:31-112; RatePolicy; CircuitPolicy","双deadline、rate、bulkhead、circuit和条件重试；无幂等键写只一次","现行同步调用控制","provider业务幂等"
"E-AU-022-005","目的地校验","Connection.ts:12-21; InstallExtension.ts:58-70","只要求https和slash endpoint；无host/IP/userinfo/Manifest allowlist","F-0096入口缺口","网络层另有限制"
"E-AU-022-006","敏感出站","Client.ts:68-93; Signer.ts:5-41","new URL指向可配置origin；请求附加业务正文、request/trace/idempotency及HMAC/RSA认证头","错误目的地接收认证请求","能导出原始私钥/secret"
"E-AU-022-007","响应资源","Client.ts:94-129; Cakeuncle Client readLimited","通用Client response.text无长度/深度限制；专用Cakeuncle另有限2MiB","F-0097与影响消费者","线上曾返回大响应"
"E-AU-022-008","测试审阅","Client.test.ts:17-53","仅4例基础retry/circuit；无目的地、大小、timeout、signer反事实","F-0098","完整环境测试结果"
"E-AU-022-009","引用检索","Auth.ts HeaderAuthenticator；全仓imports","HeaderAuthenticator只在两包测试实例化；生产vendor均不用","DC-0027/G1证据","仓外consumer不存在"
"E-AU-022-010","验证阻塞","package scripts","test/typecheck均exit127，工具缺失","本次运行限制","套件真实结果"
