"编号","规则代码","路径","键/细节","解释","证据边界"
"ENV-AU-006-001","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/apps/auth-web/src/screens/LoginPage.tsx","DEV","Vite内建键仍被规则视为未声明","规则噪声示例；不等于产品错误"
"ENV-AU-006-002","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/auth-web/src/screens/LoginPage.tsx","DEV","直接读取发生在config owner之外","规则噪声示例；不等于产品错误"
"ENV-AU-006-003","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/apps/auth-web/src/screens/LoginPage.tsx","BASE_URL","Vite内建键仍被规则视为未声明","规则噪声示例；不等于产品错误"
"ENV-AU-006-004","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/auth-web/src/screens/LoginPage.tsx","BASE_URL","直接读取发生在config owner之外","规则噪声示例；不等于产品错误"
"ENV-AU-006-005","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/apps/auth-web/src/services/auth.ts","DEV","Vite内建键仍被规则视为未声明","规则噪声示例；不等于产品错误"
"ENV-AU-006-006","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/auth-web/src/services/auth.ts","DEV","直接读取发生在config owner之外","规则噪声示例；不等于产品错误"
"ENV-AU-006-007","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/auth-web/src/services/canonicalIdentity.ts","VITE_CLIENT_VERSION","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-008","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/apps/auth-web/src/services/canonicalIdentity.ts","DEV","Vite内建键仍被规则视为未声明","规则噪声示例；不等于产品错误"
"ENV-AU-006-009","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/auth-web/src/services/canonicalIdentity.ts","DEV","直接读取发生在config owner之外","规则噪声示例；不等于产品错误"
"ENV-AU-006-010","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/auth-web/src/services/canonicalRegistration.ts","VITE_CLIENT_VERSION","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-011","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/apps/auth-web/src/services/canonicalRegistration.ts","DEV","Vite内建键仍被规则视为未声明","规则噪声示例；不等于产品错误"
"ENV-AU-006-012","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/auth-web/src/services/canonicalRegistration.ts","DEV","直接读取发生在config owner之外","规则噪声示例；不等于产品错误"
"ENV-AU-006-013","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/apps/auth-web/src/services/identityNodeEnvironment.ts","VITE_IDENTITY_NODE_REGISTRY","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-014","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/auth-web/src/services/identityNodeEnvironment.ts","VITE_IDENTITY_NODE_REGISTRY","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-015","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/apps/console/src/route/ConsoleRouter.tsx","VITE_ROUTER_BASENAME","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-016","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/console/src/route/ConsoleRouter.tsx","VITE_ROUTER_BASENAME","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-017","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/apps/console/src/route/RouteError.tsx","BASE_URL","Vite内建键仍被规则视为未声明","规则噪声示例；不等于产品错误"
"ENV-AU-006-018","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/console/src/route/RouteError.tsx","BASE_URL","直接读取发生在config owner之外","规则噪声示例；不等于产品错误"
"ENV-AU-006-019","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/apps/console/src/shared/config/BuildInfo.ts","VITE_DATABASE_ID","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-020","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/console/src/shared/config/BuildInfo.ts","VITE_DATABASE_ID","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-021","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/console/src/shared/config/RuntimeConfig.ts","VITE_CLIENT_VERSION","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-022","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/apps/storefront-web/app/layout.tsx","SFL_STOREFRONT_IDENTITY_NODE_REGISTRY","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-023","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/storefront-web/app/layout.tsx","SFL_STOREFRONT_IDENTITY_NODE_REGISTRY","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-024","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/apps/storefront-web/app/layout.tsx","NEXT_PUBLIC_IDENTITY_NODE_REGISTRY","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-025","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/storefront-web/app/layout.tsx","NEXT_PUBLIC_IDENTITY_NODE_REGISTRY","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-026","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/apps/storefront-web/src/config/storefrontAuth.ts","NEXT_PUBLIC_AUTH_ORIGIN","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-027","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/storefront-web/src/config/storefrontAuth.ts","NEXT_PUBLIC_AUTH_ORIGIN","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-028","ENVIRONMENT_KEY_UNDECLARED","01_core_hexin/apps/storefront-web/src/config/storefrontAuth.ts","NODE_ENV","大写字符串声明集合中不存在该键","静态门禁命中；不等于线上环境值错误"
"ENV-AU-006-029","ENVIRONMENT_READ_OUTSIDE_OWNER","01_core_hexin/apps/storefront-web/src/config/storefrontAuth.ts","NODE_ENV","直接读取发生在config owner之外","静态门禁命中；不等于线上环境值错误"
