编号,定义位置,Event,owner,version,schema,serializer,schemaRegistry,handlers,handler数量,审阅结论
EV-AU-007-001,01_core_hexin/packages/contract/definitions/events.yml:3,runtime.operation.completed,runtime,1,contract://events/runtime.operation.completed/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,"",0,[FACT] 全字段审阅；无handler，是否终止事件留异步专项；关联F-0039
EV-AU-007-002,01_core_hexin/packages/contract/definitions/events.yml:10,identity.session.created,identity,1,contract://events/identity.session.created/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-003,01_core_hexin/packages/contract/definitions/events.yml:17,identity.session.revoked,identity,1,contract://events/identity.session.revoked/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-004,01_core_hexin/packages/contract/definitions/events.yml:24,identity.challenge.started,identity,1,contract://events/identity.challenge.started/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,"",0,[FACT] 全字段审阅；无handler，是否终止事件留异步专项；关联F-0039
EV-AU-007-005,01_core_hexin/packages/contract/definitions/events.yml:31,identity.member.registered,identity,1,contract://events/identity.member.registered/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-006,01_core_hexin/packages/contract/definitions/events.yml:38,identity.member.reset,identity,1,contract://events/identity.member.reset/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,"",0,[FACT] 全字段审阅；无handler，是否终止事件留异步专项；关联F-0039
EV-AU-007-007,01_core_hexin/packages/contract/definitions/events.yml:45,access.version.changed,access,1,contract://events/access.version.changed/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-008,01_core_hexin/packages/contract/definitions/events.yml:52,access.owner.bootstrapped,access,1,contract://events/access.owner.bootstrapped/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,"",0,[FACT] 全字段审阅；无handler，是否终止事件留异步专项；关联F-0039
EV-AU-007-009,01_core_hexin/packages/contract/definitions/events.yml:59,access.owner.transfer.initiated,access,1,contract://events/access.owner.transfer.initiated/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,"",0,[FACT] 全字段审阅；无handler，是否终止事件留异步专项；关联F-0039
EV-AU-007-010,01_core_hexin/packages/contract/definitions/events.yml:66,access.owner.transferred,access,1,contract://events/access.owner.transferred/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,"",0,[FACT] 全字段审阅；无handler，是否终止事件留异步专项；关联F-0039
EV-AU-007-011,01_core_hexin/packages/contract/definitions/events.yml:73,access.owner.transfer.cancelled,access,1,contract://events/access.owner.transfer.cancelled/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,"",0,[FACT] 全字段审阅；无handler，是否终止事件留异步专项；关联F-0039
EV-AU-007-012,01_core_hexin/packages/contract/definitions/events.yml:80,access.administrator.scope.changed,access,1,contract://events/access.administrator.scope.changed/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-013,01_core_hexin/packages/contract/definitions/events.yml:87,access.administrator.member.noted,access,1,contract://events/access.administrator.member.noted/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-014,01_core_hexin/packages/contract/definitions/events.yml:94,catalog.listing.published,catalog,1,contract://events/catalog.listing.published/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-015,01_core_hexin/packages/contract/definitions/events.yml:101,inventory.stock.changed,inventory,1,contract://events/inventory.stock.changed/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-016,01_core_hexin/packages/contract/definitions/events.yml:108,inventory.stock.reserved,inventory,1,contract://events/inventory.stock.reserved/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-017,01_core_hexin/packages/contract/definitions/events.yml:115,experience.published,experience,1,contract://events/experience.published/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,experiencepublish|projection,2,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-018,01_core_hexin/packages/contract/definitions/events.yml:122,checkout.quote.created,checkout,1,contract://events/checkout.quote.created/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,"",0,[FACT] 全字段审阅；无handler，是否终止事件留异步专项；关联F-0039
EV-AU-007-019,01_core_hexin/packages/contract/definitions/events.yml:129,checkout.quote.confirmed,checkout,1,contract://events/checkout.quote.confirmed/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-020,01_core_hexin/packages/contract/definitions/events.yml:136,order.placed,order,1,contract://events/order.placed/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection|referral,2,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-021,01_core_hexin/packages/contract/definitions/events.yml:143,order.paid,order,1,contract://events/order.paid/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,projection|referral,2,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
EV-AU-007-022,01_core_hexin/packages/contract/definitions/events.yml:150,order.received,order,1,contract://events/order.received/v1,01_core_hexin/packages/contract/src/EventSerializer.ts,01_core_hexin/services/commerce/src/app/events.ts,referral,1,[FACT] 全字段审阅；schema URI规范且target存在；关联F-0039
