符号编号,文件编号/路径,1 符号名称,2 声明位置,3 直接消费者,4 间接消费者,5 重新导出,6 动态访问,7 仅测试使用,8 公共契约,9 运行时副作用,10 可见范围,11 兼容导出,12 删除或改名影响
SYM-AU-009-001,Clock.ts,Clock,Clock.ts:1,AccessPipeline类型、SystemClock、TestClock,Commerce/bootstrap tests,@shop/kernel root,未发现,否,是，时间端口,类型擦除,workspace公开,当前,实现与消费者编译失败
SYM-AU-009-002,Aggregate.ts,Aggregate,Aggregate.ts:4,Commerce foundation re-export、Reservation,Inventory领域,@shop/kernel root,未发现,否,是，聚合基类,实例事件数组,workspace公开,当前,Reservation/外部子类编译失败
SYM-AU-009-003,Bulkhead.ts,Bulkhead,Bulkhead.ts:3,Commerce Executor、Kernel test,外部HTTP adapters,@shop/kernel root,未发现,否,是，可靠性原语,调用时维护running/queue,workspace公开,当前,Executor并发限制失效
SYM-AU-009-004,CircuitBreaker.ts,CircuitState,CircuitBreaker.ts:1,Vendor CircuitPolicy返回类型、tests,Vendor health/Executor,@shop/kernel root,未发现,否,是,类型擦除,workspace公开,当前,消费者类型契约失败
SYM-AU-009-005,CircuitBreaker.ts,CircuitBreaker,CircuitBreaker.ts:3,Commerce Executor、Vendor CircuitPolicy、Kernel tests,外部HTTP/provider调用,@shop/kernel root,未发现,否,是，可靠性原语,维护failure/open/probe状态,workspace公开,当前,依赖隔离链首先失败；F-0047
SYM-AU-009-006,Currency.ts,CURRENCIES,Currency.ts:1,Currency、Money,Finance/Payment间接,@shop/kernel root,未发现,否,是，币种目录,导出数组运行时可变；E-AU-009-018/F-0032,workspace公开,当前,币种校验/类型编译失败
SYM-AU-009-007,Currency.ts,CurrencyCode,Currency.ts:2,Currency、Money及调用者类型,Finance/Payment,@shop/kernel root,未发现,否,是,类型擦除,workspace公开,当前,金额类型编译失败
SYM-AU-009-008,Currency.ts,Currency,Currency.ts:4,Money,Finance/Payment,@shop/kernel root,未发现,否,是，币种值对象,构造实例未冻结，公开code可运行时改写；E-AU-009-018,workspace公开,当前,Money默认/比较链失败
SYM-AU-009-009,Cursor.ts,Cursor,Cursor.ts:3,Commerce CursorCodec,API分页,@shop/kernel root,未发现,否,是，cursor值对象,parse返回冻结实例,workspace公开,当前,分页cursor编解码失败
SYM-AU-009-010,deadline/index.ts,Deadline,deadline/index.ts:5,Commerce Executor、SDK ApiClient、Vendor Client、jobs,HTTP/provider/job超时链,root + @shop/kernel/deadline,未发现,否,是，超时契约,构造timer/listener；dispose清理,workspace公开subpath,当前,大量调用超时/取消失败；F-0051
