"编号","路径","行数","类型","入口","状态/结论"
"FILE-AU-020-001","01_core_hexin/extensions/payment/wechat/package.json","21","包配置","npm workspace/Commerce依赖","已深入审阅；私有包、正式测试入口"
"FILE-AU-020-002","01_core_hexin/extensions/payment/wechat/src/Client.test.ts","229","测试源码","vitest","已深入审阅；8个API客户端行为；F-0092/F-0093测试缺口"
"FILE-AU-020-003","01_core_hexin/extensions/payment/wechat/src/Client.ts","165","TypeScript源码","WechatGateway","已深入审阅；预支付/查询/退款；F-0093"
"FILE-AU-020-004","01_core_hexin/extensions/payment/wechat/src/Close.test.ts","48","测试源码","vitest","已深入审阅；签名204与unsigned拒绝"
"FILE-AU-020-005","01_core_hexin/extensions/payment/wechat/src/Close.ts","16","TypeScript源码","WechatGateway.close","已深入审阅；官方关闭路径"
"FILE-AU-020-006","01_core_hexin/extensions/payment/wechat/src/Config.ts","148","TypeScript源码","三个Commerce runtime/WechatGateway","已深入审阅；配置、密钥、scoped回调；F-0091"
"FILE-AU-020-007","01_core_hexin/extensions/payment/wechat/src/Core.test.ts","130","测试源码","vitest","已深入审阅；10个配置/签名/helper测试；F-0091缺口"
"FILE-AU-020-008","01_core_hexin/extensions/payment/wechat/src/Crypto.ts","123","TypeScript源码","Transport/Signature/WechatGateway","已深入审阅；RSA/AES/SHA；F-0091"
"FILE-AU-020-009","01_core_hexin/extensions/payment/wechat/src/Models.ts","214","TypeScript源码","Client/Notification","已深入审阅；provider模型与状态映射"
"FILE-AU-020-010","01_core_hexin/extensions/payment/wechat/src/Notification.test.ts","168","测试源码","vitest","已深入审阅；8个通知验签/解密/轮换测试"
"FILE-AU-020-011","01_core_hexin/extensions/payment/wechat/src/Notification.ts","250","TypeScript源码","WechatGateway.verifyNotification","已深入审阅；64KiB、验签、解密、证据最小化"
"FILE-AU-020-012","01_core_hexin/extensions/payment/wechat/src/NotificationModels.ts","75","类型源码","Notification","已深入审阅；已验证通知契约"
"FILE-AU-020-013","01_core_hexin/extensions/payment/wechat/src/Signature.ts","54","TypeScript源码","Transport/Notification","已深入审阅；KeyID、时间窗、nonce和签名"
"FILE-AU-020-014","01_core_hexin/extensions/payment/wechat/src/Transport.ts","157","TypeScript源码","Client/Close","已深入审阅；签名HTTP、64KiB、错误映射；F-0092"
"FILE-AU-020-015","01_core_hexin/extensions/payment/wechat/src/index.ts","8","公共入口","Commerce package import","已深入审阅；全部barrel导出核对"
"FILE-AU-020-016","01_core_hexin/extensions/payment/wechat/test/TestKeys.ts","75","测试工具","4个测试文件","已深入审阅；仅运行时生成测试密钥"
"FILE-AU-020-017","01_core_hexin/extensions/payment/wechat/tsconfig.json","8","TypeScript配置","typecheck","已深入审阅；继承server配置"
"FILE-AU-020-018","01_core_hexin/extensions/payment/wechat/vitest.config.ts","5","测试配置","npm test","已深入审阅；node环境/单包测试"

