"file_id","path","lines","type","entry_or_caller","conclusion"
"FILE-AU-023-001","01_core_hexin/extensions/vendors/cakeuncle/Auth.ts","23","TypeScript源码","CakeuncleClient/Webhook","深入；必需secret字段闭合"
"FILE-AU-023-002","01_core_hexin/extensions/vendors/cakeuncle/CircuitPolicy.ts","1","TypeScript转发","公共barrel","深入；DC-0029"
"FILE-AU-023-003","01_core_hexin/extensions/vendors/cakeuncle/Client.ts","229","TypeScript源码","4个Cakeuncle provider家族","深入；F-0099/F-0100"
"FILE-AU-023-004","01_core_hexin/extensions/vendors/cakeuncle/Endpoints.ts","33","TypeScript源码","Cake/Flower/Meal consumers","深入；部分常量DC-0029"
"FILE-AU-023-005","01_core_hexin/extensions/vendors/cakeuncle/Physical.ts","14","TypeScript源码","Cake/Flower mappers","深入；金额/整数解析"
"FILE-AU-023-006","01_core_hexin/extensions/vendors/cakeuncle/README.md","27","文档","开发/安装者","深入；F-0100的声明边界"
"FILE-AU-023-007","01_core_hexin/extensions/vendors/cakeuncle/RatePolicy.ts","1","TypeScript转发","公共barrel","深入；DC-0029"
"FILE-AU-023-008","01_core_hexin/extensions/vendors/cakeuncle/Signer.ts","62","TypeScript源码","Client/tests/公共barrel","深入；DC-0028/DC-0029"
"FILE-AU-023-009","01_core_hexin/extensions/vendors/cakeuncle/Webhook.ts","105","TypeScript源码","仅Webhook.test直接引用","深入；DC-0028/GX"
"FILE-AU-023-010","01_core_hexin/extensions/vendors/cakeuncle/index.ts","7","公共barrel","4个provider包","深入；刻意不导出Webhook"
"FILE-AU-023-011","01_core_hexin/extensions/vendors/cakeuncle/package.json","11","依赖清单","workspace/npm","深入；F-0101及正式test/typecheck入口"
"FILE-AU-023-012","01_core_hexin/extensions/vendors/cakeuncle/tests/Auth.test.ts","8","测试源码","Vitest","深入；F-0102"
"FILE-AU-023-013","01_core_hexin/extensions/vendors/cakeuncle/tests/Client.test.ts","77","测试源码","Vitest","深入；F-0102"
"FILE-AU-023-014","01_core_hexin/extensions/vendors/cakeuncle/tests/Signer.test.ts","24","测试源码","Vitest","深入；F-0102"
"FILE-AU-023-015","01_core_hexin/extensions/vendors/cakeuncle/tests/Webhook.test.ts","39","测试源码","Vitest","深入；禁用协议唯一规格"
"FILE-AU-023-016","01_core_hexin/extensions/vendors/cakeuncle/tsconfig.json","1","结构化配置","workspace typecheck","深入；继承根配置"
