"函数编号","文件/位置","1 唯一职责","2 参数来源","3 运行时校验","4 默认值/特殊输入","5 外部可变状态","6 隐藏前置条件","7 返回/抛错","8 下游调用","9 超时重试","10 资源清理","11 并发/重复","12 已测分支","13 未测分支","14 复杂度/结论"
"FN-AU-006-001","Environment.ts:4-62","统一读取、选择和基础值校验","process/import.meta或显式source","trim、token、integer、enum、distinct","缺失抛错；integer用Number","process.env/browser meta","调用者定义允许键","值或稳定错误码","所有专用parser","不适用","不适用","纯函数","index.test","非十进制Number输入；unused helper","低；公共底座"
"FN-AU-006-002","ApiEnvironment.ts:22-79","通用API环境投影与验证","EnvironmentSource","unknown keys、profile、bind、port、origin、refs/token","bind/port有默认；origin会去重","无","聚合API语义","冻结对象或抛错","ApiMain/aggregate runtime","不适用","启动失败由进程","重复调用纯函数","index.test","重复origin被静默合并","中；F-0034上游"
"FN-AU-006-003","IdentityRegistrationApiEnvironment.ts:43-117","Identity API专用启动契约","process/env example","exact keys、loopback、HTTPS、digest/ref/token","可选port/bind","无","Manifest路径可读由Bootstrap验证","冻结环境或抛错","Identity Main/Ready/Runtime","下游定义","Bootstrap close","纯函数","index.test","真实env/live","中"
"FN-AU-006-004","CatalogOperatorApiEnvironment.ts:43-92","Catalog API专用启动契约","process/env example","exact keys、loopback、origin、endpoint、digest/ref","可选port/bind","无","对象存储职责由Bootstrap","冻结或抛错","Catalog Main/Ready","下游定义","Bootstrap close","纯函数","index.test","真实env/live","中"
"FN-AU-006-005","WebBusinessApiEnvironment.ts:46-128","公开Web API启动契约","process/env example","exact keys、loopback、endpoint、node/slug","可选port/bind","无","origin helper已去重","冻结或抛错","Web Main/Ready","下游定义","Bootstrap close","纯函数","专用test未正式执行","重复origin拒绝不可达","中；F-0034"
"FN-AU-006-006","PurchaseApiEnvironment.ts:54-120","购买API启动契约","process/env example","exact keys、origin、payment/callback refs、Manifest","可选port/bind","无","Bootstrap再验节点能力","冻结或抛错","Purchase Main/Ready","下游定义","Bootstrap close","纯函数","专用test未正式执行","正式入口遗漏","中；F-0031"
"FN-AU-006-007","PaymentWebhookApiEnvironment.ts:45-93","支付回调API启动契约","process/env example","exact keys、loopback、provider/callback、Manifest","可选port/bind","无","Bootstrap再验支付绑定","冻结或抛错","Webhook Main/Ready","下游定义","Bootstrap close","纯函数","专用test未正式执行","正式入口遗漏","中；F-0031"
"FN-AU-006-008","MallProvisioningApiEnvironment.ts:42-91","商城创建API启动契约","process/env","L0、loopback、endpoint、Manifest/ref","可选port/bind","无","Hosted规则由Bootstrap/业务层","冻结或抛错","Provisioning Main/Ready","下游定义","Bootstrap close","纯函数","专用test未正式执行","正式入口遗漏","中；F-0031"
"FN-AU-006-009","JobsEnvironment.ts:54-182","full与dedicated Jobs profile投影","process/env","profile条件键、token/ref、数值","interval/timeout有默认","无","profile决定启动哪些processor","冻结或抛错","Jobs Main/Ready/Runtime","runner层","runtime close","重复调用纯函数","index.test","正式env与aggregate target缺席","高；GX-0001关联"
"FN-AU-006-010","LocalEnvironment.ts:121-226","本地/完整staging基础设施配置","process/env","profile、path、port、token、TLS","多个local默认","process env","endpoint被假定为可用URL","对象或抛错","localinfra/localobjects/readiness","客户端层","进程owner","纯解析","index.test","https://等前缀值","高；F-0035"
"FN-AU-006-011","MiniappEnvironment.ts:15-22","按共享schema解析ext config","显式source","requiredValue trim + regex","无","无","生成实现应等价","冻结对象或抛错","生成器/tests","不适用","不适用","纯函数","index空mall","TS/JS parity与空白","低；F-0033"
"FN-AU-006-012","SflNodeKernel.ts:629-716","生成Manifest与Registry并摘要","NodeManifestSpec/declaration","exact/canonical/ref/unique/digest","版本由revision形成","WebCrypto","spec已含完整binding refs","Promise Manifest/Registry或抛错","生成器/AutoNode/Console local","不适用","不适用","纯数据并行Promise.all","SFL digest/tamper","runtime deep freeze","高；总体设计良好"
"FN-AU-006-013","SflNodeKernel.ts:817-828,1321-1367","解析Topology/Manifest/Registry","未知JSON","exact keys、schema、history、refs","无","返回嵌套数组对象","readonly仅类型","浅冻结或普通对象/抛错","resolvers/Console/Bootstrap","不适用","不适用","调用者共享引用","SFL extensive","freeze与history gap","高；F-0032/UNKNOWN"
"FN-AU-006-014","SflNodeKernel.ts:1173-1230","按时间/Host/ID解析唯一节点","Topology/Registry+输入","canonical time、exact Host、唯一匹配","无suffix fallback","输入对象可被外部改写","registry已验证且稳定","冻结合成对象或抛错","Commerce/Console/Identity","不适用","不适用","读取并发依赖不可变输入","Host/overlap tests","输入被改写","中"
"FN-AU-006-015","SflNodeRegistry.ts:122-176","验证静态L0/L1 declaration","import JSON","schema/version/count/unique/domain/target","固定registry 1.6.1","导入JSON嵌套可变","每node恰一binding","浅冻结原value或抛错","所有registry exports","不适用","不适用","模块单例共享","SFL/console tests间接","runtime mutation","高；F-0032"
"FN-AU-006-016","SflNodeRegistry.ts:88-120","按node/id/ref返回Manifest、binding、origin","模块单例+参数","唯一/存在性","无","直接返回单例嵌套对象","registry不得被调用者改写","对象/数组或抛错","Identity/Console/generator","不适用","不适用","共享可变引用","happy paths","mutation guard","中；G1 purchaseBrowserOrigins"
"FN-AU-006-017","SflNodeKernelConsole.ts:185-243","解析共享artifact或单节点runtime","未知JSON","schema/source/build/digest/Manifest/resource/scope/HTTPS","clientVersion缺失归一0.0.0","输入投影","URL应与Manifest同节点但未校验","冻结外壳或抛错","Console RuntimeConfig/AutoNode","不适用","不适用","读取并发","artifact/node happy+tamper","cross-domain URL","高；F-0029"
"FN-AU-006-018","SflNodeKernelConsole.ts:245-305","按Console Host生成AppConfig","parsed artifact/runtime+hostname","exact console Host、resource ref","无","沿用binding URL","binding与Manifest domain对应","冻结AppConfig或抛错","Console AppConfig/SDK","不适用","不适用","共享只读预期","Host/ref tests","URL域绑定","高；F-0029"
"FN-AU-006-019","SflNodeKernelConsole.ts:330-399","解析runtime bindings并核对artifact refs","binding+Manifest+pointer","HTTPS、resource ref、source/build/digest/scope","无","无","对应domain应存在但未执行","数组/void或抛错","parse/resolve","不适用","不适用","纯函数","scope/digest/ref","api/identity domain","高；F-0029"
