"编号","类型","位置","观察","证明","不证明"
"E-AU-017-001","范围","packages/design","67文件4653行；65人工文件4491行、2生成物162行","固定范围与覆盖","仓外副本"
"E-AU-017-002","逐文件人工审阅","全部67文件","组件/测试/Story/CSS/JSON/SVG逐文件；生成物核对来源与消费者","实现与公开契约","真实页面像素"
"E-AU-017-003","消费者枚举","Console与全仓import","Console main装载4个CSS入口；12类核心组件有生产消费者；包无独立进程","真实编译/运行入口","仓外消费"
"E-AU-017-004","生成关系","build-web-tokens/build-miniapp-theme","tokens.json生成web两文件；miniapp投影部分字段并复制2 SVG","数据流与发布关系","视觉正确"
"E-AU-017-005","CSS变量闭合","14 CSS与tokens.css","80个--sw-*被使用但仓内无定义；Console同时装载消费者和token输出","F-0076","浏览器截图中的严重程度"
"E-AU-017-006","选择器闭合","AccessDenied.tsx与全仓CSS","11组swaccessdenied类零CSS定义；component test只断言类名","F-0077","授权后端绕过"
"E-AU-017-007","401调用链","Console QueryState→ResourceState→AccessDenied","401和403都映射denied；只有unauthenticated渲染relogin","F-0078","所有401均已在线发生"
"E-AU-017-008","Storybook入口","preview/package/root scripts","preview只导入tokens/base/workspace；无正式story test/a11y运行命令","F-0079","手工Storybook从未运行"
"E-AU-017-009","品牌一致性","tokens.json/Brand/4 SVG","token品牌为主打团；公开组件与canonical SVG仍是智慧翼","F-0080","Ethan最终视觉取舍"
"E-AU-017-010","移动平台消费者","mobile-platforms与两生成器","web只读ios/android尺寸；miniapp不读；其余规则零消费者","F-0081/DC-0022","规则没有文档价值"
"E-AU-017-011","正式命令","package scripts/格式check","test/component/typecheck缺依赖退出127；JSON/XML和miniapp drift check通过","验证边界","组件测试通过"
"E-AU-017-012","公开符号反查","index与全仓源码","一组export仅包内测试/Story或零调用","DC-0021","仓外无消费者"
