函数编号,文件/位置,1 唯一职责,2 参数来源,3 运行时校验,4 类型真实性,5 默认值,6 特殊输入,7 参数变异,8 外部可变状态,9 调用顺序依赖,10 隐藏前置条件,11 不变量,12 返回路径,13 抛错路径,14 提前返回,15 外部调用,16 数据库写入,17 日志,18 权限判断,19 重试,20 超时,21 资源清理,22 Promise,23 并发安全,24 重复调用,25 半完成状态,26 已测分支,27 未测分支,28 复杂度,29 拆分判断,30 相邻重复
FN-AU-009-001,Aggregate.ts:5-15,保存并一次性交付聚合待发事件,领域子类调用record/pullEvents,record依赖DomainEvent类型，无额外runtime schema,运行对象可能来自domainEvent或断言输入,无,空事件数组pull返回空；undefined不能通过类型,不改事件对象；修改自身pending数组,实例私有pending,pullEvents读取后立即把pending替换为空数组,调用者必须保留返回数组并处理持久化失败,事件不丢失/不重复由调用顺序承担,record void；pullEvents返回冻结副本并清空内部数组,无自身抛错,pull空数组,无,无,无,无,无,无,无资源,无Promise,单线程同步转移；同实例异步调用方仍可能错序,重复record会重复事件；重复pull第二次为空,pull后下游失败时聚合内已无事件，恢复依赖调用者持有返回值,无直接测试,record→pull→persist失败、重复pull、并发调用纪律,低,不建议拆；需后续领域事件专项定义交付协议,无等价实现；OutboxStore是下游持久化
FN-AU-009-002,Bulkhead.ts:7-21 run,限制同时运行和等待数量,Executor/直接调用传task,构造校验正整数/非负queue；run委托Semaphore,task类型真实但可同步抛,无,queue=0立即拒绝；task返回拒绝Promise,不改task；修改自身running/queue,Semaphore实例状态,必须先acquire后执行,task应返回Promise但同步throw由async流程捕获,permit最终释放,task结果原样返回,BULKHEAD_REJECTED/operation error,队列满拒绝,task,无,无,无,无,由外层Deadline signal取消等待,finally release,await task，不悬空,Semaphore保护等待；当前逻辑成立,重复调用独立但共享容量,finally避免permit泄漏,TC-AU-009-002队列满,queue>0、abort、FIFO、sync throw,低,不拆,Vendor有ConcurrencyPolicy包装Semaphore，语义不同
FN-AU-009-003,CircuitBreaker.ts:15-26 run,按circuit状态包裹一次operation并分类失败,Executor/Vendor CircuitPolicy,构造参数校验；classifier返回值无保护,unknown cause传classifier，runtime可抛,classifier默认全部计失败,operation resolve/reject；classifier false/throw,不改输入；修改自身state,now函数与实例状态,before必须先于operation，完成后succeed/fail,并发operation没有代际token,INV-AU-009-002/003,成功result；失败重抛原cause,CIRCUIT_OPEN、operation error、classifier error,before拒绝,operation/classifier/now,无,无,无,外层可能retry,recovery用now，不主动timer,无finally恢复classifier异常,await operation,[BROKEN] 旧成功覆盖新open,重复调用共享故障计数,classifier throw可留下probe半完成,TC-AU-009-003/004串行,并发完成顺序、classifier throw,中,状态转移需独立修复设计，不在审计分支拆,Vendor wrapper仅映射CIRCUIT_OPEN
FN-AU-009-004,CircuitBreaker.ts:28-52 snapshot/before/succeed/fail,读取和执行closed/open/halfopen转移,run与健康查询,threshold/recovery已在构造校验,now可能非单调但类型number,now=Date.now,时钟回退、极大值未限制,仅修改自身字段,注入时钟,snapshot只报告halfopen不落state；before才落state,完成回调应对应当前代际但未表达,INV-AU-009-002/003,snapshot返回三态；内部void,before抛CIRCUIT_OPEN,state visited/拒绝,now,无,无,无,无,时间阈值，无timer,无,同步,[BROKEN] 并发转移非原子,重复snapshot无副作用,succeed/fail部分写均同步,TC-AU-009-003/004,时钟回退、并发probe/classifier throw,中,可引入单一transition函数/epoch但需专项,无
FN-AU-009-005,deadline/index.ts:12-37 constructor/after/at,创建绝对期限、timer和parent取消桥,Executor/SDK/Vendor/测试,expiresAt/duration必须safe integer且正,AbortSignal运行值真实,now=Date.now；parent可选,duration 0/负/非整数拒绝；长duration被timer上限截断,不改parent；监听它,系统/注入时钟、timer、parent signal,构造即启动timer,setTimeout最大值不是合法deadline最大值,INV-AU-009-005,返回Deadline实例,DEADLINE_INVALID/DURATION_INVALID,parent已abort会立即abort child,setTimeout/AbortController/parent listener,无,无,无,无,自身就是超时,dispose负责timer/detach,无Promise,每实例signal可广播；构造同步,重复创建产生独立timer,parent listener在dispose前存在,间接TC-AU-009-005短期,MAX_TIMER、now溢出、parent race,中,长timer调度需专项，不在本AU修改,Commerce foundation仅re-export
FN-AU-009-006,deadline/index.ts:39-50 remaining/throwIfExpired/child,查询剩余、拒绝过期并派生更短期限,Retry/Executor/SDK/Vendor,child max正safe integer,now可能异常/回退未校验,无,remaining钳0；parent已abort；max过大取父期限,不改输入；child增加listener/timer,时钟和parent signal,child创建后需由调用者dispose,child调用者必须负责资源释放,INV-AU-009-005,number/void/new Deadline,DEADLINE_EXCEEDED/DURATION_INVALID,过期throw,now/Deadline.at,无,无,无,无,继承父signal与绝对期限,child由调用者dispose,无Promise,局部成立,重复child增多个资源,未dispose会保留timer/listener,无直接测试,child、clock rollback、dispose责任,低,不拆,无
FN-AU-009-007,deadline/index.ts:52-64 run/dispose,在deadline signal下运行Promise并释放自身持有资源,潜在外部调用；仓内run caller很少/无,先throwIfExpired；operation返回Promise只由类型保证,runtime同步throw可绕过then.finally安装,无,同步throw、立即resolve、abort竞态,不改operation；注册listener,signal/timer/listener,调用者仍须显式dispose Deadline,operation同步返回非thenable也会失败,INV-AU-009-005,operation结果或reject,deadline/callback error/TypeError,过期前置拒绝,operation/AbortSignal,无,无,无,无,Deadline自身timer与signal取消,finally移除run listener；dispose清timer/parent,[BROKEN] sync throw在Promise executor reject但listener残留,多个run共享signal；正常settlement各自清listener,重复run各增加独立listener,sync throw留下清理半完成,无直接测试,同步throw、非Promise、abort同时完成,中,可用异步规范化与finally统一清理，但需专项,SDK/Executor多手工使用signal而非run
FN-AU-009-008,DomainEvent.ts:12-34 domainEvent,校验并冻结事件envelope,Commerce事件producer,type/aggregate/tenant/trace非空，version正整数，occurredAt有效Date,payload仅Record类型，无深层runtime schema,无,空字符串/invalid date/version拒绝；nested mutable允许,不修改输入；浅拷贝payload并浅冻结envelope,无外部状态,创建后由OutboxStore立即序列化,nested payload不被深冻,事件envelope字段有效,返回冻结事件,稳定EVENT_*错误,任一校验失败,Date/Object.freeze,无,无,无,无,无,无资源,同步,实例局部,相同输入可生成等值新对象,校验失败无半状态,事件结构测试在Contract/Commerce，不在Kernel,nested mutation、BigInt/cycle序列化,中低,保持单一创建职责；payload schema属事件专项,无
FN-AU-009-009,Email.ts:5-15 Email.parse,规范化并封装邮箱,潜在调用者；仓内零生产caller,string trim/lowercase与格式/长度规则,string真实,无,空/过长/不匹配拒绝,不改输入,无,无,规则是本地简化邮箱语义,值对象格式稳定,返回冻结Email,EMAIL_INVALID,invalid时throw,字符串方法/Object.freeze,无,无,无,无,无,无资源,同步,是,同值重复parse等价,无半状态,无,Unicode/国际域/边界/外部消费者,低,不拆,应用可能有其它局部邮箱schema，待模块审计
FN-AU-009-010,Entity.ts:2-8 constructor/equals,保存非falsy id并按具体constructor+id比较,Order/Aggregate子类,只用if(!id)，不trim也不做格式校验,泛型只编译期，runtime为string假设,无,空串拒绝；空白串接受；undefined经非类型调用会拒绝,不改输入或实例,无,equals依赖具体constructor身份,实体ID格式由子类/调用者承担,同类同id相等,构造实例或boolean,ENTITY_ID_INVALID,other undefined返回false,constructor identity比较,无,无,无,无,无,无资源,同步,实例本身无共享状态但未冻结,重复比较确定,无半状态,子类间接测试,空白id、跨realm/代理constructor、运行时mutation,低,不拆,Aggregate继承
FN-AU-009-011,ErrorCause.ts:1-6 errorCause,把unknown cause规范为Error并保留cause,Retry/Deadline,cause instanceof Error分支,unknown被明确缩窄,fallbackCode由调用方,undefined/null/string/object,不改cause,无,无,fallback必须是稳定catalog code但未强制,错误cause链保留,"Error原样或new Error(fallback,{cause})",构造通常不抛,Error分支提前返回,Error constructor,无,无,无,无,无,无资源,同步,是,同Error返回同对象,无半状态,无直接测试,fallback catalog存在性；RETRY_FAILED缺失,低,不拆,多模块有各自error mapper
FN-AU-009-012,Hash.ts:8-12 Hash.sha256,校验64位hex SHA-256并规范小写,仓内零生产caller,lowercase后匹配64位hex,string真实,无,空/非hex/长度错误拒绝；大写接受并归一化,不改输入,无,无,算法种类由格式隐含,hash格式稳定,冻结Hash,HASH_INVALID,invalid throw,字符串/Object.freeze,无,无,无,无,无,无资源,同步,是,重复调用等价,无半状态,无,边界和外部使用,低,不拆,对象/发布有其它hash helpers但契约不同
FN-AU-009-013,Id.ts:8-15 Id.parse/toString,校验并封装prefix+Crockford ID,TestIdGenerator/潜在外部,完整正则,string真实,无,空/非法prefix/禁字/长度拒绝,不改输入,无,parse先于toString,生成器必须使用同字母表但接口未表达,INV-AU-009-008,Id或原字符串,ID_INVALID,invalid throw,RegExp/Object.freeze,无,无,无,无,无,无资源,同步,是,相同文本等价实例,无半状态,无Kernel直接测试,全字母表、TestId第18项,低,不拆,TestIdGenerator实现冲突F-0052
FN-AU-009-014,Mobile.ts:5-15 Mobile.parse,校验并封装手机号,仓内零生产caller,本地正则,string真实,无,空/空白/国家码边界按实现拒绝,不改输入,无,无,地区语义隐含在正则,值格式稳定,冻结Mobile,MOBILE_INVALID,invalid throw,RegExp/Object.freeze,无,无,无,无,无,无资源,同步,是,重复parse等价,无半状态,无,国际化/格式/外部消费者,低,不拆,Identity/Member有其它手机号schema待专项
