"证据编号","证据类型","时间/基线","入口/位置","观察","可证明","不可证明","复现/复核","敏感性"
"E-AU-004-001","Git/工作区","2026-09-13 / 5a1ce71e","audit worktree","开工 HEAD=d651127d；merge-base 精确等于固定基线；工作区干净","AU-004 从 CP-03 且仍固定在基线","不能证明远端后续状态","git status/rev-parse/merge-base","无"
"E-AU-004-002","源码配置","固定基线","zdt-next.release.json","15 targets、2 logical nodes、hostedBy、pointerRoot、service、artifact 和 publicAcceptance 已枚举","正式 release 声明的 target/node/制品关系","不能证明线上 active config 等于声明","重新加载 adapter 并对账 target-map/node-map","无"
"E-AU-004-003","运行反事实","固定基线","release planner","Caddy 选择 14 targets；cloudflared unit 选择 14；普通 storefront systemd、agent installer、deploy workflow、OSS activate script均为零 target；after 不展开依赖","affected 分类和 requires/after 的真实语义","不能证明操作者一定使用 affected 模式","用 loadAdapter/createPlan 重放所列路径","无"
"E-AU-004-004","源码入口","固定基线","deploy.yml / quality.yml / deploy-oss.yml","三者仅 workflow_dispatch；Direct 使用 HEAD^ 且两次 --direct；Quality 清空验证；OSS 单独激活 Console","GitHub 正式入口的控制流","不能证明 GitHub 账户侧保护规则","逐行复核 workflow 与最近成功 run","可能包含 run metadata，不含 secret"
"E-AU-004-005","源码控制流","固定基线","planner.mjs:19-53","Direct 显式 target 清空 validations；actions 跳过 preflight/tests/typecheck；productionApproval=false","Direct 规划阶段明确降级的动作","不能单独证明远端激活行为","planner tests + 直接 plan 输出","无"
"E-AU-004-006","源码控制流/测试","固定基线","engine.mjs:357-477；remote/agent.mjs:304-712；remote-agent.test.mjs:64-75","Direct stage 跳 candidate checks，activateDirect 只切 pointer/restart；guarded 分支另做容量、readiness、Caddy、process 和 rollback","Direct 与 guarded 的精确差异","不能证明每次生产部署造成故障","重新追踪 deploy→agent 两分支并运行定向测试","无"
"E-AU-004-007","源码配置/反事实","固定基线","release rules；install-ai-delivery-agent.sh","control-plane 路径匹配零或全业务 target，但 artifact 不含配置；workflow 只安装 agent 模式","正式 Deploy 不应用触发的普通 Caddy/systemd/Cloudflared 变更","不能证明人工从未另行安装","planner 重放 + artifact 清单 + installer mode 对账","无"
"E-AU-004-008","源码入口/历史 run","固定基线与 2026-09-13","deploy-oss.yml；activate-console-static.sh","OSS 和 agent 都可写 hbbtzn-l1 console/current；无共享锁且 GitHub concurrency 不同；OSS run 34730203670 成功","存在两个有效 writer 和无互斥边界","不能证明曾真实重叠","重追两条写链、锁路径和 run receipt","OSS URL 已过期；不保存 secret"
"E-AU-004-009","配置验证","固定基线","两份 Caddyfile + cloudflared example","L1 gateway 从正式 target root 服务前端并反代 7 类后端；两份 Caddy配置 validate 通过","仓库声明的 edge 路由和语法有效","不能证明账户侧 tunnel/DNS 或线上装载版本","生产 caddy binary 通过 stdin validate","无"
"E-AU-004-010","生产只读观察","2026-09-13","IMDS / active Caddy / pointers / HTTP","实例 ID 已核验；active Caddy blob 不在仓库历史；fufu Auth/Console 404，release static index 存在而 active root index 缺失；HBBTZN 三入口 200","观察时真实公网/指针冲突","不能证明起始时间、流量、固定基线部署因果","第二审计者须重新核验 IMDS、active config、pointer 与直连 SNI","主机路径；无凭据内容"
"E-AU-004-011","生产只读观察/源码","2026-09-13","systemd units/status/hash","19 个所查运行实例 active；固定 unit 非 root并有隔离；部分 active unit/agent/gateway 对应基线后 blob","运行单元名称、依赖和观察时状态","不能证明全天可用或基线制品在线","systemctl show/cat/hash，不执行 restart","主机元数据；无 secret"
"E-AU-004-012","源码控制流/测试","固定基线","autonode*.mjs","AutoNode 仅显式 sovereign upgrade；exact digest、持久 ledger、11 步 apply、ownership-aware rollback；无正式 workflow/package 消费者","独立控制面能力与边界","不能证明从未人工运行或账户侧状态","重追 CLI→engine→provider；定向测试","云资源标识未写入报告"
