"目标编号","定义来源","输出组","文件数","生成条件","主要消费者","本次核对","边界/结论"
"GT-AU-007-001","operations.yml + permissions + errors","openapi.json","1","始终","外部文档/客户端生成者","345 Operation及主要metadata零差异","F-0038：schema强度与运行接受集不一致"
"GT-AU-007-002","operations.yml","CommerceOperations/CommerceSchemas","2","始终","@shop/contract、SDK与Commerce","345目录与690 schema pair齐全","F-0038/F-0040"
"GT-AU-007-003","events.yml","events.json/CommerceEvents/EventSerializer","3","始终","package consumers","67 type/version/owner一致","schema/handlers不进入这些公共投影；F-0039"
"GT-AU-007-004","errors.yml","ErrorContract.generated","1","始终","ErrorMapper/公共包","1438 code/status行一致","正式覆盖门禁失真F-0037"
"GT-AU-007-005","operations+events+permissions+errors","ContractIdentity.generated","1","始终","version subpath/历史runtime identity","checksum为056713bbc017754d059b5845bf4f39d641e10a705ca9ca270c54dbbfb1a1a7b0","Event schema/handlers不旋转F-0039；当前runtime authority已移除"
"GT-AU-007-006","operations.yml","SDK aggregate + 34 domain files","35","始终","Console/Storefront/服务调用者","345 ID均存在；仅结构性核对","SDK实现与类型消费留AU-008/后续SDK专项"
"GT-AU-007-007","operations.yml","OperationController/OperationHandler","2","仅runtime Operation","Commerce HTTP注册/dispatch","271 runtime ID齐全、74 frozen缺席","Controller schema no-op为明确历史决策；F-0038"
"GT-AU-007-008","events.yml","Commerce app/events.ts","1","始终","RuntimeEventPublisher","67版本、handler Map齐全","checksum不覆盖handler F-0039"
"GT-AU-007-009","operations/events/permissions + publish.template.sql","database/contracts/current.sql","1","始终","应用者UNKNOWN；数据库目录","271 runtime operation/event rows存在","不等于migration已执行；应用链留数据专项"
"GT-AU-007-010","operations.yml + checksum","miniapp api identity.js/operations.js","0（条件目标2）","miniprogram/api目录存在时","Miniapp SDK","固定基线目录不存在，未生成","[FACT] 条件输出缺席不是漂移；生成运行链留AU-008"
"GT-AU-007-011","requirementgen","RequirementCatalog.generated.ts","1","独立generator","@shop/contract requirement exports","只登记来源与生成标记","排除本AU逻辑深审"
