"符号编号","文件编号/路径","1 符号名称","2 声明位置","3 直接消费者","4 间接消费者","5 重新导出","6 动态访问","7 仅测试使用","8 公共契约","9 运行时副作用","10 可见范围","11 兼容导出","12 删除或改名影响"
"SYM-AU-008-001","ApiClient.ts","ApiClient","ApiClient.ts:23","ClientFactory、全部generated domain factory、SDK tests","Console/Storefront请求链","@shop/sdk root不导出","未发现","否","内部核心端口","构造校验；execute发网络","SDK包内部","否","全部generated Operation调用失败"
"SYM-AU-008-002","BrowserAuthorization.ts","BrowserAuthorization","BrowserAuthorization.ts:1","Auth/Storefront类型消费者","登录PKCE链","@shop/sdk/browser-authorization","未发现","否","是","类型擦除","公开subpath","否","调用者类型编译失败"
"SYM-AU-008-003","BrowserAuthorization.ts","beginBrowserAuthorization","BrowserAuthorization.ts:19","Auth/Storefront","授权跳转准备","@shop/sdk/browser-authorization","未发现","否","是","读取secure random并生成PKCE","公开subpath","否","浏览器授权启动失败"
"SYM-AU-008-004","BrowserAuthorization.ts","pkceS256Challenge","BrowserAuthorization.ts:29","beginBrowserAuthorization、测试","PKCE challenge","@shop/sdk/browser-authorization","未发现","否","是","可调用WebCrypto或纯JS fallback","公开subpath","否","PKCE不兼容"
"SYM-AU-008-005","ClientFactory.ts","createFetchCommerce","ClientFactory.ts:7","Storefront canonicalApiClient、测试","generated aggregate→ApiClient","@shop/sdk及@shop/sdk/commerce","未发现","否","是","创建FetchTransport/ApiClient/34 domain对象","公开root/subpath","否","Storefront API client无法创建"
"SYM-AU-008-006","ClientFactory.ts","createWechatCommerce","ClientFactory.ts:11","固定仓库无运行调用","潜在Miniapp/仓外调用","@shop/sdk及@shop/sdk/commerce","外部动态UNKNOWN","否（定义+公开）","是","创建WechatTransport/ApiClient","公开root/subpath","是/未排除，DC-0009边界","外部兼容风险，不能按零引用删除"
"SYM-AU-008-007","ClientFactory.ts","createCommerce","ClientFactory.ts:15","createFetch/WechatCommerce、测试","自定义Transport consumer","@shop/sdk及@shop/sdk/commerce","未发现","否","是","创建aggregate client","公开root/subpath","否","自定义transport客户端失败"
"SYM-AU-008-008","ErrorCause.ts","errorCause","ErrorCause.ts:1","ApiClient delay、WechatTransport","请求错误传播","无package公开导出","未发现","否","内部","包装非Error cause","SDK内部","否","错误cause语义变化"
"SYM-AU-008-009","FetchTransport.ts","FetchTransport","FetchTransport.ts:3","ClientFactory/generated domains/tests","Console/Storefront fetch","@shop/sdk root","未发现","否","是","native fetch网络调用","公开root","否","全部浏览器generated clients失去默认transport"
"SYM-AU-008-010","IdentityNodeRegistry.ts","IdentityNodeProfile","IdentityNodeRegistry.ts:3","同文件和App配置","身份节点选择","@shop/sdk/identity-node","未发现","否","是","类型擦除","公开subpath","否","节点消费者类型失败"
"SYM-AU-008-011","IdentityNodeRegistry.ts","OperatingMallIdentityNodeDefinition","IdentityNodeRegistry.ts:21","Auth/Storefront配置与测试","身份入口解析","@shop/sdk/identity-node","未发现","否","是","类型擦除","公开subpath","否","节点契约编译失败"
"SYM-AU-008-012","IdentityNodeRegistry.ts","ConsumerIdentityNodeDefinition","IdentityNodeRegistry.ts:29","Auth/Storefront配置与测试","身份入口解析","@shop/sdk/identity-node","未发现","否","是","类型擦除","公开subpath","否","节点契约编译失败"
"SYM-AU-008-013","IdentityNodeRegistry.ts","IdentityNodeDefinition","IdentityNodeRegistry.ts:37","Auth/Storefront多文件","hostname→node","@shop/sdk/identity-node","未发现","否","是","类型擦除","公开subpath","否","消费者类型/解析失败"
"SYM-AU-008-014","IdentityNodeRegistry.ts","IdentityNodeRegistry","IdentityNodeRegistry.ts:39","parser/resolver/tests","节点registry","@shop/sdk/identity-node","未发现","否","是","类型擦除","公开subpath","否","消费者类型失败"
