"证据编号","证据类型","时间/基线","入口/位置","观察","可证明","不可证明","复现/复核","敏感性"
"E-AU-010-001","Git/范围","固定基线 5a1ce71e","branch/rev-parse/merge-base/status","开工位于审计分支CP-09且clean；固定基线仍为祖先；origin只读观察76da55ad；远程分支37条","固定基线、主线漂移与report-only边界","线上版本和后续主线内容","核对branch、HEAD、merge-base、status、remote refs","无"
"E-AU-010-002","逐文件人工审阅","固定基线 5a1ce71e","01_core_hexin/packages/authz 10文件/397行","10/10文件从入口、声明、函数、分支、错误、状态和测试逐项读完","Authz固定基线内部行为和公开面","仓外调用者、正式测试结果","按files.csv逐blob并与exports/functions交叉","无"
"E-AU-010-003","静态引用+包导出","固定基线 5a1ce71e","package.json、src/index.ts、29源码import、4消费者manifest、contractgen直接源码import","18个声明导出；29个源码文件直接import包；contractgen绕过export直读PermissionCatalog","仓内静态消费与编译边界","动态/仓外消费者和已发布制品","重跑consumer-matrix并核对package exports","无"
"E-AU-010-004","目录/Operation复算","固定基线 5a1ce71e","PermissionCatalog.ts + operations.yml","184唯一permission、33 category；345 Operation中329受保护并使用全部184；unknown=0、unused=0","固定源目录与Operation引用闭合","每条映射的产品业务意图","重跑permission-catalog和permission-operation-matrix生成","无"
"E-AU-010-005","生产入口反追","固定基线 5a1ce71e","generated OperationController → PipelineAuthorizer → AccessPipeline","7个生产runtime构造AccessPipeline；public跳过，受保护Operation把目录permission原样传入","正常HTTP授权入口与执行顺序","线上实例/流量和仓外入口","逐runtime核对new AccessPipeline与resolver构造","只记录变量名不记录凭据值"
"E-AU-010-006","授权调用链","固定基线 5a1ce71e","AccessPipeline.ts:52-116；PgAccessResolvers.ts:49-154","Session/Audience/Feature/Membership/Version/Permission/Scope/Capability/Stepup/Risk/Proof/Decision顺序可执行","阶段顺序、失败传播和handler前置","线上数据库内容与实际请求频率","按communications/state-machines从入口反追","无"
"E-AU-010-007","数据/时间边界","固定基线 5a1ce71e","PgMembershipResolver与session-bound SQL函数","membership grants和evaluated_at同一materialized snapshot；session、projection、current version分别核对","正常resolver的快照时间和会话绑定","线上migration是否已应用、数据是否规范","核对SQL函数签名与runtime query参数","无"
"E-AU-010-008","实际源码只读反事实","固定基线 5a1ce71e","Policy.ts precheck/checkScope + AccessOperations.ts:185-305","route role.manage precheck通过；membership明确deny scope.manage时，裸checkScope仍返回evidence","二级permission显式deny可被当前调用方式绕过","线上是否存在该组合或已利用","用固定now、canonical scope和同一membership复现","无"
"E-AU-010-009","实际源码只读反事实","固定基线 5a1ce71e","PermissionCatalog.ts:4-11；ScopeKind.ts:1","catalog和definition被冻结；scopes/SCOPE_KINDS未冻结；修改一个默认scopes会改变另一个definition","运行时共享权限元数据可被同进程修改","生产是否有mutation caller","隔离进程比较Object.isFrozen并push后复查两个definition","无"
"E-AU-010-010","实际源码只读反事实","固定基线 5a1ce71e","Policy.ts:59-65","错误platform ID无条件allow；非平台grant缺tenant跳过隔离；相同ID可跨kind命中","异常Scope下containment不是fail closed","normal Pg resolver是否产生异常Scope","分别构造三组MembershipAccess/Scope并调用decide/checkScope","无"
"E-AU-010-011","测试漂移反证","固定基线 5a1ce71e","WebBusinessScopeResolver.test.ts:50-59 vs PgAccessResolvers.ts:133-141","旧fixture缺realm/client/governanceOrganization，现实现查询前抛AUTH_MEMBERSHIP_CONTEXT_MISSING且调用0次","正式unit测试中的该用例必不满足resolves oracle","其余Commerce测试结果","加载固定源码并调用旧fixture路径","无"
"E-AU-010-012","驱动运行时类型","锁定pg 8.16.3","pg OID 20 parser；PgAccessResolvers.ts:17-45,121-129","OID 20文本7返回string；resolver接口声明number且无setTypeParser","数据库bigint与TS声明不一致","线上进程是否由仓外代码改parser","读取lock版本并调用同版本types.getTypeParser(20)","无"
"E-AU-010-013","零调用/删除候选检查","固定基线 5a1ce71e","decide及Decision公开面全仓符号搜索","decide仅包测试和quality security test调用；AccessPipeline生产使用分阶段函数","仓内生产静态caller为0","仓外/动态/历史兼容与替代定稿","排除定义、barrel、测试后重搜并核对exports","无"
"E-AU-010-014","既有finding重追","固定基线 5a1ce71e","F-0036两Operation → contractgen → DB capability → AccessPipeline","member.read映射被所有层原样消费，无Authz补充写权限判断","F-0036链路在Authz层成立","线上角色/entitlement与第二审阅者结论","从两条Operation逐层反向复核","无"
"E-AU-010-015","高风险二遍抽检","固定基线 5a1ce71e","Policy.ts、PermissionCatalog.ts、Policy.test.ts","3/10文件从调用者/失败分支/测试oracle重新检查，首轮结论一致","同一主审30%风险抽检结果","独立RV-0008/RV-0009结论","按review-sample逐项重新追入口","无"
"E-AU-010-016","正式命令","固定基线 5a1ce71e","npm test/typecheck --workspace @shop/authz","两命令分别因vitest/tsc command not found退出127，源码未加载","依赖缺失和正式入口名称","实现通过或失败","在clean审计worktree各执行一次，不安装依赖","无"
"E-AU-010-017","UI目录对账","固定基线 5a1ce71e","PermissionCatalog category vs AccessRoleCatalog/ProfileModel categoryLabels","33类中approval在两份映射均缺失；两个fallback最终显示英文approval","固定代码的可见标签与重复映射漂移","线上页面是否当前展示该分组","集合差并核对fallback函数","无"
