"运行单元","类型","源码入口","正式制品","注册职责","监听/触发","Ready/启动门禁","正式发布 target","2026-09-13 生产只读观察","证据"
"Identity API","API","entry/IdentityRegistrationApiMain.ts","IdentityRegistrationApiMain.js + ReadyMain.js","runtime + identity core/full + member/access/audit/finance/referral/channel/voucher/reporting/experience/notification/qualification；68/70 operations","127.0.0.1 target port；HTTP","ExecStartPost 请求自身 /health/ready","identity-api","L0 与 hbbtzn-L1 两实例 active/running","E-AU-003-004/006/008/015"
"Identity Notification Jobs","Jobs","IdentityNotificationJobsOnlyMain.ts → IdentityNotificationJobsMain.runIdentityNotificationJobs","OnlyMain.js + ReadyMain.js","identitynotification QueueJob","PostgreSQL runtime.job/claim_identity_notification_job；1 秒 poll","ExecStartPre 创建并关闭完整 runtime","identity-notification-jobs","L0 与 hbbtzn-L1 两实例 active/running；L0 NRestarts=189","E-AU-003-008/009/015/016"
"Mall Provisioning API","API","MallProvisioningApiMain.ts","Main.js + ReadyMain.js","runtime + provisioning；5 operations","127.0.0.1:4325；HTTP","ExecStartPost 请求自身 /health/ready","mall-provisioning-api","L0 active/running","E-AU-003-006/008/015/017"
"Console Support API","API","ConsoleSupportMain.ts","ConsoleSupportMain.js","inline runtime + support；7 operations","127.0.0.1:4324；HTTP","Main 内部 health 失败仅 warn；ExecStartPost curl 自身 /health/ready","support-api","物理主机 unit active/running","E-AU-003-006/008/015"
"Purchase API","API","PurchaseApiMain.ts","Main.js + ReadyMain.js","runtime + checkout/order/payment selected modules；7 operations","127.0.0.1 target port；HTTP","ExecStartPost 请求自身 /health/ready","purchase-api","L0 active/running","E-AU-003-006/008/015"
"Web Business API","API","WebBusinessApiMain.ts","Main.js + ReadyMain.js","runtime + 9 selected web modules；19 operations；PublicCatalogHttpHandler 包装","127.0.0.1 target port；HTTP","ExecStartPost 请求自身 /health/ready 并核对 manifest/resource 字段","web-api","L0 active/running","E-AU-003-006/008/015"
"Catalog Operator API","API","CatalogOperatorApiMain.ts","Main.js + ReadyMain.js","runtime + catalog；8 operations","127.0.0.1 target port；HTTP","ExecStartPost 独立创建/关闭 runtime，不请求 Main","catalog-api","L0 active/running","E-AU-003-006/008/015/019"
"Catalog Jobs","Jobs","CatalogJobsMain.ts","CatalogJobsMain.js + ReadyMain.js","catalogimport、catalogpublication、export；可选 catalogmediareplication","PostgreSQL queue；1 秒 poll","ExecStartPre 创建并关闭 runtime","catalog-jobs","L0 active/running","E-AU-003-008/009/015"
"Payment Webhook API","API","PaymentWebhookApiMain.ts","Main.js + ReadyMain.js","唯一 payment.webhooks.wechat operation","127.0.0.1 target port；HTTP POST","ExecStartPost 对自身发送缺签名 webhook，必须 400/PROVIDER_SIGNATURE_MISSING","payment-webhook-api","L0 active/running","E-AU-003-006/008/015"
"Payment Jobs","Jobs","PaymentJobsOnlyMain.ts → PaymentJobsMain.runPaymentJobs","OnlyMain.js + ReadyMain.js","paymentquery + paymentrefund","PostgreSQL queue；1 秒 poll","ExecStartPre 创建并关闭 runtime","payment-jobs","L0 active/running","E-AU-003-008/009/015"
"聚合 API","开发/兼容入口","ApiMain.ts","全量 build 会生成 ApiMain.js；无 service target","全部 32 Commerce modules + RuntimeCompatibility","loopback HTTP","启动前 strict compatibility；无对应正式 unit","无当前正式 target","未见对应生产进程","E-AU-003-003/005/007"
"聚合 Full Jobs","开发/staging/兼容入口","JobsMain.ts、FullJobsMain.ts、JobsEntrypoint.ts","全量 build 生成 JobsMain.js 与 FullJobsMain.js；不生成 JobsEntrypoint.js","32 modules + 33 jobs + outbox relay + scheduler","PostgreSQL queue/outbox/scheduler","JobsMain strict；FullJobsMain warning + cache abort；staging unit固定阻断","无当前正式 target","未见对应生产进程","E-AU-003-003/009/022"
"正式数据库迁移","按发布运行一次","database-migration-executor.mjs → MigrationRunner","DatabaseMigrationExecutor.js + 300 SQL + history.json","未登记 migration 顺序执行与 ledger 回执","release remote agent 直接调用 Node","source/role/history/advisory lock/target schema 门禁","database-migration","无常驻进程；按 release 触发","E-AU-003-012/013/014/015"
"通用 MigrationMain","本地/旧通用途径","entry/MigrationMain.ts","全量 build 生成 MigrationMain.js；无 service target","secret store 取 migration connection → MigrationRunner","手工/外部入口 UNKNOWN","snapshot ref + runner 内门禁","无当前正式 target","未见生产进程","E-AU-003-003/007/012"
"Registration Migration","旧 registration DB 路径","entry/RegistrationMigrationMain.ts → RegistrationMigrationRunner","全量 build 生成 RegistrationMigrationMain.js","registration-only 迁移","legacy zhudatuan-migration.service","oneshot unit 依赖 registration DB/internal runtime","不属于当前 database-migration target","legacy unit inactive/dead","E-AU-003-012/015"
"Smoke","开发验证入口","entry/SmokeMain.ts","全量 build 生成 SmokeMain.js；无 service target","bootstrap 全模块并输出 module catalog","一次性进程","无正式 unit","无当前正式 target","未见生产进程","E-AU-003-003/007"
