"函数编号","文件编号","位置","1 唯一职责","2 参数来源","3 运行时校验","4 类型真实性","5 默认值","6 特殊输入","7 参数变异","8 外部可变状态","9 调用顺序依赖","10 隐藏前置条件","11 不变量","12 返回路径","13 抛错路径","14 提前返回","15 外部调用","16 数据库写入","17 日志","18 权限判断","19 重试","20 超时","21 资源清理","22 Promise","23 并发安全","24 重复调用","25 半完成状态","26 已测分支","27 未测分支","28 复杂度","29 拆分判断","30 相邻重复"
"FN-00419-001","FILE-00419","ConsoleModuleRegistry.ts:35-68","收集模块目录违反项而不抛错","生产固定数组或测试夹具","显式 Set/entry count 检查","参数是 TS manifest；运行时仅读取字段，畸形对象可能抛","无","空数组返回空 issues；重复/零/多 entry分别记录","否","无","define 在其后决定是否抛错","route.id/path/module.id需为可读值","INV-AU001-001：module ID/route ID/path唯一且每模块一个entry","冻结前普通 issues 数组；可能为空","无显式 throw；属性访问异常可传播","无","无","无","无","无","无","无","无","同步","局部状态；并发调用独立","确定性；重复调用相同结果","无外部半完成；局部数组可能累积多项","registry direct tests 存在","畸形非类型输入、极大目录性能待测","中：双层循环但职责单一","不建议拆分","无等价校验器"
"FN-00419-002","FILE-00419","ConsoleModuleRegistry.ts:70-82","在校验通过后构造不可变模块目录与ID索引","顶层15 manifests或测试夹具","调用 FN-00419-001；issues非空抛错","泛型保留tuple类型；Map值使用基础manifest类型","无","空数组可成功生成空registry；由调用方决定是否允许","否","无","必须先完整校验再构造Map","调用者若要求非空需另设不变量；本函数仅执行现有四类校验","INV-AU001-001","Object.freeze的registry；内部Map本身未冻结但不导出写接口","Invalid Console module registry","issues非空即返回前抛错","仅调用本地校验","无","无","无","无","无","无","同步","顶层单次调用；Map可变性靠封装","相同输入产生新Map但等价结果","抛错前未写外部状态","registry direct tests","空目录和外部强制转换后的Map变异待测","低","不拆","无等价构造器"
"FN-00419-003","FILE-00419","ConsoleModuleRegistry.ts:104-109","按entry path选择首个模块","ScopeShell传path；默认生产consoleModules","无运行时path校验","TS字符串；manifest可信度来自registry","modules默认consoleModules","空串/未知path/空数组返回undefined","否","默认参数读取模块级只读数组","registry需先成功初始化","每模块一个entry已由registry保证","INV-AU001-001","找到模块或undefined","属性访问异常可传播","Array.find可在首个命中停止","无","无","无","无","无","无","无","同步","只读；并发安全","确定性","无","ScopeShell/route tests间接","重复entry在绕过registry的自定义数组中首个胜出待测","低","不拆","无等价选择器"
"FN-00421-001","FILE-00421","ConsoleModuleRoutes.tsx:18-27","按scope选择route标题与摘要","ScopeShell route handle + session scope kind","无运行时schema校验","TS联合类型；运行时可访问任意key","enterprise为scope覆盖回退；再回通用presentation","缺scope覆盖、空字符串会按nullish规则保留空串","否","无","应在route handle验证后调用","presentation必须有通用title/summary","INV-AU001-002：scope覆盖不改变route身份","总是返回title/summary对象","属性访问异常传播","无","无","无","无","无","无","无","无","同步","纯函数","确定性","无","route/shell tests存在","未知scope强转与空字符串业务语义待测","低","不拆","无等价呈现解析器"
"FN-00421-002","FILE-00421","ConsoleModuleRoutes.tsx:29-36","运行时识别可信ConsoleRouteHandle","React Router match handle或测试值","对象非null、moduleId合法、routeId为字符串且有module前缀","使用Partial断言后逐字段核验；不验证kind/presentation/operations","无","null/primitive/空routeId返回false","否","isConsoleModuleId读取静态catalog","应在读取其它handle字段前调用","routeId前缀约束；完整handle字段仍由生产构造器保证","INV-AU001-003：handle module与route ID一致","boolean","isConsoleModuleId异常若有会传播","非法对象快速false","isConsoleModuleId","无","无","非权限判断","无","无","无","同步","纯读","确定性","无","direct/ScopeShell tests","缺失kind/presentation/operations的伪对象可通过；消费者影响待测","低到中","可在路由专项考虑增强但本审计不建议改","无等价guard"
"FN-00421-003","FILE-00421","ConsoleModuleRoutes.tsx:38-46","从最深到最浅选择首个合法route handle","React Router matches","逐项调用FN-00421-002","matches元素只要求handle字段","无","空数组/全非法返回undefined；undefined元素被保护","否","无","matches顺序必须由Router从浅到深提供","最后一个元素代表最深匹配","INV-AU001-003","handle或undefined","guard异常传播","找到即返回","FN-00421-002","无","无","非权限判断","无","无","无","同步","纯读","确定性","无","route/shell tests","反序matches输入待测但不属于正常框架契约","低","不拆","无等价深匹配函数"
"FN-00421-004","FILE-00421","ConsoleModuleRoutes.tsx:48-53","将一个manifest转换为零到多个RouteObject","固定registry或测试manifest","仅检查status=hidden；其余可信度来自registry/type","运行时未schema校验manifest","无","hidden返回空数组；routes空时返回空数组","否","无","应在registry校验后调用","每个非hidden route应可被materialize","INV-AU001-004：hidden不可达","空数组或route数组","子materializer异常传播","hidden立即返回","FN-00421-008","无","无","operations仅作为metadata透传","无","无","无","同步；创建lazy Promise函数但不执行","局部对象","重复调用产生等价新对象/closures","无","direct tests","畸形manifest与巨大routes待测","低","不拆","FN-00421-005只是批量组合"
"FN-00421-005","FILE-00421","ConsoleModuleRoutes.tsx:55-61","按registry顺序平铺全部模块路由","ConsoleRouter或tests","无额外校验","TS数组；运行时依赖每模块结构","无","空modules返回空数组","否","无","registry顺序决定route顺序/冲突优先级","输入应先通过registry uniqueness检查","INV-AU001-001；INV-AU001-004","RouteObject数组","子函数异常传播","无","FN-00421-004","无","无","无","无","无","无","同步","局部数组；串行构造","确定性但返回新数组","异常时只留下不可见局部部分数组","direct tests/Router consumers","绕过registry的重复route顺序待测","低","不拆","无等价批量物化器"
"FN-00421-006","FILE-00421","ConsoleModuleRoutes.tsx:63-76","选择enabled且主导航order最小的entry path","ConsoleRouter/tests","过滤status/placement并查entry","TS结构；无runtime schema","无","空数组或无候选返回undefined；同order保留先出现者","否","无","registry应保证每模块一个entry","数组顺序是相同order时隐式决胜条件","INV-AU001-005：默认entry仅来自enabled main模块","path或undefined","属性访问异常传播","非候选continue","无","无","无","无","无","无","无","同步","纯读","重复调用确定性","无","direct tests","相同order冲突与空path业务规则待测","中：多条件选择","可保留单函数","无等价默认选择器"
"FN-00421-007","FILE-00421","ConsoleModuleRoutes.tsx:78-85","构造scope索引路由的默认跳转或NotFound lazy","ConsoleRouter/tests","依赖FN-00421-006","返回符合RouteObject；无runtime schema","无entry时NotFound","无modules走NotFound；空path若出现会Navigate空串","否","无","应与子路由同一modules集合调用","默认path必须对应已物化route","INV-AU001-005","index RouteObject","dynamic import仅调用时可能reject","二选一立即返回表达式","Navigate或dynamic import closure","无","无","无","无","无","无","Promise仅在无entry且Router加载时产生","创建对象无共享状态","重复调用生成等价元素/closure","无","direct tests","NotFound chunk加载失败待测","低","不拆","无等价index builder"
