"unit","运行职责","身份","工作根/配置","启动与 Ready","依赖/恢复","发布所有者","结论"
"sfl-api-gateway@.service","L1 Caddy gateway","zhudatuan","node runtime gateway Caddy","caddy run；ExecStartPre validate","network；on-failure","control-plane runtime install","语法门禁清晰；普通 Deploy 不交付 unit/config"
"sfl-cloudflared@.service","L1 tunnel client","zhudatuan","node runtime cloudflared.yml","cloudflared tunnel run；无独立 Ready","Wants gateway；on-failure","control-plane runtime install","账户/tunnel状态未审；普通 Deploy 不交付"
"sfl-storefront@.service","Storefront Node进程","DynamicUser","target current/app + runtime node_modules","vinext start；无 systemd Ready","network；on-failure","storefront target","guarded remote health 才覆盖 HTTP；Direct 跳过"
"sfl-catalog-object-store@.service","节点本地对象存储","zhudatuan","node-wide current + runtime env","LocalObjectsMain + HTTPS Ready","network；on-failure","control-plane runtime install","平台依赖；不属于业务 target artifact"
"sfl-secret-store@.service","节点本地 secret store","zhudatuan","node-wide current + secrets.json","LocalSecretsMain + HTTPS Ready","network；on-failure","control-plane runtime install","平台依赖；内容/权限留安全专项"
"sfl-identity-api@.service","Identity API","zhudatuan","identity-api target current/env","Main + ExecStartPost Ready","internal runtime + object store；on-failure","identity-api target","L0/L1各自进程"
"sfl-identity-notification-jobs@.service","Identity通知 worker","zhudatuan","identity-jobs target current/env","ExecStartPre runtime + Main","internal runtime；on-failure","identity-notification-jobs target","依赖失败时 systemd 重试，见 AU-003"
"sfl-mall-provisioning-api@.service","Mall Provisioning API","zhudatuan","mall target current/env","Main + ExecStartPost Ready","secret store + docker；on-failure","mall-provisioning-api target","manifest 只给 L0 service；L1无进程"
"zhudatuan-console-support.service","Support API","zhudatuan","/opt/zhudatuan support target","Main + curl Ready","network；on-failure","support-api target","L0/L1共享同一物理 unit"
"sfl-purchase-api@.service","Purchase API","zhudatuan","purchase target current/env","Main + ExecStartPost Ready","internal runtime；on-failure","purchase-api target","HBBTZN hostedBy L0"
"sfl-web-api@.service","Web API","zhudatuan","web target current/env","Main + ExecStartPost Ready","internal runtime；on-failure","web-api target","HBBTZN hostedBy L0"
"sfl-catalog-api@.service","Catalog API","zhudatuan","catalog target current/env","Main +独立 runtime Ready","internal runtime + object store；on-failure","catalog-api target","F-0014：未探测 serving process"
"sfl-catalog-jobs@.service","Catalog worker","zhudatuan","catalog-jobs target current/env","ExecStartPre runtime + Main","internal runtime + object store；on-failure","catalog-jobs target","HBBTZN hostedBy L0"
"sfl-payment-webhook-api@.service","Payment webhook","zhudatuan","webhook target current/env","Main +负向业务 Ready","internal runtime；on-failure","payment-webhook-api target","HBBTZN hostedBy L0"
"sfl-payment-jobs@.service","Payment worker","zhudatuan","payment-jobs target current/env","ExecStartPre runtime + Main","internal runtime；on-failure","payment-jobs target","HBBTZN hostedBy L0"
"zhudatuan-release-policy.service","release垃圾回收","root","retention config + release roots","oneshot release-policy.sh","由 timer/path 触发","独立 installer","只删除允许根；保护多类引用"
"zhudatuan-release-policy.timer","周期回收触发","systemd","hourly persistent","OnCalendar + Persistent","触发 policy service","独立 installer","覆盖 modern roots 的主要周期入口"
"zhudatuan-release-policy.path","legacy pointer变化触发","systemd","legacy current/previous paths","PathChanged/Modified","触发 policy service","独立 installer","不覆盖所有 modern roots；timer补足"
