"文件编号","路径","所属模块","文件类型","基线 blob SHA","物理行数","审阅范围","审阅者","审阅日期","审计单元","检查点","风险等级","是否二次复核","详细记录","覆盖清单同步","1 存在理由","2 创建或加载者","3 加载条件","4 导出内容","5 导出消费者","6 输入","7 输出","8 状态读写","9 数据库读写","10 网络调用","11 事件","12 环境变量","13 用户权限依赖","14 运行环境依赖","15 初始化副作用","16 模块加载副作用","17 注册职责","18 测试生产差异","19 资源释放","20 失败恢复","21 对应测试","22 测试可信度","23 对应文档","24 文档准确性","25 兼容职责","26 等价重复实现","27 可否独立删除","28 删除首个失败点","29 最终结论与置信度"
"FILE-AU-010-001","01_core_hexin/packages/authz/package.json","@shop/authz","JSON依赖清单","22eabe0416ce73355058592595b57b3c412d3f07","20","全文件逐行深入审阅","Codex主审","2026-09-14","AU-010","CP-10","P3边界关联F-0058","否","E-AU-010-002/003/016；exports/tests","是","声明private ESM workspace、根export与正式test/typecheck","npm workspace/package解析","被4个消费者声明或源码import时","根export、types、scripts、vitest/typescript dev deps","Console/SDK/Commerce/contractgen","npm workspace命令与package import","源码根export或命令退出","无业务状态","无","无","无","无","本文件不判用户；消费者执行授权","Node/TypeScript/npm workspace","无","package解析元数据","无路由/Worker注册","审计worktree未安装dev deps，正式命令加载前127","无资源","安装依赖后可重跑；本AU禁止安装","TC-AU-010-001..004","入口真实，执行被环境阻塞","AU-010 summary/全局文档","以固定代码为准","根package API；仓外源码消费未知","smart-wing-authz不是已证等价替代","G0；活跃package不可删除","4个package依赖和29源码import构建失败","[FACT] 深入审阅；包边界活跃，F-0058位于消费者绕过export"
"FILE-AU-010-002","01_core_hexin/packages/authz/src/Decision.ts","@shop/authz","TypeScript源码","0ec021f8ac027321f862da3d2f447c53979de306","14","全文件逐行深入审阅","Codex主审","2026-09-14","AU-010","CP-10","G1关联DC-0012","否","E-AU-010-002/013；exports/dead-code-symbols","是","定义稳定deny reason、allow evidence和Decision union","Policy静态import；index re-export","Authz被编译/类型检查","DenialReason/DecisionEvidence/Decision","Policy与潜在包消费者","无运行输入；类型声明","编译期类型","无","无","无","无","无","表达授权结果但不自行判定","TypeScript","无","仅类型模块无运行副作用","无注册","decide生产caller为0；测试保存完整结果契约","无","调用者处理reason/evidence","Policy.test/security test","类型oracle局部；正式命令阻塞","授权实现/边界文档","文档仅线索，代码union为事实","根export公共类型","smart-wing-authz有不同reason模型，非等价","否；DC-0012仅G1","Policy类型检查与仓外源码编译","[FACT] 深入审阅；完整façade当前仅测试使用但有公共契约"
"FILE-AU-010-003","01_core_hexin/packages/authz/src/Permission.ts","@shop/authz","TypeScript源码","962e4f503740d4cb37490fc43767fd5b5f95f8f0","12","全文件逐行深入审阅","Codex主审","2026-09-14","AU-010","CP-10","未发现独立问题","否","E-AU-010-002/003/004；exports","是","定义permission risk/code/metadata结构","PermissionCatalog静态type import；index re-export","目录编译时","PermissionRisk/Permission/PermissionDefinition","目录、contractgen/Console间接、仓外UNKNOWN","类型级code/category/risk/stepup/scopes","编译期类型","无","无","无","无","无","声明权限元数据，不执行权限","TypeScript","无","仅类型模块","无注册","Permission alias仓内精确外部caller少；不等于可删","无","类型修复随包编译","目录与consumer测试间接","没有独立runtime schema测试","AU-010 summary","准确描述固定结构","根export公共类型","无已证等价类型","否；公共目录类型","PermissionCatalog首先无法编译","[FACT] 深入审阅；职责清晰，runtime校验由目录/consumer承担"
"FILE-AU-010-004","01_core_hexin/packages/authz/src/PermissionCatalog.ts","@shop/authz","TypeScript源码","0129ce8f19f4f5e07c29acc3620cb2b97b98b3b8","205","全文件逐行/184条目录逐项结构复算","Codex主审","2026-09-14","AU-010","CP-10","P1候选F-0053；P2 F-0032/F-0036；P3 F-0058/F-0059","是（RV-0009、RV-0008分别复核关联P1）","E-AU-010-002/004/009/014/017；permission-catalog/matrix","是","统一184 permission的category/risk/stepup/scopes并提供lookup","AccessPipeline/ModuleOperations/Console/quality/contractgen","模块被import时构造目录和Map","目录字面量code/category/risk/scopes","PERMISSION_CATALOG与permissionDefinition","184条静态定义/lookup code","共享definition或PERMISSION_UNKNOWN","模块级Map；共享scopes数组可变","无","无","无","无","决定permission接受scope和critical stepup；角色由DB投影","ESM/TypeScript","构造184对象、Map并检查重复","重复code会在模块加载抛错；无外部写","无路由/Worker注册；contractgen消费","测试不穷举184元数据；UI/DB消费真实目录","无资源","修正目录需同步生成物/DB迁移；审计不执行","Policy.test和contract tests间接","集合闭合已复算；业务映射意图多项UNKNOWN","permission handoff/charter/operations","历史严重度不采用；固定代码为事实","根export且进入checksum/DB产物","smart-wing api-contract权限集不同，不等价","G0；不可删除","contractgen、Console和AccessPipeline构建/启动","[FACT] 深入审阅；目录闭合是优点，关键角色/映射/immutability问题已登记"
"FILE-AU-010-005","01_core_hexin/packages/authz/src/Policy.test.ts","@shop/authz","测试源码","4e3a0ab9c7ed2289075751c1fe0fabdd1daa4519","47","全文件逐用例/逐断言深入审阅","Codex主审","2026-09-14","AU-010","CP-10","P2测试缺口关联F-0054/F-0055","否","E-AU-010-002/010/015/016；tests","是","保存纯Policy默认拒绝、scope、顺序、stepup和expiry规格","vitest正式package test","npm test --workspace @shop/authz","无生产导出","测试runner","固定MembershipAccess/Scope/time","4个用例多断言","无持久状态；局部对象","无","无","无","无","直接验证权限判断","vitest/TypeScript","无","加载index/Policy目录","无注册","全部synthetic对象；不经过DB/AccessPipeline；正式deps缺失","无","失败直接阻断test命令","TC-AU-010-001..004","主干oracle直接；异常scope、mutation、二级deny、真实pg类型缺失","授权文档","名称every canonical scope有夸大：仅数组等值+owner样例","测试是decide唯一业务规格之一","security test部分重复","否；唯一纯函数规格","关键Policy回归不再直接失败","[FACT] 深入审阅；高价值但覆盖边界不足，正式执行UNKNOWN"
"FILE-AU-010-006","01_core_hexin/packages/authz/src/Policy.ts","@shop/authz","TypeScript源码","1e513316d1de3395c62c83201079186fbf6b264d","71","全文件逐函数/逐分支深入审阅","Codex主审","2026-09-14","AU-010","CP-10","P2 F-0054/F-0055；P3 F-0057接缝","否（若升级P1则重排）","E-AU-010-006/008/010/012/015；functions/state/FMEA","是","执行membership、permission、scope和stepup纯判定","AccessPipeline生产调用stage；AccessOperations二级调用；测试调用decide","每个受保护HTTP请求及直接caller","MembershipAccess/permission/Scope/context","Decision/reason/evidence","服务端membership快照、目录、scope、now","同步判定结果或PERMISSION_UNKNOWN","无内部写；读取调用者对象和目录","无直接DB；输入来自Pg resolver","无","无","无","核心用户授权","ESM/Date/Array","无","无模块加载副作用","无注册","synthetic tests覆盖正常分支，未覆盖异常JSON和caller前置","无资源","失败由AccessPipeline记录并传播；纯函数无回滚","TC-AU-010-001..014及探针","主干高，异常边界和二级调用低；formal命令阻塞","permission specs/handoff","旧文档问题经代码探针重新验证，不直接继承标签","根export公共函数/类型","smart-wing-authz模型不同；AccessOperations有相邻scopeContains","否；生产关键内核","7个runtime授权编译失败","[FACT] 深入审阅；默认拒绝/顺序清晰，两个安全边界问题已确认"
"FILE-AU-010-007","01_core_hexin/packages/authz/src/Scope.ts","@shop/authz","TypeScript源码","44d42106b330c3f4f3be113c7798862425459144","15","全文件逐字段深入审阅","Codex主审","2026-09-14","AU-010","CP-10","P2 F-0055","否","E-AU-010-002/006/010；exports/scope-probes","是","定义Scope及ScopeGrant跨包结构","15源码消费者、Policy/PgResolvers/Console","类型编译与DB JSON投影","Scope/ScopeGrant","Authz/Commerce/Console/SDK","kind/id/可选tenant/path、permissions/effective/expires","类型对象","对象本身未冻结；readonly仅TS","DB通过Pg resolver产生但本文件无SQL","无","无","无","结构承载权限范围","TypeScript","无","仅类型","无注册","生产DB JSON无本文件runtime parser；测试对象均规范","无","异常值由consumer拒绝或可能错误allow","Policy/Pipeline/Pg/NodeBound tests","字段主干有覆盖；tenant可选对层级scope过宽","边界模型/permission specs","代码把tenant全kind可选；文档要求非平台完整，存在冲突","根export公共类型","smart-wing ResourceScope字段模型不同","否","所有scope消费者类型检查失败","[FACT] 深入审阅；类型简洁但不能表达kind依赖tenant不变量"
"FILE-AU-010-008","01_core_hexin/packages/authz/src/ScopeKind.ts","@shop/authz","TypeScript源码","8e65f1f33901052243b19d0f2a47e81518f863f3","2","全文件逐项深入审阅","Codex主审","2026-09-14","AU-010","CP-10","P2既有F-0032补强","否","E-AU-010-002/009；exports","是","定义11个canonical scope kind及union","PermissionCatalog/Console/AccessOperations/tests","模块import时","SCOPE_KINDS/ScopeKind","4个直接SCOPE_KINDS消费者+类型消费者","静态kind数组","共享可变数组/union类型","导出数组可被同进程改写","无","无","无","无","决定schema/目录接受kind","ESM/TypeScript","声明数组","数组未freeze；无其它副作用","无注册","测试只断言初始等值，不测mutation","无","进程重启恢复源码值","Policy.test/Console tests","初始值可信；immutability无oracle","边界模型","初始11类与代码一致","根export公共值/类型","多处手工schema是相邻实现","否","Console schema与PermissionCatalog编译失败","[FACT] 深入审阅；目录权威活跃，运行不可变性不成立"
"FILE-AU-010-009","01_core_hexin/packages/authz/src/index.ts","@shop/authz","TypeScript barrel源码","9a26369d7c70ca67a3cf11696f357e4e14f7d24c","6","全文件逐导出深入审阅","Codex主审","2026-09-14","AU-010","CP-10","G1关联DC-0012","否","E-AU-010-002/003/013；exports","是","统一6个模块根入口","29源码import和4个package依赖","@shop/authz根路径解析","18个声明符号经export*","Console/SDK/Commerce/tests；contractgen绕过","模块导出图","公开API","无自身状态；加载Catalog会构造Map","无","无","无","无","转发授权公共面","ESM/TypeScript","触发依赖模块加载","PermissionCatalog重复检查可能在加载抛错","无注册","decide公共但生产无caller；测试消费","无","修复依赖模块后重新加载","全部相关测试","barrel完整；formal执行阻塞","package公共API","未标deprecated","根export公共API；仓外消费者未知","smart-wing-authz是不同package","否；公共根入口","29源码消费者模块解析失败","[FACT] 深入审阅；边界清晰，但contractgen绕过正式入口"
"FILE-AU-010-010","01_core_hexin/packages/authz/tsconfig.json","@shop/authz","JSON TypeScript配置","0f6383cab43123aeb6ab3f794db4c36deebb0dad","5","全文件逐字段深入审阅","Codex主审","2026-09-14","AU-010","CP-10","未发现独立问题","否","E-AU-010-002/016；validation","是","继承根TS配置并纳入src","tsc workspace script","typecheck/build/lint","无代码导出","TypeScript compiler","extends/include","编译诊断","无","无","无","无","无","无直接权限；决定类型检查范围","TypeScript 5.9.3/root config","无","无运行副作用","无注册","include覆盖test与src；本地缺tsc使正式入口阻塞","无","安装锁定依赖后重跑；本AU不安装","npm run typecheck --workspace @shop/authz","入口正确但未执行源码检查","AU-010 validation","与package脚本一致","构建配置","继承根config，无重复实现","否","包typecheck/build失去配置","[FACT] 深入审阅；结构简单，结果因环境依赖UNKNOWN"
