"编号","路径","行数","类型","入口","状态/结论"
"FILE-AU-017-001","package.json","51","package清单","package export/Console/Storybook","已深入审阅","实现/契约已审；未发现独立问题"
"FILE-AU-017-002","src/AccessDenied.component.test.tsx","32","测试源码","package export/Console/Storybook","已深入审阅","P2 F-0077/F-0078"
"FILE-AU-017-003","src/AccessDenied.tsx","107","TypeScript源码","package export/Console/Storybook","已深入审阅","P2 F-0077/F-0078"
"FILE-AU-017-004","src/AppBoundary.tsx","15","TypeScript源码","package export/Console/Storybook","已深入审阅","G1 DC-0021"
"FILE-AU-017-005","src/Badge.tsx","16","TypeScript源码","package export/Console/Storybook","已深入审阅","实现/契约已审；未发现独立问题"
"FILE-AU-017-006","src/Bootstrap.test.tsx","17","测试源码","package export/Console/Storybook","已深入审阅","G1 DC-0021"
"FILE-AU-017-007","src/Bootstrap.tsx","20","TypeScript源码","package export/Console/Storybook","已深入审阅","G1 DC-0021"
"FILE-AU-017-008","src/Brand.test.tsx","11","测试源码","package export/Console/Storybook","已深入审阅","P3 F-0080"
"FILE-AU-017-009","src/Brand.tsx","19","TypeScript源码","package export/Console/Storybook","已深入审阅","P3 F-0080"
"FILE-AU-017-010","src/Button.tsx","34","TypeScript源码","package export/Console/Storybook","已深入审阅","实现/契约已审；未发现独立问题"
"FILE-AU-017-011","src/Dialog.component.test.tsx","20","测试源码","package export/Console/Storybook","已深入审阅","实现/契约已审；未发现独立问题"
"FILE-AU-017-012","src/Dialog.stories.tsx","42","Storybook源码","package export/Console/Storybook","已深入审阅","P3 F-0079"
"FILE-AU-017-013","src/Dialog.tsx","45","TypeScript源码","package export/Console/Storybook","已深入审阅","实现/契约已审；未发现独立问题"
"FILE-AU-017-014","src/Divider.tsx","14","TypeScript源码","package export/Console/Storybook","已深入审阅","G1 DC-0021"
"FILE-AU-017-015","src/Empty.tsx","5","TypeScript源码","package export/Console/Storybook","已深入审阅","实现/契约已审；未发现独立问题"
