"证据编号","证据类型","时间/基线","入口/位置","观察","可证明","不可证明","复现/复核","敏感性"
"E-AU-003-001","Git 状态","2026-09-13；固定基线","branch/status/rev-parse/merge-base","开工 HEAD 6a6b4145824848d63d714d3f1757c38ca5222f94；工作区干净；merge-base 为 5a1ce71eebbefaa826368a9e1dc17730f9363bc4","AU-003 从 CP-02 续接且未变基到后续 origin","提交前最终差异范围","重复 status、HEAD、merge-base 与 staged scope","无"
"E-AU-003-002","文件与行数","固定基线","commerce/src/entry；43 个深审文件","37 个 entry TS 中 29 个生产入口/798 行、8 个测试；本 AU 深审 43 文件/1904 行，结构审 51 文件","本单元覆盖分母和深度","全部业务实现已深审","按 git tree、后缀与物理行重算","无"
"E-AU-003-003","构建发现","固定基线","build-commerce.mjs:4-30；service-targets.mjs:1-14","Commerce 全量构建按 *Main.ts 发现 28 个 entry，并显式追加 9 个 seed/local-infra 入口；正式 service 白名单是 10 target/19 entry；JobsEntrypoint 不在两者","全量构建面与正式发布面的真实边界","图外入口无外部消费者","重枚举 entry 名称、显式追加项并与 serviceTargets 对账","无"
"E-AU-003-004","发布依赖","固定基线","zdt-next.release.json:103-345","10 个 service target 均声明 after database-migration；migration target 单独构建、打包、restart none","制品拓扑和发布顺序","systemd 开机自动执行迁移","逐 target 对账 artifactInputs/after/build","无"
"E-AU-003-005","API 启动内核","固定基线","ApiBootstrap.ts:60-100；NodeServer.ts:18-64","configure 后加载 selected modules，冻结 buses/routes/jobs/extensions/container；NodeServer 绑定 loopback、2 MiB body、超时和 node context","API 注册、冻结、监听和关闭顺序","每个业务 handler 正确或线上端口可达","从 Main 反向重追 runtime/bootstrap/listen/signal","无"
"E-AU-003-006","API 组成","固定基线","7 个 API Main；IdentityRegistrationApiEntrypoint.test.ts:47-134","Identity 条件暴露 68/70 operations；Mall 5、Support 7、Purchase 7、Web 19、Catalog 8、Payment Webhook 1","正式入口的模块/operation 上界","operation 内权限、事务和业务正确性","逐 Main、operation 常量和入口测试对账","无"
"E-AU-003-007","运行职责","固定基线","process-map.csv；app/modules.ts:36-46","聚合 API/Jobs 与 7+3 个专用进程并存；正式 target 只选择专用进程","运行单元职责和图内/图外状态","图外入口可删除","按入口→制品→unit→生产进程反向核对","无"
"E-AU-003-008","Ready 语义","固定基线","entry/*ReadyMain.ts；对应 systemd ExecStartPre/Post","API HTTP、自建 runtime、curl、Webhook 负向业务探针四种模型并存；Jobs Ready 在 Main 前只校验依赖","每种探针真实测量的对象","未被测量的运行行为一定失败","按 readiness.csv 逐 unit 复核","无"
"E-AU-003-009","Jobs 注册","固定基线","JobsBootstrap.ts:20-36；app/jobs.ts:77-176；三个专用 Jobs runtime/Main","Full Jobs 注册 32 modules、33 QueueJobs、OutboxRelay、RuntimeScheduler；生产 target 使用 identity/catalog/payment 专用集合","消费者进程和任务集合","33 个任务生产者均存在或 processor 幂等","按 events-and-jobs.csv 逐 ID 对账","无"
"E-AU-003-010","JobRunner 实现","固定基线","JobRunner.ts:47-140；QueueJob.ts:6-18","claim 使用 SKIP LOCKED/租约，processor 有 deadline/heartbeat；失败在事务内 retry/deadletter","消费者重试、租约与失败状态转换骨架","每个 processor 的幂等和数据库函数实现正确","按 run/process/fail 三路径复核","无"
"E-AU-003-011","反事实运行","本机 Node；2026-09-13","JobRunner.ts:143-148 同形 wait","同一 AbortSignal 完成 12 次正常 timeout 后 retainedAbortListeners=12","正常 timeout 没有清理 listener，保留量按轮询次数增长","生产已耗尽内存或发生告警","用 getEventListeners 重跑 12 次 wait","无"
"E-AU-003-012","迁移入口","固定基线","build-database-migration.mjs:6-18；database-migration-executor.mjs:12-49；remote/agent.mjs:734-798","release 制品含 executor/SQL/history；按 source SHA 建执行目录，以 database-owner 身份运行并输出 ledger 前后回执","当前正式迁移执行者、输入和回执","线上 ledger 当前值或每个 SQL 语义","从 target→remote agent→executor→runner 反向复核","凭据值未读取/记录"
"E-AU-003-013","迁移事务","固定基线","MigrationRunner.ts:51-78；300 个 SQL 机械盘点","runner 执行完整 SQL 后再独立 INSERT ledger；207 个现代 SQL 自含 BEGIN/COMMIT，93 个无显式事务均为冻结历史","SQL 提交与 ledger 登记不是同一事务","该窗口已经在线上发生或必然造成数据损坏","检查 query 顺序并按 migration 文件统计事务标记","无"
"E-AU-003-014","迁移恢复","固定基线","remote policy:57；remote/agent.mjs:499-529,580-613,840-857；remote-agent.test:586-607","数据库 migration forward-only、无 delivery snapshot；后续 target 失败只恢复 pointer，不回滚数据库","发布系统声明的恢复边界","外部备份不存在","复核 policy、实现和保存该行为的测试","无"
"E-AU-003-015","生产只读状态","2026-09-13","ECS IMDS + systemctl show","实例 i-2zeewhay0farxq8lucrd；12 个目标服务实例 active/running；legacy migration unit inactive/dead","当前时点进程名、Main/Ready 命令和 unit 状态","固定基线代码正在生产运行或全日可用","重新核验 IMDS 后读取限定 unit 属性","未读取环境文件/凭据"
"E-AU-003-016","生产日志","2026-09-13 00:00 后","identity notification L0 journal","NRestarts=189；依赖不可用时 ReadyMain 出现 unsettled top-level await，06:26:31 Ready 后 Main 启动；未见 MaxListeners 文本","ExecStartPre 会阻断 Main 并自动重试","F-0012 未发生或已发生内存影响","限定 unit/time 读取 journal 关键行","日志未含凭据"
"E-AU-003-017","运行调用链","固定基线","MallProvisioningApiMain.ts:7-22；MallProvisioningModule.ts:1-8；ProvisioningOperations.ts:7-36","Mall Main 注册模块；create operation 实例化并调用 CreateMall plan/preflight/execute","CreateMall 是 mall-provisioning-api 生产制品的可达实现","该操作线上被调用频率","从 Main 反向到 operation 与 class 重追","无"
"E-AU-003-018","发布分类反事实","固定基线","release rule:473-477,552-557；planner.ts:59-92","对 CreateMall.ts 单文件调用 classifyChanges 得 targets=[]、validations=[]、dynamicImpact=[]、impact=validation-only","默认 affected-target 计划不会构建该运行消费者","显式指定 target 时也不会构建","用 loadAdapter + classifyChanges 重跑","无"
"E-AU-003-019","Catalog 探针","固定基线","CatalogOperatorApiReadyMain.ts:4-15；sfl-catalog-api@.service:18-22；remote policy:53","ExecStartPost 创建/关闭第二个 runtime；不访问 Main 的 HTTP；release health 仅 systemctl is-active","当前探针不能证明真实端口和 route 响应","当前 Catalog API 实际不可用","对比 Main/listen、runtime health route和其他 API Ready","无"
"E-AU-003-020","定向测试","固定基线环境","zdt-adapter/planner/migration audit","adapter 18/18；planner 15/16，1 项缺 esbuild；migration audit 缺 typescript；未安装依赖","adapter/recovery 契约和环境阻塞事实","Commerce 全测试、类型或构建通过","见 tests.csv 的命令和退出状态","无"
"E-AU-003-021","历史","固定基线前历史","git blame/log；history.md","关键规则、wait helper、Catalog Ready 和 forward-only 契约的引入链已记录","设计持续时间和变更来源线索","历史意图等于当前正确性","按列出的 commit 重查 diff","无"
"E-AU-003-022","staging 冲突","固定基线","staging/artifacts.yml:39-43,102-106；build-commerce.mjs:4-8；staging full-jobs unit:23","清单称 FullJobsMain 无独立制品，但构建会生成；unit 固定 ExecCondition=false","staging 资料与构建发现有漂移且当前被阻断","任一文件是垃圾或生产受影响","重跑文件名发现并检查 unit 条件","无"
