"抽检编号","入口","首次结论","第二次重追路径","结果","独立性","后续"
"S-AU-001-001","Console 模块注册","15 个显式模块","ConsoleRouter → consoleModules → 15 imports → manifest entry","一致","同一主审的反向抽检；不是独立复核","逐模块 AU"
"S-AU-001-002","Console 路由物化","manifest 生成 route object","ScopeShell/Router consumers → materialize functions → lazy loader","一致","同一主审抽检","逐页面 AU"
"S-AU-001-003","Storefront public API","Compatibility router 有运行消费者","vite worker main → worker import → routePublicRequest","一致","同一主审抽检","Storefront/Compatibility AU"
"S-AU-001-004","Commerce 模块加载","32 模块进入 API/Jobs","target Main → bootstrap → COMMERCE_MODULES → ModuleRegistry.load","一致","同一主审抽检","AU-003"
"S-AU-001-005","HTTP 路由","OperationCatalog 驱动","ApiBootstrap.freeze → RouteRegistry → DefinedModule/OperationController","一致","同一主审抽检","契约专项"
"S-AU-001-006","Jobs","33 项显式注册","Jobs Main → JobsBootstrap → app/jobs → JobRegistry.freeze","一致","同一主审抽检","Jobs 专项"
"S-AU-001-007","正式服务 build","10 个目标白名单","release manifest build argv → build-commerce-service → service-targets","一致","同一主审抽检","AU-003/AU-004"
"S-AU-001-008","发布影响","两类依赖图","release impactResolvers → adapter dynamic load → workspace/service resolver","一致","同一主审抽检","release engine 专项"
"S-AU-001-009","Playwright 入口","4 个 workspace 不存在","root test:e2e → config webServer → npm 真实解析","一致并复现失败","同一主审反事实验证","F-0002 修复后复验"
"S-AU-001-010","fufu Console","release pointer 与 Caddy 分裂","publicAcceptance → release pointer；独立从 HTTP → active Caddy → runtime current","一致并复现 404","同一主审双向取证；不满足 P1 独立复核","RV-0001"
