"文件编号","路径","所属模块","文件类型","基线 blob SHA","物理行数","审阅范围","审阅者","审阅日期","审计单元","检查点","风险等级","是否二次复核","详细记录","覆盖清单同步","1 存在理由","2 创建或加载者","3 加载条件","4 导出内容","5 导出消费者","6 输入","7 输出","8 状态读写","9 数据库读写","10 网络调用","11 事件","12 环境变量","13 用户权限依赖","14 运行环境依赖","15 初始化副作用","16 模块加载副作用","17 注册职责","18 测试生产差异","19 资源释放","20 失败恢复","21 对应测试","22 测试可信度","23 对应文档","24 文档准确性","25 兼容职责","26 等价重复实现","27 可否独立删除","28 删除首个失败点","29 最终结论与置信度"
"FILE-AU-012-001","01_core_hexin/packages/api-contract/package.json","@smart-wing/api-contract","JSON依赖清单","b6928176d7b0bb20e0c0d06b8061f8f728d77cf1","11","全文件逐字段/逐关键逻辑深入审阅","Codex主审","2026-09-14","AU-012","CP-12","P3 F-0060","否","AU-012 records","是","声明private workspace根入口和taxonomy JSON subpath","npm workspace/package解析","源码import、构建或测试","root TS入口+taxonomy JSON","33个包引用文件","package解析","模块/JSON解析","无","无","无","无","无","消费者自身权限","Node/TS/bundler","无","package字段解析","无注册","测试由Storefront聚合；无自有scripts","无","修复入口后恢复质量信号","TC-005..007","静态入口确定；未装依赖","Master Charter/包文档","部分漂移；E-AU-012-010","兼容共享包","@shop/contract非等价","G0","删除时33个引用/构建先失败","[FACT]活跃包；独立质量入口缺失"
"FILE-AU-012-002","01_core_hexin/packages/api-contract/src/catalog-taxonomy.json","@smart-wing/api-contract","JSON契约数据","c7e36bd1c6a399894c6fbf756c553f8fa7af3f66","143","全文件逐字段/逐关键逻辑深入审阅","Codex主审","2026-09-14","AU-012","CP-12","P2 F-0064","否","AU-012 records","是","提供商城机器分类树、叶子和移动浏览组","Storefront JSON subpath import","Storefront构建/模块加载","JSON对象","taxonomy.ts；数据库code接缝","人工分类数据","9/25/31层级和mobileBrowse","import对象可变","数据库迁移使用同code但本文件不读写","无","无","无","公开商品读取间接使用","bundler JSON import","无","JSON对象构造","无注册","无直接测试；生产真实消费","无","修正JSON/回退文件","PROBE-001","父链探针直接；无页面视觉","Multi-platform/Master Charter","注释称含生成miniapp但固定仓库无该链","历史分类code","数据库taxonomy表/函数","G0","Storefront构建或分类映射失败","[CONFLICT]一个dangling L2；高置信"
"FILE-AU-012-003","01_core_hexin/packages/api-contract/src/commerce.ts","@smart-wing/api-contract","TypeScript源码","d4e1c1fd6547b31f5adb58269ef9070c8dba9bb3","69","全文件逐字段/逐关键逻辑深入审阅","Codex主审","2026-09-14","AU-012","CP-12","未发现独立问题","否","AU-012 records","是","统一订单/支付状态词汇与转换","index root export/Commerce API import","模块加载与支付路由","状态常量、类型、toPaymentStatus","wechatPaymentRoutes两处","attempt/order状态","六类PaymentStatus","只读常量；对象可变未外部使用","无","无","无","无","路由授权在调用方","Node/Worker TS","常量对象","无外部副作用","无注册","包无直接测试；route有3样本","无","下一请求重算","TC route/PROBE-004","真实函数；产品全矩阵未定","支付架构资料","现行调用一致","兼容支付响应","canonical commerce mapper不同语义","G0","支付路由编译失败","[FACT]主干清晰；状态全矩阵存档"
"FILE-AU-012-004","01_core_hexin/packages/api-contract/src/delivery-matrix.json","@smart-wing/api-contract","JSON契约数据","63b80b21e9f027c9a1819e5fd45d71d8a8b424cb","67","全文件逐字段/逐关键逻辑深入审阅","Codex主审","2026-09-14","AU-012","CP-12","P2 F-0063；G2 DC-0014","否","AU-012 records","是","记录五项多端完成度和证据","无仓内代码加载者","仅人工/文档读取","JSON数据","无","人工状态/evidence路径","capability状态","无运行加载","无","无","无","无","无","无运行依赖","无","无代码副作用","无注册","正式checker不读取","无","人工恢复历史版本","PROBE-002","路径验证直接","MULTI-PLATFORM标准","[STALE]四路径已不存在","旧微信目录完成度","mvp.yml+delivery.yml平行事实","G2","仓内无首个运行失败；资料状态丢失","[CONFLICT]孤立且漂移；不得删除"
"FILE-AU-012-005","01_core_hexin/packages/api-contract/src/index.ts","@smart-wing/api-contract","TypeScript barrel/类型契约","2c1c5cb0cde5703949d87e3d9c26e893560b99a6","117","全文件逐字段/逐关键逻辑深入审阅","Codex主审","2026-09-14","AU-012","CP-12","关联P3 F-0060","否","AU-012 records","是","聚合公开运行值和兼容授权类型","package root import","任意包消费者加载","10运行导出+35类型","Commerce API/Smart Authz等","编译期与子模块","ESM导出/类型","无自身状态","无","无","无","无","调用方权限","Node/Worker/browser TS","import permissions常量","加载permissions目录","无注册","类型无runtime验证","无","修复子模块或回退","间接测试","消费者编译可发现字段漂移；独立typecheck缺失","Master Charter","总体吻合；退役状态UNKNOWN","兼容API/授权","@shop contract/authz不等价","G0","33个消费者编译/import失败","[FACT]活跃公共面"
"FILE-AU-012-006","01_core_hexin/packages/api-contract/src/memberCode.ts","@smart-wing/api-contract","TypeScript契约","f777c3112b49f24877de4ebfa87c99ea6ef0465b","22","全文件逐字段/逐关键逻辑深入审阅","Codex主审","2026-09-14","AU-012","CP-12","未发现独立问题","否","AU-012 records","是","共享会员码协议前缀、45秒和响应类型","index export/memberCodeRoutes import","会员码challenge/verify","2常量+2接口","Commerce API memberCodeRoutes","无/编译期","协议值/类型","无","无","无","无","无","调用方校验权限","Node/Worker TS","常量","无","无注册","接口零源消费者；常量真实使用","无","回退常量/调用方同步","route tests","协议断言直接；响应接口无消费者","会员码资料","当前常量与路由一致","兼容会员码","无等价单一源","G0（类型符号G1）","会员码route测试/编译失败","[FACT]文件活跃；部分类型弱入口"
"FILE-AU-012-007","01_core_hexin/packages/api-contract/src/permissions.test.ts","@smart-wing/api-contract","测试源码","042c1d05c21e669de22c2c298e41c3ada1a60015","19","全文件逐字段/逐关键逻辑深入审阅","Codex主审","2026-09-14","AU-012","CP-12","P3 F-0060","否","AU-012 records","是","验证permission目录闭合和critical样本","Storefront Vitest glob","根test:unit运行Storefront时","2 tests","测试进程","真实permissions模块","Vitest断言","无","无","无","无","无","无","Vitest","无","导入真实目录","无注册","自身即测试；无生产加载","无","修正测试/实现","TC-001/002","真实oracle但样本有限；本次未执行","目录注释","测试名与断言一致","唯一直接目录测试","无","G0","目录回归信号减弱","[FACT]测试有效但入口寄生"
"FILE-AU-012-008","01_core_hexin/packages/api-contract/src/permissions.ts","@smart-wing/api-contract","TypeScript源码/目录","e78c28e8b31c3f60a5a26be6214afce938bd4a06","192","全文件逐字段/逐关键逻辑深入审阅","Codex主审","2026-09-14","AU-012","CP-12","P2 F-0032","否","AU-012 records","是","定义86权限、中文分组、risk和mvp","index/export与直接内部导入","授权/Console/测试加载","PERMISSIONS/PERMISSION_CATALOG/types","23个直接使用文件及间接路由","无","86定义","顶层构造公开可变对象/数组","数据库迁移使用code但文件不读写","无","无","无","授权调用方依赖code","Node/Worker/browser","构造86对象","顶层构造目录","无注册","测试仅闭合/4 critical","无","重启恢复进程值；代码回退","TC-001/002/PROBE-003","闭合直接；immutability未测","Master Charter","86项当前事实；旧文档称85已漂移","兼容permission真值","canonical authz仅8 code重合","G0","Authz/Commerce编译或授权code失败","[FACT]活跃且闭合；runtime可变"
"FILE-AU-012-009","01_core_hexin/packages/api-contract/src/platform.test.ts","@smart-wing/api-contract","测试源码","70c047692d53562dba608bbd017381f132577c8c","12","全文件逐字段/逐关键逻辑深入审阅","Codex主审","2026-09-14","AU-012","CP-12","P3 F-0060","否","AU-012 records","是","固定required/reserved平台集合","Storefront Vitest glob","根test:unit运行Storefront时","2 tests","测试进程","真实platform模块","Vitest断言","无","无","无","无","无","无","Vitest","无","导入真实常量","无注册","自身即测试","无","修正测试/实现","TC-003/004","直接oracle但不查delivery matrix","多端标准","集合一致但发布事实不覆盖","未来客户端兼容","无","G0","平台集合回归信号减弱","[FACT]测试有效但入口寄生"
"FILE-AU-012-010","01_core_hexin/packages/api-contract/src/platform.ts","@smart-wing/api-contract","TypeScript平台契约","a47ef04aedad690528ae57ce800da95054893721","94","全文件逐字段/逐关键逻辑深入审阅","Codex主审","2026-09-14","AU-012","CP-12","P2 F-0032；G1 DC-0015","否","AU-012 records","是","定义五平台、异步语义和客户端adapter接口","index package export","消费者import时","3运行常量+15类型","无仓内包外源caller；本包测试","编译期/无","平台集合/类型","运行常量公开可变","无","adapter由未来实现","无","无","未来客户端身份/支付间接","TS平台实现","常量构造","无外部副作用","无注册","只有集合测试；无实现","无","重启或回退","TC-003/004/PROBE-003","集合直接；接口无实现验证","多端标准","意图明确但实现/矩阵漂移","未来native兼容","当前SDK/adapter体系不同","G1","仓外类型消费者或未来build失败","[FACT]弱入口公共契约；不得删除"
