"文件编号","路径","所属模块","文件类型","基线 blob SHA","物理行数","审阅范围","审阅者","审阅日期","审计单元","检查点","风险等级","是否二次复核","详细记录","覆盖清单同步","1 存在理由","2 创建或加载者","3 加载条件","4 导出内容","5 导出消费者","6 输入","7 输出","8 状态读写","9 数据库读写","10 网络调用","11 事件","12 环境变量","13 用户权限依赖","14 运行环境依赖","15 初始化副作用","16 模块加载副作用","17 注册职责","18 测试生产差异","19 资源释放","20 失败恢复","21 对应测试","22 测试可信度","23 对应文档","24 文档准确性","25 兼容职责","26 等价重复实现","27 可否独立删除","28 删除首个失败点","29 最终结论与置信度"
"FILE-AU-004-001",".github/workflows/deploy-oss.yml","GitHub发布入口","YAML工作流","6f5266a30465b43db59cde43942cd5652dd8a768","116","全文件逐逻辑块","Codex 主审","2026-09-13","AU-004","CP-04","P2/F-0016; P2/F-0019","否（P2及以下；专项可再复核）","summary/evidence/target-map/systemd-map/edge-map/functions/fmea","已同步至 CP-04","正式发布入口","人工 workflow_dispatch","固定基线正式入口、静态加载或运维调用","配置契约","GitHub runner与发布目标","Git ref、配置、环境变量、制品或调用参数","计划、制品、pointer、进程、回执或外部资源状态","发布state、文件pointer、unit或activation ledger","仅migration间接写库；本AU不深审数据库","GitHub/SSH/HTTP/OSS/Cloudflare中适用者","workflow dispatch、timer/path或无业务事件","见configuration.csv；未读取secret值","主机/root/zhudatuan/GitHub权限；业务授权不适用","Node22、Linux/systemd/Caddy/Cloudflared/OSS/Cloudflare中适用者","配置加载或CLI执行时生效","workflow/CLI/脚本顶层执行；库/配置无未登记副作用","见target-map/systemd-map/artifact-map","测试与GitHub/ECS/公网差异见tests.csv","锁、临时目录、ledger或systemd中适用者","Direct/guarded/OSS/AutoNode/retention恢复见状态/FMEA","见tests.csv","仅对执行反事实与源码控制流成立；环境阻塞未伪装通过","历史/运维文档只作线索","以固定基线注册、实际调用与只读运行证据为准","正式发布、运行、恢复或控制面责任","相邻能力语义不等价","否；未满足G3且未完成删除专项二审","对应target、control-plane、恢复或唯一运维契约首先失效","[FACT] 纳入AU-004发布与节点运行链"
"FILE-AU-004-002",".github/workflows/deploy.yml","GitHub发布入口","YAML工作流","d7d4963c912a7225e65373fa9e411b96874d509f","111","全文件逐逻辑块","Codex 主审","2026-09-13","AU-004","CP-04","P1候选/F-0015; P2/F-0019; P2/F-0020","是（RV-0001或RV-0002）","summary/evidence/target-map/systemd-map/edge-map/functions/fmea","已同步至 CP-04","正式发布入口","人工 workflow_dispatch","固定基线正式入口、静态加载或运维调用","配置契约","GitHub runner与发布目标","Git ref、配置、环境变量、制品或调用参数","计划、制品、pointer、进程、回执或外部资源状态","发布state、文件pointer、unit或activation ledger","仅migration间接写库；本AU不深审数据库","GitHub/SSH/HTTP/OSS/Cloudflare中适用者","workflow dispatch、timer/path或无业务事件","见configuration.csv；未读取secret值","主机/root/zhudatuan/GitHub权限；业务授权不适用","Node22、Linux/systemd/Caddy/Cloudflared/OSS/Cloudflare中适用者","配置加载或CLI执行时生效","workflow/CLI/脚本顶层执行；库/配置无未登记副作用","见target-map/systemd-map/artifact-map","测试与GitHub/ECS/公网差异见tests.csv","锁、临时目录、ledger或systemd中适用者","Direct/guarded/OSS/AutoNode/retention恢复见状态/FMEA","见tests.csv","仅对执行反事实与源码控制流成立；环境阻塞未伪装通过","历史/运维文档只作线索","以固定基线注册、实际调用与只读运行证据为准","正式发布、运行、恢复或控制面责任","相邻能力语义不等价","否；未满足G3且未完成删除专项二审","对应target、control-plane、恢复或唯一运维契约首先失效","[CONFLICT] 正式入口固定Direct且base=HEAD^"
"FILE-AU-004-003",".github/workflows/quality.yml","GitHub发布入口","YAML工作流","a05df9fddae34f5ac14630c79dba1a165d99871e","379","全文件逐逻辑块","Codex 主审","2026-09-13","AU-004","CP-04","P2/F-0019","否（P2及以下；专项可再复核）","summary/evidence/target-map/systemd-map/edge-map/functions/fmea","已同步至 CP-04","正式发布入口","人工 workflow_dispatch","固定基线正式入口、静态加载或运维调用","配置契约","GitHub runner与发布目标","Git ref、配置、环境变量、制品或调用参数","计划、制品、pointer、进程、回执或外部资源状态","发布state、文件pointer、unit或activation ledger","仅migration间接写库；本AU不深审数据库","GitHub/SSH/HTTP/OSS/Cloudflare中适用者","workflow dispatch、timer/path或无业务事件","见configuration.csv；未读取secret值","主机/root/zhudatuan/GitHub权限；业务授权不适用","Node22、Linux/systemd/Caddy/Cloudflared/OSS/Cloudflare中适用者","配置加载或CLI执行时生效","workflow/CLI/脚本顶层执行；库/配置无未登记副作用","见target-map/systemd-map/artifact-map","测试与GitHub/ECS/公网差异见tests.csv","锁、临时目录、ledger或systemd中适用者","Direct/guarded/OSS/AutoNode/retention恢复见状态/FMEA","见tests.csv","仅对执行反事实与源码控制流成立；环境阻塞未伪装通过","历史/运维文档只作线索","以固定基线注册、实际调用与只读运行证据为准","正式发布、运行、恢复或控制面责任","相邻能力语义不等价","否；未满足G3且未完成删除专项二审","对应target、control-plane、恢复或唯一运维契约首先失效","[FACT] 纳入AU-004发布与节点运行链"
"FILE-AU-004-004","scripts/deploy-now.sh","GitHub发布入口","Shell脚本","45a950de03b8c9fea7b80dc53733d9790957c3f3","45","全文件逐逻辑块","Codex 主审","2026-09-13","AU-004","CP-04","未发现独立问题；边界证据","否（P2及以下；专项可再复核）","summary/evidence/target-map/systemd-map/edge-map/functions/fmea","已同步至 CP-04","Direct便捷入口","人工本地调用","固定基线正式入口、静态加载或运维调用","见exports/functions或顶层入口","GitHub CLI","Git ref、配置、环境变量、制品或调用参数","计划、制品、pointer、进程、回执或外部资源状态","发布state、文件pointer、unit或activation ledger","仅migration间接写库；本AU不深审数据库","GitHub/SSH/HTTP/OSS/Cloudflare中适用者","workflow dispatch、timer/path或无业务事件","见configuration.csv；未读取secret值","主机/root/zhudatuan/GitHub权限；业务授权不适用","Node22、Linux/systemd/Caddy/Cloudflared/OSS/Cloudflare中适用者","配置加载或CLI执行时生效","workflow/CLI/脚本顶层执行；库/配置无未登记副作用","见target-map/systemd-map/artifact-map","测试与GitHub/ECS/公网差异见tests.csv","锁、临时目录、ledger或systemd中适用者","Direct/guarded/OSS/AutoNode/retention恢复见状态/FMEA","见tests.csv","仅对执行反事实与源码控制流成立；环境阻塞未伪装通过","历史/运维文档只作线索","以固定基线注册、实际调用与只读运行证据为准","正式发布、运行、恢复或控制面责任","相邻能力语义不等价","否；未满足G3且未完成删除专项二审","对应target、control-plane、恢复或唯一运维契约首先失效","[FACT] 纳入AU-004发布与节点运行链"
"FILE-AU-004-005","02_platform_pingtai/infrastructure/release/install-ai-delivery-agent.sh","发布声明与控制面","Shell脚本","990e1dd05a07e7b5cca79f1fb8e6462b1c916cd1","253","全文件逐逻辑块","Codex 主审","2026-09-13","AU-004","CP-04","P2/F-0017","否（P2及以下；专项可再复核）","summary/evidence/target-map/systemd-map/edge-map/functions/fmea","已同步至 CP-04","target/node/policy事实源","release adapter/engine","固定基线正式入口、静态加载或运维调用","见exports/functions或顶层入口","planner/agent/installer","Git ref、配置、环境变量、制品或调用参数","计划、制品、pointer、进程、回执或外部资源状态","发布state、文件pointer、unit或activation ledger","仅migration间接写库；本AU不深审数据库","GitHub/SSH/HTTP/OSS/Cloudflare中适用者","workflow dispatch、timer/path或无业务事件","见configuration.csv；未读取secret值","主机/root/zhudatuan/GitHub权限；业务授权不适用","Node22、Linux/systemd/Caddy/Cloudflared/OSS/Cloudflare中适用者","配置加载或CLI执行时生效","workflow/CLI/脚本顶层执行；库/配置无未登记副作用","见target-map/systemd-map/artifact-map","测试与GitHub/ECS/公网差异见tests.csv","锁、临时目录、ledger或systemd中适用者","Direct/guarded/OSS/AutoNode/retention恢复见状态/FMEA","见tests.csv","仅对执行反事实与源码控制流成立；环境阻塞未伪装通过","历史/运维文档只作线索","以固定基线注册、实际调用与只读运行证据为准","正式发布、运行、恢复或控制面责任","相邻能力语义不等价","否；未满足G3且未完成删除专项二审","对应target、control-plane、恢复或唯一运维契约首先失效","[FACT] 纳入AU-004发布与节点运行链"
"FILE-AU-004-006","02_platform_pingtai/infrastructure/release/zdt-next.release.json","发布声明与控制面","JSON配置","6cdcd09d784d3aad9ecfd168b72e664c9db6794e","649","全文件逐逻辑块","Codex 主审","2026-09-13","AU-004","CP-04","P1候选/F-0001; P2/F-0017","是（RV-0001或RV-0002）","summary/evidence/target-map/systemd-map/edge-map/functions/fmea","已同步至 CP-04","target/node/policy事实源","release adapter/engine","固定基线正式入口、静态加载或运维调用","配置契约","planner/agent/installer","Git ref、配置、环境变量、制品或调用参数","计划、制品、pointer、进程、回执或外部资源状态","发布state、文件pointer、unit或activation ledger","仅migration间接写库；本AU不深审数据库","GitHub/SSH/HTTP/OSS/Cloudflare中适用者","workflow dispatch、timer/path或无业务事件","见configuration.csv；未读取secret值","主机/root/zhudatuan/GitHub权限；业务授权不适用","Node22、Linux/systemd/Caddy/Cloudflared/OSS/Cloudflare中适用者","配置加载或CLI执行时生效","workflow/CLI/脚本顶层执行；库/配置无未登记副作用","见target-map/systemd-map/artifact-map","测试与GitHub/ECS/公网差异见tests.csv","锁、临时目录、ledger或systemd中适用者","Direct/guarded/OSS/AutoNode/retention恢复见状态/FMEA","见tests.csv","仅对执行反事实与源码控制流成立；环境阻塞未伪装通过","历史/运维文档只作线索","以固定基线注册、实际调用与只读运行证据为准","正式发布、运行、恢复或控制面责任","相邻能力语义不等价","否；未满足G3且未完成删除专项二审","对应target、control-plane、恢复或唯一运维契约首先失效","[FACT] 纳入AU-004发布与节点运行链"
"FILE-AU-004-007","02_platform_pingtai/infrastructure/release/zdt-next.remote-policy.json","发布声明与控制面","JSON配置","3b2c6697131a09306467534691e79bd22ff7dd17","73","全文件逐逻辑块","Codex 主审","2026-09-13","AU-004","CP-04","未发现独立问题；边界证据","否（P2及以下；专项可再复核）","summary/evidence/target-map/systemd-map/edge-map/functions/fmea","已同步至 CP-04","target/node/policy事实源","release adapter/engine","固定基线正式入口、静态加载或运维调用","配置契约","planner/agent/installer","Git ref、配置、环境变量、制品或调用参数","计划、制品、pointer、进程、回执或外部资源状态","发布state、文件pointer、unit或activation ledger","仅migration间接写库；本AU不深审数据库","GitHub/SSH/HTTP/OSS/Cloudflare中适用者","workflow dispatch、timer/path或无业务事件","见configuration.csv；未读取secret值","主机/root/zhudatuan/GitHub权限；业务授权不适用","Node22、Linux/systemd/Caddy/Cloudflared/OSS/Cloudflare中适用者","配置加载或CLI执行时生效","workflow/CLI/脚本顶层执行；库/配置无未登记副作用","见target-map/systemd-map/artifact-map","测试与GitHub/ECS/公网差异见tests.csv","锁、临时目录、ledger或systemd中适用者","Direct/guarded/OSS/AutoNode/retention恢复见状态/FMEA","见tests.csv","仅对执行反事实与源码控制流成立；环境阻塞未伪装通过","历史/运维文档只作线索","以固定基线注册、实际调用与只读运行证据为准","正式发布、运行、恢复或控制面责任","相邻能力语义不等价","否；未满足G3且未完成删除专项二审","对应target、control-plane、恢复或唯一运维契约首先失效","[FACT] 纳入AU-004发布与节点运行链"
"FILE-AU-004-008","04_tools/release-engine/cli.mjs","Release Engine","JavaScript源码","b6ee1e36f0b7fe468597f4dc91e858b2ec6a69c9","90","全文件逐逻辑块","Codex 主审","2026-09-13","AU-004","CP-04","未发现独立问题；边界证据","否（P2及以下；专项可再复核）","summary/evidence/target-map/systemd-map/edge-map/functions/fmea","已同步至 CP-04","发布执行内核","workflow/CLI/tests","固定基线正式入口、静态加载或运维调用","见exports/functions或顶层入口","规划、打包、agent","Git ref、配置、环境变量、制品或调用参数","计划、制品、pointer、进程、回执或外部资源状态","发布state、文件pointer、unit或activation ledger","仅migration间接写库；本AU不深审数据库","GitHub/SSH/HTTP/OSS/Cloudflare中适用者","workflow dispatch、timer/path或无业务事件","见configuration.csv；未读取secret值","主机/root/zhudatuan/GitHub权限；业务授权不适用","Node22、Linux/systemd/Caddy/Cloudflared/OSS/Cloudflare中适用者","配置加载或CLI执行时生效","workflow/CLI/脚本顶层执行；库/配置无未登记副作用","见target-map/systemd-map/artifact-map","测试与GitHub/ECS/公网差异见tests.csv","锁、临时目录、ledger或systemd中适用者","Direct/guarded/OSS/AutoNode/retention恢复见状态/FMEA","见tests.csv","仅对执行反事实与源码控制流成立；环境阻塞未伪装通过","历史/运维文档只作线索","以固定基线注册、实际调用与只读运行证据为准","正式发布、运行、恢复或控制面责任","相邻能力语义不等价","否；未满足G3且未完成删除专项二审","对应target、control-plane、恢复或唯一运维契约首先失效","[FACT] 纳入AU-004发布与节点运行链"
"FILE-AU-004-009","04_tools/release-engine/src/adapter.mjs","Release Engine","JavaScript源码","31088aa5ccddab5b8e9e444164ae73e965fc95ee","103","全文件逐逻辑块","Codex 主审","2026-09-13","AU-004","CP-04","未发现独立问题；边界证据","否（P2及以下；专项可再复核）","summary/evidence/target-map/systemd-map/edge-map/functions/fmea","已同步至 CP-04","发布执行内核","workflow/CLI/tests","固定基线正式入口、静态加载或运维调用","见exports/functions或顶层入口","规划、打包、agent","Git ref、配置、环境变量、制品或调用参数","计划、制品、pointer、进程、回执或外部资源状态","发布state、文件pointer、unit或activation ledger","仅migration间接写库；本AU不深审数据库","GitHub/SSH/HTTP/OSS/Cloudflare中适用者","workflow dispatch、timer/path或无业务事件","见configuration.csv；未读取secret值","主机/root/zhudatuan/GitHub权限；业务授权不适用","Node22、Linux/systemd/Caddy/Cloudflared/OSS/Cloudflare中适用者","配置加载或CLI执行时生效","workflow/CLI/脚本顶层执行；库/配置无未登记副作用","见target-map/systemd-map/artifact-map","测试与GitHub/ECS/公网差异见tests.csv","锁、临时目录、ledger或systemd中适用者","Direct/guarded/OSS/AutoNode/retention恢复见状态/FMEA","见tests.csv","仅对执行反事实与源码控制流成立；环境阻塞未伪装通过","历史/运维文档只作线索","以固定基线注册、实际调用与只读运行证据为准","正式发布、运行、恢复或控制面责任","相邻能力语义不等价","否；未满足G3且未完成删除专项二审","对应target、control-plane、恢复或唯一运维契约首先失效","[FACT] 纳入AU-004发布与节点运行链"
"FILE-AU-004-010","04_tools/release-engine/src/planner.mjs","Release Engine","JavaScript源码","5ac687a0d6c90b5ebbdefc4d61c8ddf497363900","227","全文件逐逻辑块","Codex 主审","2026-09-13","AU-004","CP-04","P1候选/F-0015; P2/F-0020","是（RV-0001或RV-0002）","summary/evidence/target-map/systemd-map/edge-map/functions/fmea","已同步至 CP-04","发布执行内核","workflow/CLI/tests","固定基线正式入口、静态加载或运维调用","见exports/functions或顶层入口","规划、打包、agent","Git ref、配置、环境变量、制品或调用参数","计划、制品、pointer、进程、回执或外部资源状态","发布state、文件pointer、unit或activation ledger","仅migration间接写库；本AU不深审数据库","GitHub/SSH/HTTP/OSS/Cloudflare中适用者","workflow dispatch、timer/path或无业务事件","见configuration.csv；未读取secret值","主机/root/zhudatuan/GitHub权限；业务授权不适用","Node22、Linux/systemd/Caddy/Cloudflared/OSS/Cloudflare中适用者","配置加载或CLI执行时生效","workflow/CLI/脚本顶层执行；库/配置无未登记副作用","见target-map/systemd-map/artifact-map","测试与GitHub/ECS/公网差异见tests.csv","锁、临时目录、ledger或systemd中适用者","Direct/guarded/OSS/AutoNode/retention恢复见状态/FMEA","见tests.csv","仅对执行反事实与源码控制流成立；环境阻塞未伪装通过","历史/运维文档只作线索","以固定基线注册、实际调用与只读运行证据为准","正式发布、运行、恢复或控制面责任","相邻能力语义不等价","否；未满足G3且未完成删除专项二审","对应target、control-plane、恢复或唯一运维契约首先失效","[FACT] 纳入AU-004发布与节点运行链"
