"函数编号","文件编号","位置","1 唯一职责","2 参数来源","3 运行时校验","4 类型真实性","5 默认值","6 特殊输入","7 参数变异","8 外部可变状态","9 调用顺序依赖","10 隐藏前置条件","11 不变量","12 返回路径","13 抛错路径","14 提前返回","15 外部调用","16 数据库写入","17 日志","18 权限判断","19 重试","20 超时","21 资源清理","22 Promise","23 并发安全","24 重复调用","25 半完成状态","26 已测分支","27 未测分支","28 复杂度","29 拆分判断","30 相邻重复"
"FN-AU-005-001","F-AU-005-002","CommerceRuntime.ts:62-151","构造pool/cache/secret/KMS/object等运行依赖","API/Jobs环境与workload","required ref、DB role warning、可选adapter","TypeScript静态类型不能替代外部值运行时校验","端口/body上限等显式默认","404/405/401/403/超限","不修改输入","TLS文件/网络/下游服务","认证→解析→业务调用→响应","Redis start后再role与adapter初始化","非健康路由必须执行声明权限","Response或业务对象","LocalHttpError/非ok","health/404/405","HTTPS/fetch","pool/cache/extension loader","无直接业务写","Bearer/ref边界","不做业务授权","失败关闭pool/cache","server/client close见owner","部分构造后失败由catch/close路径","server并发；下游负责串行","GET可重试；写依赖业务键","上传/下游可能半完成","bootstrap与adapter tests","正式dedicated runtime差异","","入口与适配器可分","冲突实现已单列"
"FN-AU-005-002","F-AU-005-029","Pool.ts:17-80","按workload创建隔离pg PoolSet","connection+profile","URL scheme/profile→workloads","TypeScript静态类型不能替代外部值运行时校验","按profile配置","空结果/冲突/SQLSTATE","不修改输入","PostgreSQL连接/时钟","连接→begin/context→operation→commit","profile决定query/command/worker/migration","失败不得提交半事务","返回查询/operation结果","SQL/lease/role错误","空结果按契约返回","pg pool/client","pg.Pool","否","数据库角色/RLS在DB侧","DB role由连接串","owner PoolSet才end全部pool","rollback/release/end","部分pool创建异常由库传播","advisory/SKIP LOCKED/条件更新","由幂等键/条件谓词决定","commit与后续步骤间见FMEA","Pool.test","真实连接压力","","职责边界尚清楚","无等价实现或差异已记录"
"FN-AU-005-003","F-AU-005-021","PgUnitOfWork.ts:12-58","serializable事务与双层锁","TransactionContext+operation","command最多12次且锁键去重排序","TypeScript静态类型不能替代外部值运行时校验","按profile配置","空结果/冲突/SQLSTATE","不修改输入","PostgreSQL连接/时钟","连接→begin/context→operation→commit","进程锁→advisory→begin→context→operation","失败不得提交半事务","返回查询/operation结果","SQL/lease/role错误","空结果按契约返回","pg pool/client","pg advisory lock","是","数据库角色/RLS在DB侧","上下文在PgContext","40001/40P01最多12次","rollback/release/end","rollback、逆序unlock、异常时destroy连接","advisory/SKIP LOCKED/条件更新","由幂等键/条件谓词决定","commit与后续步骤间见FMEA","commit成功前无半状态；commit后外部副作用不在内","PgUnitOfWork.test","多进程真实死锁","职责边界尚清楚","无等价实现或差异已记录"
"FN-AU-005-004","F-AU-005-009","RedisCache.ts:11-31,80-85","创建client并禁用reconnect","connection factory","connect异常转degraded不抛","TypeScript静态类型不能替代外部值运行时校验","端口/body上限等显式默认","404/405/401/403/超限","不修改输入","TLS文件/网络/下游服务","认证→解析→业务调用→响应","仅idle可start","非健康路由必须执行声明权限","Response或业务对象","LocalHttpError/非ok","health/404/405","HTTPS/fetch","Redis client","否","Bearer/ref边界","无","无重连","server/client close见owner","失败destroy；close关闭","server并发；下游负责串行","GET可重试；写依赖业务键","上传/下游可能半完成","一次失败后永久degraded","RedisCache.test","同进程恢复缺口F-0028","入口与适配器可分","冲突实现已单列"
"FN-AU-005-005","F-AU-005-025","SecretStore.ts:35-45","GET secret ref并返回字符串","reference+client bearer","reference正则/response value","TypeScript静态类型不能替代外部值运行时校验","端口/body上限等显式默认","404/405/401/403/超限","不修改输入","TLS文件/网络/下游服务","认证→解析→业务调用→响应","Bearer由constructor先校验","非健康路由必须执行声明权限","Response或业务对象","LocalHttpError/非ok","health/404/405","HTTPS/fetch","Local Secret Store","否","Bearer/ref边界","客户端始终发送Bearer","HttpClient read模式","server/client close见owner","无额外资源","server并发；下游负责串行","GET可重试；写依赖业务键","上传/下游可能半完成","服务端Main忽略auth","WorkloadClients.test","生产401/403未成立","入口与适配器可分","冲突实现已单列"
"FN-AU-005-006","F-AU-005-015","KmsClient.ts:20-47","调用本地KMS并验证结构","keyRef/plain/cipher/context","ref、非空、response envelope","TypeScript静态类型不能替代外部值运行时校验","端口/body上限等显式默认","404/405/401/403/超限","不修改输入","TLS文件/网络/下游服务","认证→解析→业务调用→响应","请求始终含Bearer","非健康路由必须执行声明权限","Response或业务对象","LocalHttpError/非ok","health/404/405","HTTPS/fetch","Local KMS","否","Bearer/ref边界","客户端Bearer","HttpClient read模式","server/client close见owner","无额外资源","server并发；下游负责串行","GET可重试；写依赖业务键","上传/下游可能半完成","HTTP成功但授权未在server执行","WorkloadClients.test","生产权限边界F-0021","入口与适配器可分","冲突实现已单列"
"FN-AU-005-007","F-AU-005-017","ObjectStore.ts:35-99","对象HTTP客户端契约","path/ref/bytes/expiry","运行时校验JSON/hash/size/clean","TypeScript静态类型不能替代外部值运行时校验","8MiB part/64MiB object/60–900秒","重复digest、过期签名、重启","Buffer拷贝；不修改调用输入","内存upload Map+文件系统","create→append→complete/abort","write使用businesskeywrite模式","bytes hash必须等于reference","metadata/bytes/签名URL","完整性/缺失/签名错误","find缺失返回undefined","fs/crypto/HTTP","LocalObjects HTTPS","否","object bearer或URL HMAC","所有私有请求加object bearer","HttpClient策略","abort/delete Map；rename临时文件","upload由HttpUpload abort","单进程Map；文件级无事务","content hash去重但metadata会覆盖","metadata/path多步写","server返回伪clean会被接受","对象测试间接","public URL host/scanner","职责可读但metadata模型需设计","无等价LocalObjects实现"
"FN-AU-005-008","F-AU-005-019","OutboxStore.ts:27-66","保持aggregate顺序claim并失败重排","owner/batch/lease/event","范围与终态attempt校验","TypeScript静态类型不能替代外部值运行时校验","有界batch/lease/poll","空批、过期lease、终态","不修改事件/job输入","runtime表/时钟/AbortSignal","claim→process→conditional finish/fail","eligible→candidate→update","只有当前lease owner可提交状态","计数/void/状态","lease lost/processor/SQL错误","空批wait","PostgreSQL/processor","runtime.outbox/deadletter","是","DB角色和scope","worker DB role","retryDelay至8次","client/timer/listener清理","PgUnitOfWork释放","SKIP LOCKED+lease+semaphore","inbox/id/条件更新控制重复","崩溃矩阵已记录","mark published是后续独立事务","相关SQL测试有限","正式relay缺失F-0022","基础设施与processor已分","无等价正式控制面"
"FN-AU-005-009","F-AU-005-023","RuntimeEventPublisher.ts:12-27","inbox去重与job enqueue单事务","OutboxEvent","handler存在+version匹配","TypeScript静态类型不能替代外部值运行时校验","有界batch/lease/poll","空批、过期lease、终态","不修改事件/job输入","runtime表/时钟/AbortSignal","claim→process→conditional finish/fail","begin→每handler accept/enqueue→commit","只有当前lease owner可提交状态","计数/void/状态","lease lost/processor/SQL错误","空批wait","PostgreSQL/processor","runtime.inbox/job","是","DB角色和scope","worker DB role","relay层重试","client/timer/listener清理","rollback/release","SKIP LOCKED+lease+semaphore","inbox/id/条件更新控制重复","崩溃矩阵已记录","commit后outbox mark前可安全重放","RuntimeEventPublisher.test","正式进程缺失","基础设施与processor已分","无等价正式控制面"
"FN-AU-005-010","F-AU-005-007","JobRunner.ts:47-76","轮询并发处理batch","kind/processor/signal","claim分支由claim/scope配置决定","TypeScript静态类型不能替代外部值运行时校验","有界batch/lease/poll","空批、过期lease、终态","不修改事件/job输入","runtime表/时钟/AbortSignal","claim→process→conditional finish/fail","identity→scoped→generic三分支","只有当前lease owner可提交状态","计数/void/状态","lease lost/processor/SQL错误","空批wait","PostgreSQL/processor","runtime.job","是","DB角色和scope","worker scope","processor失败转内部retry","client/timer/listener清理","poll/lease/deadline","SKIP LOCKED+lease+semaphore","inbox/id/条件更新控制重复","崩溃矩阵已记录","delay listener有F-0012","generic过期running不可claim","JobRunner.test","基础设施与processor已分","无等价正式控制面"
