"通信编号","上游","下游","方式","契约/载荷","同步/异步","超时","重试/幂等","失败传播","证据","状态"
"COM-AU-003-001","API Main","target runtime factory","同进程 await","environment → manifest/secrets/pool/extensions/configure/close","同步启动","factory 自身","systemd 重启","抛错阻断进程","E-AU-003-005/006","已证实"
"COM-AU-003-002","target runtime","bootstrapApi","同进程 configure/register","selected modules + operation allow-list","同步启动","无统一外层超时","registry duplicate/dependency/freeze","抛错阻断 listen","E-AU-003-005","已证实"
"COM-AU-003-003","NodeServer","HttpApp/RouteRegistry","HTTP → Fetch Request","method/path/headers/body/node context","同步请求","RUNTIME_LIMITS；2MiB","调用方重试；handler 幂等待审","413/421/500 或 app Response","E-AU-003-005","已证实"
"COM-AU-003-004","systemd","API Ready","ExecStartPost 子进程","HTTP probe 或独立 runtime","同步启动门禁","30s","Restart=on-failure","失败使 unit 启动失败","E-AU-003-008/019","已证实"
"COM-AU-003-005","systemd","Jobs Ready → Jobs Main","ExecStartPre 后 ExecStart","runtime dependency preflight","同步门禁后异步常驻","30s","Restart=on-failure","Ready 失败时 Main 不启动","E-AU-003-008/016","生产观察证实"
"COM-AU-003-006","QueueJob","PostgreSQL runtime.job","SQL claim/update","kind/scope/worker/lease/batch","异步轮询","poll/deadline/lease","retryDelay；attempts；jobid 声明","retry/failed/deadletter/lease lost","E-AU-003-009/010","入口已证实；processor 待审"
"COM-AU-003-007","RuntimeScheduler","PostgreSQL runtime.job","SQL INSERT","四种 schedule kind + time bucket ID","异步每30s","无 query deadline 证据","ON CONFLICT DO NOTHING","DB 错误终止 scheduler/Promise.all","E-AU-003-009/011","Full Jobs 图内；非当前 target"
"COM-AU-003-008","OutboxRelay","OutboxStore/EventPublisher","DB claim → publish → DB status","OutboxEvent","异步 batch/poll","500ms 空轮询","store fail/reclaim 细节待专项","单 event 捕获；relay DB 错误向上","E-AU-003-009/011","Full Jobs 图内；非当前 target"
"COM-AU-003-009","release planner","remote agent","SSH/package","target artifact + source SHA + policy","同步发布","workflow/agent timeout","不可变 release dir；receipt","失败不进入/回退 pointer，DB例外见 COM-011","E-AU-003-004/012/014","入口已证实"
"COM-AU-003-010","remote agent","DatabaseMigrationExecutor","Node 子进程","migration env + credential env + source/tree SHA","同步发布步骤","300s","ledger 选择避免已登记重跑","failed receipt/exit 1","E-AU-003-012/014","已证实"
"COM-AU-003-011","MigrationRunner","PostgreSQL","单 client SQL","排序 SQL + schema_migrations ledger","同步串行","无单 migration timeout 证据","advisory lock；ledger skip","SQL/ledger 错误向 executor；forward-only","E-AU-003-013/014","存在非原子窗口"
"COM-AU-003-012","Payment Ready","Payment Webhook Main","loopback HTTP POST","固定无害加密形状、无签名","同步探针","1s/次，29s 总","250ms 重试；预期 DB 连接数 0","非 400/指定 code 则失败","E-AU-003-008","已证实"
"COM-AU-003-013","deploy default affected mode","release classifier","git diff → rule match","CreateMall.ts path","同步计划","workflow 12min 总","可显式指定 target 绕过默认分类","零 deployRequired 时 workflow 失败；不会构建 mall target","E-AU-003-017/018","F-0011"
