文件编号,路径,所属模块,文件类型,基线 blob SHA,物理行数,审阅范围,审阅者,审阅日期,审计单元,检查点,风险等级,是否二次复核,详细记录,覆盖清单同步,1 存在理由,2 创建或加载者,3 加载条件,4 导出内容,5 导出消费者,6 输入,7 输出,8 状态读写,9 数据库读写,10 网络调用,11 事件,12 环境变量,13 用户权限依赖,14 运行环境依赖,15 初始化副作用,16 模块加载副作用,17 注册职责,18 测试生产差异,19 资源释放,20 失败恢复,21 对应测试,22 测试可信度,23 对应文档,24 文档准确性,25 兼容职责,26 等价重复实现,27 可否独立删除,28 删除首个失败点,29 最终结论与置信度
FILE-AU-009-001,01_core_hexin/packages/kernel/package.json,@shop/kernel,JSON配置,1a2c128fc6b0f33306ef17987b0455759047fcb5,22,全文件逐行/逐关键分支深入审阅,Codex主审,2026-09-14,AU-009,CP-09,未发现独立问题,否（若升级P1/G3/GX则重排）,E-AU-009-002；exports/functions/tests/invariants/state-machines,是,声明Kernel workspace入口、脚本、ESM与公开subpath,npm workspace解析,对应workspace制品编译/运行且路径被import时,全部声明导出见exports.csv；配置/测试无导出也已登记,npm workspace、4个消费者package依赖声明,函数/构造参数、AbortSignal、时钟或manifest，按functions.csv,类型、冻结值、Promise结果或稳定Error，按exports/functions.csv,无共享可变状态；值实例/局部状态按functions.csv,无直接数据库访问,无直接网络；可靠性原语只调用注入operation,无,无直接读取；运行限制由Commerce调用者提供,Gate只携带观察上下文；不执行身份/授权,Node ES2022/AbortController/Timer或TypeScript构建，按文件适用,构造值/状态；Deadline构造timer；其余无外部初始化写,barrel/常量声明；无网络、数据库、进程或注册副作用,不注册路由/Worker/队列；Gate/Manifest由Commerce另行消费,正式测试本环境在源码加载前缺vitest；consumer mock不证明生产运行,无持久资源；由调用者/下游管理,同步错误前无外部写；异步恢复/缺口见fmea.csv,无Kernel直接测试；消费者测试或UNKNOWN见tests.csv,无直接Kernel oracle或仅消费者间接覆盖；正式入口未加载,AU-009 summary及全局01-09增量,以固定基线代码/反事实为准；历史仅作线索,根入口或subpath公开，仓外/历史兼容未完全排除,Commerce有部分转发/相邻实现，但未证明行为等价,G0；有当前入口、内部依赖、测试或公共契约，禁止独立删除,npm workspace与4个消费者package依赖的解析、构建或首次调用,[FACT] 深入审阅；本AU未发现独立问题，公开/运行职责已确认；仓外消费者仍UNKNOWN
FILE-AU-009-002,01_core_hexin/packages/kernel/src/Aggregate.ts,@shop/kernel,TypeScript源码,30d9ff54615a177d4a9fef8fbf0a7d9a5d0689ef,16,全文件逐行/逐关键分支深入审阅,Codex主审,2026-09-14,AU-009,CP-09,未发现独立问题,否（若升级P1/G3/GX则重排）,E-AU-009-002；exports/functions/tests/invariants/state-machines,是,为领域聚合保存并拉取待发事件,被静态import时加载；无文件发现机制,对应workspace制品编译/运行且路径被import时,全部声明导出见exports.csv；配置/测试无导出也已登记,Commerce foundation转发、Inventory Reservation,函数/构造参数、AbortSignal、时钟或manifest，按functions.csv,类型、冻结值、Promise结果或稳定Error，按exports/functions.csv,实例pending events；pull后清空,无直接数据库访问,无直接网络；可靠性原语只调用注入operation,创建/缓冲DomainEvent；不直接持久化或发布,无直接读取；运行限制由Commerce调用者提供,Gate只携带观察上下文；不执行身份/授权,Node ES2022/AbortController/Timer或TypeScript构建，按文件适用,构造值/状态；Deadline构造timer；其余无外部初始化写,barrel/常量声明；无网络、数据库、进程或注册副作用,不注册路由/Worker/队列；Gate/Manifest由Commerce另行消费,正式测试本环境在源码加载前缺vitest；consumer mock不证明生产运行,无持久资源；由调用者/下游管理,同步错误前无外部写；异步恢复/缺口见fmea.csv,无Kernel直接测试；消费者测试或UNKNOWN见tests.csv,无直接Kernel oracle或仅消费者间接覆盖；正式入口未加载,AU-009 summary及全局01-09增量,以固定基线代码/反事实为准；历史仅作线索,根入口或subpath公开，仓外/历史兼容未完全排除,Commerce有部分转发/相邻实现，但未证明行为等价,G0；有当前入口、内部依赖、测试或公共契约，禁止独立删除,Commerce foundation转发、Inventory Reservation的编译、启动或首次调用,[FACT] 深入审阅；本AU未发现独立问题，公开/运行职责已确认；仓外消费者仍UNKNOWN
FILE-AU-009-003,01_core_hexin/packages/kernel/src/Bulkhead.ts,@shop/kernel,TypeScript源码,760299626de78d7c8097bc084aa2df928138cb75,22,全文件逐行/逐关键分支深入审阅,Codex主审,2026-09-14,AU-009,CP-09,未发现独立问题,否（若升级P1/G3/GX则重排）,E-AU-009-002；exports/functions/tests/invariants/state-machines,是,用Semaphore限制并发和等待队列,被静态import时加载；无文件发现机制,对应workspace制品编译/运行且路径被import时,全部声明导出见exports.csv；配置/测试无导出也已登记,Commerce Executor、Resilience.test,函数/构造参数、AbortSignal、时钟或manifest，按functions.csv,类型、冻结值、Promise结果或稳定Error，按exports/functions.csv,无共享可变状态；值实例/局部状态按functions.csv,无直接数据库访问,无直接网络；可靠性原语只调用注入operation,无,无直接读取；运行限制由Commerce调用者提供,Gate只携带观察上下文；不执行身份/授权,Node ES2022/AbortController/Timer或TypeScript构建，按文件适用,构造值/状态；Deadline构造timer；其余无外部初始化写,barrel/常量声明；无网络、数据库、进程或注册副作用,不注册路由/Worker/队列；Gate/Manifest由Commerce另行消费,正式测试本环境在源码加载前缺vitest；consumer mock不证明生产运行,timer/listener/permit或Promise按functions.csv；Deadline需dispose，关键缺口见FMEA,同步错误前无外部写；异步恢复/缺口见fmea.csv,TC-AU-009-002,无直接Kernel oracle或仅消费者间接覆盖；正式入口未加载,AU-009 summary及全局01-09增量,以固定基线代码/反事实为准；历史仅作线索,根入口或subpath公开，仓外/历史兼容未完全排除,Commerce有部分转发/相邻实现，但未证明行为等价,G0；有当前入口、内部依赖、测试或公共契约，禁止独立删除,Commerce Executor、Resilience.test的编译、启动或首次调用,[FACT] 深入审阅；本AU未发现独立问题，公开/运行职责已确认；仓外消费者仍UNKNOWN
FILE-AU-009-004,01_core_hexin/packages/kernel/src/CircuitBreaker.ts,@shop/kernel,TypeScript源码,032555f6f6ae0fc204205f7f3843add0e5aed91e,53,全文件逐行/逐关键分支深入审阅,Codex主审,2026-09-14,AU-009,CP-09,P2 F-0047,否（若升级P1/G3/GX则重排）,E-AU-009-002；exports/functions/tests/invariants/state-machines,是,隔离持续失败的外部调用并管理恢复probe,被静态import时加载；无文件发现机制,对应workspace制品编译/运行且路径被import时,全部声明导出见exports.csv；配置/测试无导出也已登记,Commerce Executor、Vendor CircuitPolicy、Resilience.test,函数/构造参数、AbortSignal、时钟或manifest，按functions.csv,类型、冻结值、Promise结果或稳定Error，按exports/functions.csv,实例failures/openedAt/state/probing；F-0047并发不一致,无直接数据库访问,无直接网络；可靠性原语只调用注入operation,无,无直接读取；运行限制由Commerce调用者提供,Gate只携带观察上下文；不执行身份/授权,Node ES2022/AbortController/Timer或TypeScript构建，按文件适用,构造值/状态；Deadline构造timer；其余无外部初始化写,barrel/常量声明；无网络、数据库、进程或注册副作用,不注册路由/Worker/队列；Gate/Manifest由Commerce另行消费,正式测试本环境在源码加载前缺vitest；consumer mock不证明生产运行,timer/listener/permit或Promise按functions.csv；Deadline需dispose，关键缺口见FMEA,同步错误前无外部写；异步恢复/缺口见fmea.csv,TC-AU-009-003/004；缺F-0047反事实,局部oracle存在但关键反事实缺失；正式入口未加载,AU-009 summary及全局01-09增量,以固定基线代码/反事实为准；历史仅作线索,根入口或subpath公开，仓外/历史兼容未完全排除,Commerce有部分转发/相邻实现，但未证明行为等价,G0；有当前入口、内部依赖、测试或公共契约，禁止独立删除,Commerce Executor、Vendor CircuitPolicy、Resilience.test的编译、启动或首次调用,[FACT] 深入审阅；P2 F-0047，证据与未知项见summary/FMEA
FILE-AU-009-005,01_core_hexin/packages/kernel/src/Clock.ts,@shop/kernel,TypeScript源码,89d4db7f16c1e8822c68fb99a21fb15d79585378,3,全文件逐行/逐关键分支深入审阅,Codex主审,2026-09-14,AU-009,CP-09,未发现独立问题,否（若升级P1/G3/GX则重排）,E-AU-009-002；exports/functions/tests/invariants/state-machines,是,定义可替换时钟端口,被静态import时加载；无文件发现机制,对应workspace制品编译/运行且路径被import时,全部声明导出见exports.csv；配置/测试无导出也已登记,SystemClock、AccessPipeline、TestClock,函数/构造参数、AbortSignal、时钟或manifest，按functions.csv,类型、冻结值、Promise结果或稳定Error，按exports/functions.csv,无共享可变状态；值实例/局部状态按functions.csv,无直接数据库访问,无直接网络；可靠性原语只调用注入operation,无,无直接读取；运行限制由Commerce调用者提供,Gate只携带观察上下文；不执行身份/授权,Node ES2022/AbortController/Timer或TypeScript构建，按文件适用,构造值/状态；Deadline构造timer；其余无外部初始化写,barrel/常量声明；无网络、数据库、进程或注册副作用,不注册路由/Worker/队列；Gate/Manifest由Commerce另行消费,正式测试本环境在源码加载前缺vitest；consumer mock不证明生产运行,无持久资源；由调用者/下游管理,同步错误前无外部写；异步恢复/缺口见fmea.csv,无Kernel直接测试；消费者测试或UNKNOWN见tests.csv,无直接Kernel oracle或仅消费者间接覆盖；正式入口未加载,AU-009 summary及全局01-09增量,以固定基线代码/反事实为准；历史仅作线索,根入口或subpath公开，仓外/历史兼容未完全排除,Commerce有部分转发/相邻实现，但未证明行为等价,G0；有当前入口、内部依赖、测试或公共契约，禁止独立删除,SystemClock、AccessPipeline、TestClock的编译、启动或首次调用,[FACT] 深入审阅；本AU未发现独立问题，公开/运行职责已确认；仓外消费者仍UNKNOWN
FILE-AU-009-006,01_core_hexin/packages/kernel/src/Currency.ts,@shop/kernel,TypeScript源码,d16e084747b732328a477473c8d84e2e3b644917,15,全文件逐行/逐关键分支深入审阅,Codex主审,2026-09-14,AU-009,CP-09,P3既有F-0032补强,否（若升级P1/G3/GX则重排）,E-AU-009-002；exports/functions/tests/invariants/state-machines,是,定义支持币种目录和值对象,被静态import时加载；无文件发现机制,对应workspace制品编译/运行且路径被import时,全部声明导出见exports.csv；配置/测试无导出也已登记,Money及其Finance/Payment间接调用者,函数/构造参数、AbortSignal、时钟或manifest，按functions.csv,类型、冻结值、Promise结果或稳定Error，按exports/functions.csv,公开CURRENCIES与Currency实例运行时可变；E-AU-009-018,无直接数据库访问,无直接网络；可靠性原语只调用注入operation,无,无直接读取；运行限制由Commerce调用者提供,Gate只携带观察上下文；不执行身份/授权,Node ES2022/AbortController/Timer或TypeScript构建，按文件适用,构造值/状态；Deadline构造timer；其余无外部初始化写,barrel/常量声明；无网络、数据库、进程或注册副作用,不注册路由/Worker/队列；Gate/Manifest由Commerce另行消费,正式测试本环境在源码加载前缺vitest；consumer mock不证明生产运行,无持久资源；由调用者/下游管理,同步错误前无外部写；异步恢复/缺口见fmea.csv,TC-AU-009-001（间接）,无直接Kernel oracle或仅消费者间接覆盖；正式入口未加载,AU-009 summary及全局01-09增量,以固定基线代码/反事实为准；历史仅作线索,根入口或subpath公开，仓外/历史兼容未完全排除,Commerce有部分转发/相邻实现，但未证明行为等价,G0；有当前入口、内部依赖、测试或公共契约，禁止独立删除,Money及其Finance/Payment间接调用者的编译、启动或首次调用,[FACT] 深入审阅；P3既有F-0032补强，证据与未知项见summary/FMEA
FILE-AU-009-007,01_core_hexin/packages/kernel/src/Cursor.ts,@shop/kernel,TypeScript源码,78cd78c05def8dac310a36970e681074b88b7d0a,12,全文件逐行/逐关键分支深入审阅,Codex主审,2026-09-14,AU-009,CP-09,未发现独立问题,否（若升级P1/G3/GX则重排）,E-AU-009-002；exports/functions/tests/invariants/state-machines,是,封装opaque cursor字符/长度边界,被静态import时加载；无文件发现机制,对应workspace制品编译/运行且路径被import时,全部声明导出见exports.csv；配置/测试无导出也已登记,Commerce CursorCodec,函数/构造参数、AbortSignal、时钟或manifest，按functions.csv,类型、冻结值、Promise结果或稳定Error，按exports/functions.csv,无共享可变状态；值实例/局部状态按functions.csv,无直接数据库访问,无直接网络；可靠性原语只调用注入operation,无,无直接读取；运行限制由Commerce调用者提供,Gate只携带观察上下文；不执行身份/授权,Node ES2022/AbortController/Timer或TypeScript构建，按文件适用,构造值/状态；Deadline构造timer；其余无外部初始化写,barrel/常量声明；无网络、数据库、进程或注册副作用,不注册路由/Worker/队列；Gate/Manifest由Commerce另行消费,正式测试本环境在源码加载前缺vitest；consumer mock不证明生产运行,无持久资源；由调用者/下游管理,同步错误前无外部写；异步恢复/缺口见fmea.csv,无Kernel直接测试；消费者测试或UNKNOWN见tests.csv,无直接Kernel oracle或仅消费者间接覆盖；正式入口未加载,AU-009 summary及全局01-09增量,以固定基线代码/反事实为准；历史仅作线索,根入口或subpath公开，仓外/历史兼容未完全排除,Commerce有部分转发/相邻实现，但未证明行为等价,G0；有当前入口、内部依赖、测试或公共契约，禁止独立删除,Commerce CursorCodec的编译、启动或首次调用,[FACT] 深入审阅；本AU未发现独立问题，公开/运行职责已确认；仓外消费者仍UNKNOWN
FILE-AU-009-008,01_core_hexin/packages/kernel/src/DomainEvent.ts,@shop/kernel,TypeScript源码,032d4af55ed8a535667ec7baf05e71ac46454577,18,全文件逐行/逐关键分支深入审阅,Codex主审,2026-09-14,AU-009,CP-09,未发现独立问题,否（若升级P1/G3/GX则重排）,E-AU-009-002；exports/functions/tests/invariants/state-machines,是,定义并校验领域事件envelope,被静态import时加载；无文件发现机制,对应workspace制品编译/运行且路径被import时,全部声明导出见exports.csv；配置/测试无导出也已登记,Commerce事件producer、OutboxStore,函数/构造参数、AbortSignal、时钟或manifest，按functions.csv,类型、冻结值、Promise结果或稳定Error，按exports/functions.csv,无共享可变状态；值实例/局部状态按functions.csv,无直接数据库访问,无直接网络；可靠性原语只调用注入operation,创建/缓冲DomainEvent；不直接持久化或发布,无直接读取；运行限制由Commerce调用者提供,Gate只携带观察上下文；不执行身份/授权,Node ES2022/AbortController/Timer或TypeScript构建，按文件适用,构造值/状态；Deadline构造timer；其余无外部初始化写,barrel/常量声明；无网络、数据库、进程或注册副作用,不注册路由/Worker/队列；Gate/Manifest由Commerce另行消费,正式测试本环境在源码加载前缺vitest；consumer mock不证明生产运行,无持久资源；由调用者/下游管理,同步错误前无外部写；异步恢复/缺口见fmea.csv,无Kernel直接测试；消费者测试或UNKNOWN见tests.csv,无直接Kernel oracle或仅消费者间接覆盖；正式入口未加载,AU-009 summary及全局01-09增量,以固定基线代码/反事实为准；历史仅作线索,根入口或subpath公开，仓外/历史兼容未完全排除,Commerce有部分转发/相邻实现，但未证明行为等价,G0；有当前入口、内部依赖、测试或公共契约，禁止独立删除,Commerce事件producer、OutboxStore的编译、启动或首次调用,[FACT] 深入审阅；本AU未发现独立问题，公开/运行职责已确认；仓外消费者仍UNKNOWN
FILE-AU-009-009,01_core_hexin/packages/kernel/src/Email.ts,@shop/kernel,TypeScript源码,42a60ad407b799060b2be8a52c906de59b14ca6d,13,全文件逐行/逐关键分支深入审阅,Codex主审,2026-09-14,AU-009,CP-09,未发现独立问题,否（若升级P1/G3/GX则重排）,E-AU-009-002；exports/functions/tests/invariants/state-machines,是,规范化并校验邮箱值,被静态import时加载；无文件发现机制,对应workspace制品编译/运行且路径被import时,全部声明导出见exports.csv；配置/测试无导出也已登记,仓内无生产caller；根入口公开,函数/构造参数、AbortSignal、时钟或manifest，按functions.csv,类型、冻结值、Promise结果或稳定Error，按exports/functions.csv,无共享可变状态；值实例/局部状态按functions.csv,无直接数据库访问,无直接网络；可靠性原语只调用注入operation,无,无直接读取；运行限制由Commerce调用者提供,Gate只携带观察上下文；不执行身份/授权,Node ES2022/AbortController/Timer或TypeScript构建，按文件适用,构造值/状态；Deadline构造timer；其余无外部初始化写,barrel/常量声明；无网络、数据库、进程或注册副作用,不注册路由/Worker/队列；Gate/Manifest由Commerce另行消费,正式测试本环境在源码加载前缺vitest；consumer mock不证明生产运行,无持久资源；由调用者/下游管理,同步错误前无外部写；异步恢复/缺口见fmea.csv,无Kernel直接测试；消费者测试或UNKNOWN见tests.csv,无直接Kernel oracle或仅消费者间接覆盖；正式入口未加载,AU-009 summary及全局01-09增量,以固定基线代码/反事实为准；历史仅作线索,根入口或subpath公开，仓外/历史兼容未完全排除,Commerce有部分转发/相邻实现，但未证明行为等价,G1；公共导出/兼容/外部消费未排除，禁止删除,仓内无生产caller；根入口公开的编译、启动或首次调用,[FACT] 深入审阅；仓内生产caller不足但公共/兼容责任未排除，G1高置信，非删除结论
FILE-AU-009-010,01_core_hexin/packages/kernel/src/Entity.ts,@shop/kernel,TypeScript源码,50bcb138baa651e094d14b06eb70fe538be5d93a,9,全文件逐行/逐关键分支深入审阅,Codex主审,2026-09-14,AU-009,CP-09,未发现独立问题,否（若升级P1/G3/GX则重排）,E-AU-009-002；exports/functions/tests/invariants/state-machines,是,定义实体ID与同类同ID相等语义,被静态import时加载；无文件发现机制,对应workspace制品编译/运行且路径被import时,全部声明导出见exports.csv；配置/测试无导出也已登记,Aggregate、Commerce Order,函数/构造参数、AbortSignal、时钟或manifest，按functions.csv,类型、冻结值、Promise结果或稳定Error，按exports/functions.csv,无共享可变状态；值实例/局部状态按functions.csv,无直接数据库访问,无直接网络；可靠性原语只调用注入operation,无,无直接读取；运行限制由Commerce调用者提供,Gate只携带观察上下文；不执行身份/授权,Node ES2022/AbortController/Timer或TypeScript构建，按文件适用,构造值/状态；Deadline构造timer；其余无外部初始化写,barrel/常量声明；无网络、数据库、进程或注册副作用,不注册路由/Worker/队列；Gate/Manifest由Commerce另行消费,正式测试本环境在源码加载前缺vitest；consumer mock不证明生产运行,无持久资源；由调用者/下游管理,同步错误前无外部写；异步恢复/缺口见fmea.csv,无Kernel直接测试；消费者测试或UNKNOWN见tests.csv,无直接Kernel oracle或仅消费者间接覆盖；正式入口未加载,AU-009 summary及全局01-09增量,以固定基线代码/反事实为准；历史仅作线索,根入口或subpath公开，仓外/历史兼容未完全排除,Commerce有部分转发/相邻实现，但未证明行为等价,G0；有当前入口、内部依赖、测试或公共契约，禁止独立删除,Aggregate、Commerce Order的编译、启动或首次调用,[FACT] 深入审阅；本AU未发现独立问题，公开/运行职责已确认；仓外消费者仍UNKNOWN
