"消费者编号","入口","消费方式","直接/间接","调用数量","权限/Scope来源","运行单元","发布状态","失败传播","证据","结论"
"CONS-AU-011-001","commerce-api/src/api/auth.ts","import decide并包装authorize/can","直接","1 direct decide；61 wrapper call sites","Membership RPC+默认context或资源Scope RPC","兼容routeApi","当前无正式运行入口","Decision→403/challenge/boolean","E-AU-011-003..006","核心源码消费者"
"CONS-AU-011-002","commerce-api/src/adminServer.ts","middleware import decide","直接","1","签名admin session+Membership context","手工compat admin reference","admin-server.cjs禁止发布","401/403","E-AU-011-004","保留源码但非当前生产"
"CONS-AU-011-003","api/router.ts","resolveAuthorizationContext","间接","1入口","每请求session-bound Membership","兼容routeApi","测试为主；无release target","401/knownApiError","E-AU-011-005","统一兼容入口"
"CONS-AU-011-004","accountRoutes.ts","can wrapper","间接","3","默认context scope","兼容routeApi","无正式入口","403","静态caller矩阵","源码保留"
"CONS-AU-011-005","addressRoutes.ts","can wrapper","间接","2","默认self/context scope","兼容routeApi","无正式入口","403","静态caller矩阵","源码保留"
"CONS-AU-011-006","adminRoutes.ts","authorize wrapper","间接","5","默认context+product RPC scope","兼容routeApi","无正式入口","403","E-AU-011-006","资源写有server scope"
"CONS-AU-011-007","cartRoutes.ts","can wrapper","间接","2","默认self/context scope","兼容routeApi","无正式入口","403","静态caller矩阵","源码保留"
"CONS-AU-011-008","customRoleRoutes.ts","authorize wrapper","间接","4","默认context；DB再校验permission ceiling","兼容routeApi","无正式入口","403/DB exception","E-AU-011-007","对照治理设计"
"CONS-AU-011-009","memberCode/memberOperationsRoutes.ts","authorize wrapper","间接","10","默认context；RPC再按actor校验","兼容routeApi","无正式入口","403/DB拒绝","静态caller矩阵","成员能力"
"CONS-AU-011-010","orderRoutes.ts","authorize/can wrapper","间接","10","默认context+order/after-sale RPC scope","兼容routeApi","无正式入口","403","E-AU-011-006","资源链最完整"
"CONS-AU-011-011","paymentSimulationRoutes.ts","authorize wrapper","间接","3","默认context+order RPC scope","兼容simulation route","无正式入口","403","静态caller矩阵","模拟入口另有环境边界待专项"
"CONS-AU-011-012","permissionAdminRoutes.ts","authorize wrapper","间接","6","默认context；DB role/scope ceiling","兼容routeApi","无正式入口","403/DB exception","E-AU-011-007","对照治理设计"
"CONS-AU-011-013","qualificationAdmin/GovernanceRoutes.ts","authorize wrapper","间接","13","默认context；动态permission map","兼容routeApi","无正式入口","403/challenge","静态caller矩阵","业务语义留专项"
"CONS-AU-011-014","wechatPaymentRoutes.ts","authorize/can wrapper","间接","3","默认context+order RPC scope","兼容routeApi","无正式入口","403","E-AU-011-006","支付业务留专项"
"CONS-AU-011-015","smart-wing-authz index.test.ts","直接decide","测试","13用例","synthetic fixtures","Vitest","正式test入口缺失","断言","E-AU-011-013","唯一直接测试规格"
"CONS-AU-011-016","root workspace/tsconfig","package解析与项目引用","构建","0正式script","文件图","质量工具","if-present静默跳过","无诊断","F-0060","生命周期漂移"
